link_type,link_type_name,type_code,default_lane_capacity,default_speed_limit,default_number_of_lanes
1,Freeway,f,1000.000000,50.00,2
2,Highway/Expressway,h,1000.000000,50.00,2
3,Principal arterial,a,1000.000000,50.00,2
4,Major arterial,a,1000.000000,50.00,2
5,Minor arterial,a,1000.000000,50.00,2
6,Collector,a,1000.000000,50.00,2
7,Local,a,1000.000000,50.00,2
8,Frontage road,a,1000.000000,50.00,2
9,Ramp,r,1000.000000,50.00,2
10,Zonal connector,c,1000.000000,50.00,2
100,Transit link,t,1000.000000,50.00,2
200,Walking link,w,1000.000000,50.00,2
