name,link_id,TMC,from_node_id,to_node_id,link_type_name,direction,length,number_of_lanes,speed_limit_in_mph,saturation_flow_rate_in_vhc_per_hour_per_lane,lane_capacity_in_vhc_per_hour,link_type,jam_density_in_vhc_pmpl,wave_speed_in_mph,effective_green_time_length_in_second,green_start_time_in_second,AADT_conversion_factor,mode_code,grade,geometry,original_geometry
Cent,1285,,1285,5018,Freeway,1,0.2384,7,21,2000,1428.6,1,220,12,0,0,0.1,,0,"<LineString><coordinates>-111.943368,40.616336,0.0 -111.938848,40.616619,0.0</coordinates></LineString>","<LineString><coordinates>-111.943375,40.616454,0.0 -111.938855,40.616737,0.0</coordinates></LineString>"
Cent,1286,,1286,11125,Freeway,1,0.466,7,21,2000,1428.6,1,220,12,0,0,0.1,,0,"<LineString><coordinates>-111.934320,40.630772,0.0 -111.934088,40.624020,0.0</coordinates></LineString>","<LineString><coordinates>-111.934202,40.630776,0.0 -111.933970,40.624024,0.0</coordinates></LineString>"
Cent,1289,,1289,4952,Freeway,1,0.2427,7,21,2000,1428.6,1,220,12,0,0,0.1,,0,"<LineString><coordinates>-111.933869,40.616589,0.0 -111.929252,40.616556,0.0</coordinates></LineString>","<LineString><coordinates>-111.933868,40.616707,0.0 -111.929251,40.616674,0.0</coordinates></LineString>"
Cent,1289,,1289,5018,Freeway,1,0.2621,7,21,2000,1428.6,1,220,12,0,0,0.1,,0,"<LineString><coordinates>-111.933867,40.616825,0.0 -111.938854,40.616855,0.0</coordinates></LineString>","<LineString><coordinates>-111.933868,40.616707,0.0 -111.938855,40.616737,0.0</coordinates></LineString>"
Cent,1289,,1289,11124,Freeway,1,0.5069,7,21,2000,1428.6,1,220,12,0,0,0.1,,0,"<LineString><coordinates>-111.933982,40.616674,0.0 -111.931933,40.609493,0.0</coordinates></LineString>","<LineString><coordinates>-111.933868,40.616707,0.0 -111.931819,40.609526,0.0</coordinates></LineString>"
Cent,1289,,1289,11125,Freeway,1,0.5047,7,21,2000,1428.6,1,220,12,0,0,0.1,,0,"<LineString><coordinates>-111.933750,40.616709,0.0 -111.933852,40.624026,0.0</coordinates></LineString>","<LineString><coordinates>-111.933868,40.616707,0.0 -111.933970,40.624024,0.0</coordinates></LineString>"
Cent,1290,,1290,4952,Freeway,1,0.2516,7,21,2000,1428.6,1,220,12,0,0,0.1,,0,"<LineString><coordinates>-111.924513,40.617252,0.0 -111.929262,40.616792,0.0</coordinates></LineString>","<LineString><coordinates>-111.924502,40.617134,0.0 -111.929251,40.616674,0.0</coordinates></LineString>"
Cent,1296,,1296,5240,Freeway,1,0.2056,7,21,2000,1428.6,1,220,12,0,0,0.1,,0,"<LineString><coordinates>-111.915609,40.613607,0.0 -111.911900,40.614554,0.0</coordinates></LineString>","<LineString><coordinates>-111.915638,40.613722,0.0 -111.911929,40.614669,0.0</coordinates></LineString>"
Cent,1299,,1299,4958,Freeway,1,0.1988,7,21,2000,1428.6,1,220,12,0,0,0.1,,0,"<LineString><coordinates>-111.907967,40.616254,0.0 -111.910145,40.618609,0.0</coordinates></LineString>","<LineString><coordinates>-111.908054,40.616174,0.0 -111.910232,40.618529,0.0</coordinates></LineString>"
Cent,1299,,1299,11129,Freeway,1,0.3637,7,21,2000,1428.6,1,220,12,0,0,0.1,,0,"<LineString><coordinates>-111.908172,40.616165,0.0 -111.907757,40.610902,0.0</coordinates></LineString>","<LineString><coordinates>-111.908054,40.616174,0.0 -111.907639,40.610911,0.0</coordinates></LineString>"
Cent,1314,,1314,11146,Freeway,1,0.2758,7,21,2000,1428.6,1,220,12,0,0,0.1,,0,"<LineString><coordinates>-111.944084,40.606208,0.0 -111.938868,40.605780,0.0</coordinates></LineString>","<LineString><coordinates>-111.944074,40.606326,0.0 -111.938858,40.605898,0.0</coordinates></LineString>"
