DTALite:
A Fast Open Source DTA Engine
Software Version =,1.1.0
Release Date=,Mar 28 2016
Simulation Date =,year: 2016,month:04,day:4,hour:14,min:51
----------------------test1----------------------
Signal Control Representation =,Continuous Flow with Link Capacity Constraint
Traffic Flow Model =,Point Queue Model
Assignment method=,MSA
 


# of Nodes=,149
# of Link Types=,12
# of Links=,378
# of Prohibited Movements=,0
# of Pretimed Signals=,15
# of Actuated Signals=,0
# of Zones=,41
# of Activity Locations=,93
# of Vehicle Types=,5
# of Demand Types=,4
# of Sensor Records=,0
Demand Load Mode=,demand meta databaseReading demand file,input_demand.csv,cumulative # of agents=,12638,


Demand multiplier in input_scenario_settings.csv file=,1
# of Vehicles to be simulated=,12638
# of Intra-zone Vehicles (not be simulated)=,377.973
Starting Time of Demand Loading (min)=,930
Ending Time of Demand Loading (min)=,1050
Output Emission data=,NO

--Link Type Statistics--
link_type,link_type_name,link_type_code,number_of_links,avg_lane_capacity,avg_number_of_lanes,avg_speed_limit,avg_link_length,avg_K_jam,total_link_length,
1,Freeway,f,114,1428.6,7,20.8772,0.271095,220,30.9048,
2,Highway/Expressway,h,58,404.186,2.27586,37.4138,0.264813,120,15.3592,
3,Principal arterial,a,80,469.397,1.8,34.875,0.212428,120,16.9942,
4,Major arterial,a,112,607.55,1.125,27.4107,0.233508,120,26.1529,
5,Minor arterial,a,14,514.5,1,26,0.277057,120,3.8788,
6,Collector,a,0,0,0,0,0,0,0,
7,Local,a,0,0,0,0,0,0,0,
8,Frontage road,a,0,0,0,0,0,0,0,
9,Ramp,r,0,0,0,0,0,0,0,
10,Zonal connector,c,0,0,0,0,0,0,0,
100,Transit link,t,0,0,0,0,0,0,0,
200,Walking link,w,0,0,0,0,0,0,0,

# of incident records=0
# of demand type code based toll records=0
# of link-based toll records=0
# of work zone records=0
# of VMS records=0
Assignment method=,Zone-based routing
Iteration #,CPU Running Time,Per Iteration CPU Running Time,# of agents,Avg Travel Time (min),Avg Waiting Time at Origin (min),Avg Trip Time Index=(Mean TT/Free-flow TT),Avg Distance),Avg Speed,Avg CO (g),% considering to switch,% switched,% completing trips,network clearance time (in min),Avg User Equilibirum (UE) gap (min),Relative UE gap (%),ODME: number of data points,ODME: Absolute link count error,ODME: % link count error,ODME: slope =observed/estimated link count,ODME: r_squared link count,travel_time_15:30,travel_time_15:45,travel_time_16:00,travel_time_16:15,travel_time_16:30,travel_time_16:45,travel_time_17:00,travel_time_17:15,Avg UE gap_15:30,Avg UE gap_15:45,Avg UE gap_16:00,Avg UE gap_16:15,Avg UE gap_16:30,Avg UE gap_16:45,Avg UE gap_17:00,Avg UE gap_17:15,Relative UE gap_15:30,Relative UE gap_15:45,Relative UE gap_16:00,Relative UE gap_16:15,Relative UE gap_16:30,Relative UE gap_16:45,Relative UE gap_17:00,Relative UE gap_17:15,
1,00:00:05,00:00:05,12638,17.9786,-0.0387821,3.37114, ,10.0006,11068.7,100,100,100,1440, , , , , , , ,6.8422,10.1076,13.6558,16.9019,20.1299,23.3368,25.6676,25.9088, , , , , , , , , , , , , , , , ,


--Time Dependent Network MOE--,60 min interval
time_stamp_in_min,time_clock,cumulative_in_flow_count,cumulative_out_flow_count,number_vehicles_in_network,number_vehicles_entering_network,total_vehicle_mile_traveled,avg_trip_time (departure_time_based),avg_trip_time_index = trip time/FFTT,avg_distance,avg_speed,
900,15:00,0,0,0,0,8886.34,8.5643,1.6089,3.00011,21.0183,

--Time Dependent Network MOE--,30 min interval
time_stamp_in_min,time_clock,cumulative_in_flow_count,cumulative_out_flow_count,number_vehicles_in_network,number_vehicles_entering_network,total_vehicle_mile_traveled,avg_trip_time (departure_time_based),avg_trip_time_index = trip time/FFTT,avg_distance,avg_speed,
930,15:30,31,0,31,31,8886.34,8.5643,1.6089,3.00011,21.0183,
960,16:00,3133,2186,947,3102,9700.62,15.1804,2.84421,3.00515,11.8777,
990,16:30,6413,4953,1460,3280,10009.7,21.6825,4.09127,2.98351,8.25598,
1020,17:00,9721,7723,1998,3308,9274.42,25.7381,4.83127,2.99852,6.99006,
1050,17:30,12638,10511,2127,2917,0,0,0,0,0,
1080,18:00,12638,11765,873,0,0,0,0,0,0,

--Time Dependent Network MOE--,15 min interval
time_stamp_in_min,time_clock,cumulative_in_flow_count,cumulative_out_flow_count,number_vehicles_in_network,number_vehicles_entering_network,total_vehicle_mile_traveled,avg_trip_time (departure_time_based),avg_trip_time_index = trip time/FFTT,avg_distance,avg_speed,
930,15:30,31,0,31,31,4078.52,6.8054,1.28252,2.98792,26.3431,
945,15:45,1487,827,660,1456,4807.83,10.0677,1.88624,3.01054,17.9418,
960,16:00,3133,2186,947,1646,5041.63,13.6194,2.5501,3.01173,13.2681,
975,16:15,4770,3541,1229,1637,4658.99,16.8619,3.16146,2.99806,10.668,
990,16:30,6413,4953,1460,1643,5038.09,20.0941,3.79666,2.97935,8.89622,
1005,16:45,7997,6338,1659,1584,4971.58,23.2968,4.38984,2.98773,7.6948,
1020,17:00,9721,7723,1998,1724,4985.04,25.6299,4.82291,2.99402,7.00903,
1035,17:15,11354,9111,2243,1633,4289.38,25.8643,4.84096,3.00377,6.96813,
1050,17:30,12638,10511,2127,1284,0,0,0,0,0,
1065,17:45,12638,11193,1445,0,0,0,0,0,0,
1080,18:00,12638,11765,873,0,0,0,0,0,0,
1095,18:15,12638,12291,347,0,0,0,0,0,0,

--Time Dependent Network MOE--,5 min interval
time_stamp_in_min,time_clock,cumulative_in_flow_count,cumulative_out_flow_count,number_vehicles_in_network,number_vehicles_entering_network,total_vehicle_mile_traveled,avg_trip_time (departure_time_based),avg_trip_time_index = trip time/FFTT,avg_distance,avg_speed,
930,15:30,31,0,31,31,920.232,5.86851,1.0751,3.08803,31.5722,
935,15:35,408,64,344,377,1581.43,6.55434,1.24375,2.96703,27.1609,
940,15:40,1031,344,687,623,1576.86,7.57882,1.44147,2.95291,23.3776,
945,15:45,1487,827,660,456,1621.74,8.89091,1.66207,3.03696,20.4948,
950,15:50,2033,1272,761,546,1767.03,9.98521,1.90351,2.94997,17.726,
955,15:55,2621,1736,885,588,1419.06,11.5284,2.11833,3.05832,15.9171,
960,16:00,3133,2186,947,512,1882.82,12.7033,2.35474,3.04663,14.3898,
965,16:05,3673,2646,1027,540,1411,13.5886,2.56366,2.99575,13.2277,
970,16:10,4221,3095,1126,548,1747.82,14.6121,2.74866,2.98772,12.2681,
975,16:15,4770,3541,1229,549,1595.95,15.776,2.97704,2.97198,11.3032,
980,16:20,5307,3986,1321,537,1756.9,17.1252,3.2254,2.99812,10.5042,
985,16:25,5857,4478,1379,550,1306.14,17.8569,3.30122,3.03048,10.1825,
