from_zone_id,to_zone_id,number_of_agents,number_of_agents_completing_trips,trip_time_in_min,distance
1,2,15,15,6.40666,1.4541
1,3,30,30,34.7133,2.9494
1,4,1,1,55.227,4.0067
1,5,11,11,38.1,4.7171
1,6,14,14,38.6286,5.0912
1,7,10,10,39.47,5.3937
1,8,1,1,59.8052,5.72036
1,9,67,67,51.3493,5.78556
1,10,5,5,51.3977,5.61813
1,11,90,90,49.15,4.77468
1,12,2,2,5.71631,2.9729
1,13,46,46,5.08696,2.8481
1,14,56,56,3.75357,2.0324
1,15,21,21,3.80001,2.0274
1,16,26,26,1.71155,0.873
1,17,21,21,1.98096,0.956
1,18,19,19,2.22631,0.9039
1,19,26,26,37.2846,4.3022
1,20,19,19,38.6895,4.7965
1,21,51,51,40.598,6.3201
1,22,26,26,50.9154,5.45236
1,23,12,12,52.6833,5.6859
1,24,67,67,8.07015,4.024
1,25,5,5,30.8866,3.7374
1,26,9,9,22.8638,2.98956
1,27,14,14,35.8643,3.1926
1,28,21,21,50.1238,4.775
1,30,9,9,42.4201,4.96698
1,31,28,28,18.2822,1.7174
1,32,19,19,1.88947,0.9323
1,33,8,8,34.4549,4.303
1,34,45,45,17.9378,1.56273
1,35,7,7,3.08503,1.4542
1,36,10,10,4.09,2.1084
1,37,22,22,35.65,3.1803
1,38,18,18,39.4055,5.2764
1,39,8,8,55.5433,5.58783
1,40,3,3,4.40578,2.4054
1,41,89,89,1.11011,0.6245
2,1,15,15,2.39333,1.4541
2,3,23,23,27.8957,2.0197
2,4,1,1,46.111,3.077
2,5,7,7,30.8616,3.7874
2,6,10,10,31.45,4.1615
2,7,7,7,36.3721,4.464
2,8,1,1,45.6208,4.79066
2,9,50,50,45.374,4.85586
2,10,3,3,63.2088,4.68843
2,11,68,68,43.1294,3.84498
2,12,1,1,4.47388,2.2962
2,13,34,34,3.8647,2.1714
2,14,42,42,4.74524,2.6648
2,15,16,16,4.74375,2.6598
2,16,19,19,3.3421,1.9531
2,17,15,15,2.24,1.0223
2,18,15,15,3.98,1.984
2,19,19,19,30.5316,3.3725
2,20,14,14,31.8072,3.8668
2,21,39,39,33.8461,5.3904
2,22,20,20,45.15,4.52266
2,23,9,9,47.6157,4.7562
2,24,51,51,6.84902,3.3473
2,25,3,3,42.9884,2.8077
2,26,7,7,15.1931,2.05986
2,27,11,11,28.7909,2.2629
2,28,15,15,44.0067,3.8453
2,30,6,6,47.8518,4.03728
2,31,21,21,12.1048,0.7877
2,32,13,13,1.96923,0.9986
2,33,6,6,30.4163,3.3733
2,34,34,34,11.7529,0.63303
2,35,5,5,2.97955,1.5187
2,36,8,8,4.38623,2.2815
2,37,16,16,28.7187,2.2506
2,38,14,14,32.4857,4.3467
2,39,5,5,37.7351,4.65813
2,40,4,4,3.91663,2.1278
2,41,67,67,2.68955,1.7046
3,1,31,31,24.8355,2.9494
3,2,23,23,23.5609,2.0197
3,4,2,2,3.05289,1.5699
3,5,16,16,3.79375,2.2803
3,6,21,21,4.31905,2.6544
3,7,15,15,5.18667,2.9569
3,8,2,2,24.5275,3.28356
3,9,101,101,18.7683,3.34876
3,10,7,7,20.6945,3.18133
3,11,135,135,16.6052,2.33788
3,12,3,3,37.2417,3.39886
3,13,68,68,26.1515,3.27406
3,14,84,84,27.0536,3.76746
3,15,31,31,27.0742,3.76246
3,16,39,39,25.8487,3.4484
3,17,31,31,24.7484,2.5176
3,18,30,30,26.26,3.4793
3,19,39,39,3.45385,1.8654
3,20,29,29,4.71379,2.3597
3,21,78,78,6.82564,3.8833
3,22,39,39,17.9872,3.01556
3,23,18,18,18.7222,3.2491
3,24,102,102,17.5392,2.62808
3,25,7,7,4.47114,1.3006
3,26,13,13,4.13846,1.10323
3,27,22,22,1.67728,0.7558
3,28,32,32,16.7531,2.3382
3,30,14,14,17.3214,2.53018
3,31,42,42,21.8524,0.7075
3,32,27,27,24.4889,2.4939
3,33,12,12,3.36666,1.8662
3,34,68,68,21.5912,0.590229
3,35,10,10,25.3,2.62136
3,36,16,16,26.775,3.38416
3,37,32,32,1.64687,0.7435
3,38,28,28,5.4393,2.8396
3,39,11,11,18.5727,3.15103
3,40,4,4,23.4493,3.23046
3,41,134,134,25.2634,3.1999
4,1,2,2,39.686,4.0067
4,2,1,1,6.96277,3.077
4,3,2,2,13.4727,1.5699
4,5,1,1,2.37372,1.3162
4,6,1,1,2.79596,1.6903
4,7,1,1,3.59167,1.9928
4,9,5,5,5.8517,3.1629
4,11,6,6,24.5222,3.39518
4,13,4,4,38.3931,4.33136
4,14,4,4,29.4959,4.82476
4,15,1,1,49.7496,4.81976
4,16,2,2,48.1216,4.5057
4,17,2,2,15.5721,3.5749
4,18,1,1,55.6417,4.5366
4,19,2,2,1.92123,0.9013
4,20,1,1,3.16223,1.3956
4,21,4,4,5.26877,2.9192
4,22,2,2,5.32257,2.39643
4,23,1,1,6.52789,2.8037
