agent_id,tour_id,from_zone_id,to_zone_id,from_origin_node_id,to_destination_node_id,departure_time_in_min,end_time_in_min,travel_time_in_min,demand_type,information_type,value_of_time,vehicle_type,vehicle_age,distance
0,0,14,2,5037,11123,930.05,934.60,4.55,1,1,10.00,1,0,2.66,
1,1,21,18,6253,1286,930.05,942.20,12.15,1,1,10.00,1,5,6.85,
2,2,7,38,11281,1397,930.09,933.30,3.21,1,1,10.00,1,5,1.34,
3,3,16,14,11827,5037,930.19,932.90,2.71,1,1,10.00,1,10,1.53,
4,4,18,27,1286,1346,930.22,936.70,6.48,1,1,10.00,1,5,3.72,
5,5,28,26,1359,1323,930.28,933.40,3.12,1,1,10.00,1,5,1.48,
6,6,24,9,1325,5356,930.35,935.00,4.65,1,1,10.00,1,0,1.99,
7,7,21,17,6253,1289,930.39,940.90,10.51,1,1,10.00,1,15,5.89,
8,8,3,25,11159,1354,930.40,933.00,2.60,1,1,10.00,1,5,1.30,
9,9,27,1,1346,5577,930.43,935.40,4.97,1,1,10.00,1,10,3.19,
10,10,21,27,6253,1346,930.44,936.40,5.96,1,1,10.00,1,10,3.13,
11,11,5,10,11282,5929,930.46,936.10,5.64,1,1,10.00,1,10,2.92,
12,12,36,11,1299,5119,930.50,936.10,5.60,1,1,10.00,1,5,2.39,
13,13,13,37,5034,1349,930.51,936.60,6.09,1,1,10.00,1,5,3.50,
14,14,4,26,11180,1323,930.60,934.30,3.70,1,1,10.00,1,15,2.16,
15,15,24,30,1325,1360,930.66,932.90,2.24,1,1,10.00,1,5,0.82,
16,16,8,41,10847,5578,930.68,941.00,10.32,1,1,10.00,1,0,5.85,
17,17,21,31,6253,1316,930.73,938.70,7.97,1,1,10.00,1,0,4.08,
18,18,39,38,1404,1397,930.77,937.50,6.73,1,1,10.00,1,10,3.02,
19,19,24,41,1325,5578,930.80,938.90,8.10,1,1,10.00,1,0,4.27,
20,20,9,28,5356,1359,930.81,933.30,2.49,1,1,10.00,1,0,1.03,
21,21,38,16,1397,11827,930.84,940.90,10.06,1,1,10.00,1,10,5.78,
22,22,37,7,1349,11281,930.87,934.40,3.53,1,1,10.00,1,5,1.58,
23,23,2,40,11123,1296,930.88,934.70,3.82,1,1,10.00,1,15,2.13,
24,24,3,11,11159,5119,930.88,935.00,4.12,1,1,10.00,1,5,2.34,
25,25,3,41,11159,5578,930.89,935.60,4.71,1,1,10.00,1,10,3.20,
26,26,27,26,1346,1323,930.89,933.60,2.71,1,1,10.00,1,0,1.35,
27,27,19,3,1352,11159,930.92,934.30,3.38,1,1,10.00,1,10,1.87,
28,28,28,1,1359,5577,930.93,938.80,7.87,1,1,10.00,1,15,4.77,
29,29,15,31,4899,1318,930.96,935.90,4.94,1,1,10.00,1,15,2.53,
30,30,25,19,1354,1352,930.99,933.70,2.71,1,1,10.00,1,5,1.09,
31,31,5,36,11282,1299,931.00,940.00,9.00,1,1,10.00,1,15,5.15,
32,32,16,34,11827,1319,931.02,933.90,2.88,1,1,10.00,1,10,1.44,
33,33,18,32,1286,1285,931.03,934.20,3.17,1,1,10.00,1,0,1.46,
34,34,31,5,8002,11282,931.09,935.30,4.21,1,1,10.00,1,10,2.48,
35,35,12,39,11151,1404,931.15,937.40,6.25,1,1,10.00,1,5,2.75,
36,36,3,24,11159,1325,931.17,936.20,5.03,1,1,10.00,1,10,2.63,
37,37,3,9,11159,5356,931.18,937.80,6.62,1,1,10.00,1,10,3.35,
38,38,41,17,5578,1289,931.18,933.30,2.12,1,1,10.00,1,10,1.21,
39,39,35,18,1290,1286,931.19,934.70,3.51,1,1,10.00,1,5,1.48,
40,40,27,6,1346,5238,931.20,934.50,3.30,1,1,10.00,1,10,1.91,
41,41,1,11,5577,5119,931.32,939.40,8.08,1,1,10.00,1,10,4.77,
42,42,1,41,5577,5578,931.33,932.50,1.17,1,1,10.00,1,10,0.62,
43,43,24,41,1325,5578,931.36,939.50,8.14,1,1,10.00,1,5,4.27,
44,44,31,39,8002,1404,931.36,938.00,6.64,1,1,10.00,1,0,3.35,
45,45,37,26,1349,1323,931.38,933.30,1.92,1,1,10.00,1,5,0.86,
46,46,21,5,6253,11282,931.39,935.30,3.91,1,1,10.00,1,5,2.14,
47,47,3,14,11159,5037,931.41,937.80,6.39,1,1,10.00,1,5,3.77,
48,48,24,32,1325,1285,931.45,939.00,7.55,1,1,10.00,1,0,3.82,
49,49,35,20,1290,1356,931.48,939.60,8.12,1,1,10.00,1,5,3.88,
50,50,3,21,11159,6253,931.52,938.00,6.48,1,1,10.00,1,10,3.88,
51,51,21,16,6253,11827,931.53,943.20,11.67,1,1,10.00,1,5,6.82,
52,52,2,40,11123,1296,931.54,935.40,3.86,1,1,10.00,1,15,2.13,
53,53,34,7,1320,11281,931.55,936.70,5.15,1,1,10.00,1,5,3.03,
54,54,4,35,11180,1290,931.56,938.30,6.74,1,1,10.00,1,10,3.68,
55,55,14,17,5037,1289,931.56,935.60,4.04,1,1,10.00,1,5,2.10,
56,56,19,37,1352,1353,931.58,933.60,2.02,1,1,10.00,1,0,0.71,
57,57,36,34,1299,1320,931.66,935.20,3.54,1,1,10.00,1,15,1.76,
58,58,9,38,5356,1397,931.68,936.90,5.22,1,1,10.00,1,15,2.51,
59,59,13,3,5034,11159,931.68,937.10,5.42,1,1,10.00,1,5,3.27,
60,60,33,32,1351,1285,931.73,938.20,6.47,1,1,10.00,1,15,3.85,
61,61,3,34,11159,1320,931.74,932.80,1.06,1,1,10.00,1,15,0.59,
62,62,2,11,11123,5119,931.74,938.70,6.96,1,1,10.00,1,0,3.84,
63,63,3,13,11159,5034,931.74,937.20,5.46,1,1,10.00,1,5,3.27,
64,64,17,11,1289,5119,931.74,939.50,7.76,1,1,10.00,1,15,4.34,
65,65,28,3,1359,11159,931.75,936.00,4.25,1,1,10.00,1,10,2.34,
