agent_id,from_zone_id,to_zone_id,from_origin__node_id,to_destination_node_id,departure_time,demand_type,pricing_type,information_type,value_of_time,vehicle_type,vehicle_age,number_of_nodes
0,4147,4136,4147,4136,990.08,1,1,1,30.00,1,0,5,
1,20,4136,20,4136,990.10,1,1,1,15.00,1,0,4,
2,5076,4136,5076,4136,990.12,1,1,1,10.00,1,0,5,
3,4136,5076,4136,5076,990.15,1,1,1,10.00,1,0,5,
4,4147,4136,4147,4136,990.16,1,1,1,1.00,1,0,5,
5,4023,9715,4023,9715,990.16,1,1,1,5.00,1,0,3,
6,20,4136,20,4136,990.20,1,1,1,10.00,1,0,4,
7,4147,5076,4147,5076,990.23,1,1,1,1.00,1,0,3,
8,4147,4136,4147,4136,990.24,1,1,1,10.00,1,0,5,
9,20,5076,20,5076,990.24,1,1,1,5.00,1,0,4,
10,5076,4136,5076,4136,990.25,1,1,1,30.00,1,0,5,
11,20,4136,20,4136,990.30,1,1,1,5.00,1,0,4,
12,4136,5076,4136,5076,990.30,1,1,1,10.00,1,0,5,
13,20020,4136,20020,4136,990.31,1,1,1,30.00,1,0,4,
14,9715,4023,9715,4023,990.32,1,1,1,5.00,2,0,3,
15,4147,4136,4147,4136,990.32,1,1,1,5.00,1,0,5,
16,4023,9715,4023,9715,990.33,1,1,1,10.00,2,0,3,
17,5076,4136,5076,4136,990.37,1,1,1,5.00,2,0,5,
18,20021,4136,20021,4136,990.39,1,1,1,60.00,1,0,5,
19,20,4136,20,4136,990.40,1,1,1,30.00,1,0,4,
20,4147,4136,4147,4136,990.40,1,1,1,30.00,1,0,5,
21,20,9715,20,9715,990.45,1,1,1,30.00,2,0,4,
22,4147,5076,4147,5076,990.45,1,1,1,30.00,1,0,3,
23,4136,5076,4136,5076,990.46,1,1,1,5.00,1,0,5,
24,4147,4136,4147,4136,990.48,1,1,1,20.00,1,0,5,
25,4147,9715,4147,9715,990.48,1,1,1,20.00,2,0,5,
26,20,5076,20,5076,990.49,1,1,1,30.00,1,0,4,
27,4023,9715,4023,9715,990.49,1,1,1,60.00,1,0,3,
28,5076,4136,5076,4136,990.49,1,1,1,20.00,1,0,5,
29,20,4136,20,4136,990.50,1,1,1,5.00,1,0,4,
30,4023,4136,4023,4136,990.51,1,1,1,60.00,2,0,3,
31,20,4023,20,4023,990.54,1,1,1,1.00,1,5,4,
32,5076,4147,5076,4147,990.55,1,1,1,15.00,1,0,3,
33,4147,4136,4147,4136,990.56,1,1,1,1.00,1,0,5,
34,20,4147,20,4147,990.58,1,1,1,30.00,2,0,4,
35,20,4136,20,4136,990.60,1,1,1,5.00,1,0,4,
36,4136,5076,4136,5076,990.61,1,1,1,30.00,2,0,5,
37,5076,4136,5076,4136,990.62,1,1,1,20.00,1,0,5,
38,20020,4136,20020,4136,990.62,1,1,1,15.00,1,0,4,
39,9715,4023,9715,4023,990.63,1,1,1,1.00,2,0,3,
40,4147,4136,4147,4136,990.64,1,1,1,10.00,1,0,5,
41,9715,4136,9715,4136,990.65,1,1,1,30.00,2,0,3,
42,4023,9715,4023,9715,990.65,1,1,1,30.00,2,0,3,
43,4147,5076,4147,5076,990.68,1,1,1,15.00,2,0,3,
44,20,4136,20,4136,990.70,1,1,1,20.00,2,0,4,
45,20021,5076,20021,5076,990.71,1,1,1,15.00,1,0,3,
46,4147,4136,4147,4136,990.72,1,1,1,40.00,2,0,5,
47,20,5076,20,5076,990.73,1,1,1,15.00,1,0,4,
48,5076,4136,5076,4136,990.74,1,1,1,10.00,1,0,5,
49,4136,5076,4136,5076,990.76,1,1,1,5.00,2,0,5,
50,20021,4136,20021,4136,990.77,1,1,1,1.00,1,0,5,
51,20,4136,20,4136,990.79,1,1,1,10.00,1,0,4,
52,4147,4136,4147,4136,990.80,1,1,1,5.00,1,0,5,
53,20,20021,20,20021,990.80,1,1,1,30.00,1,0,4,
54,4023,9715,4023,9715,990.82,1,1,1,30.00,1,0,3,
55,4147,20,4147,20,990.85,1,1,1,20.00,1,0,4,
56,5076,4136,5076,4136,990.86,1,1,1,10.00,1,0,5,
57,4147,4136,4147,4136,990.88,1,1,1,15.00,1,0,5,
58,20,4136,20,4136,990.89,1,1,1,15.00,1,0,4,
59,20,9715,20,9715,990.90,1,1,1,20.00,2,0,4,
60,4147,5076,4147,5076,990.91,1,1,1,10.00,1,0,3,
61,4136,5076,4136,5076,990.91,1,1,1,30.00,1,0,5,
62,20020,4136,20020,4136,990.93,1,1,1,30.00,1,0,4,
63,9715,4023,9715,4023,990.95,1,1,1,10.00,1,0,3,
64,4147,4136,4147,4136,990.95,1,1,1,10.00,2,0,5,
65,4147,9715,4147,9715,990.97,1,1,1,5.00,1,0,5,
66,20,5076,20,5076,990.98,1,1,1,30.00,1,0,4,
67,4023,9715,4023,9715,990.98,1,1,1,30.00,1,0,3,
