agent_id,tour_id,dependency_agent_id,duration_in_min,following_agent_id,from_zone_id, to_zone_id, from_origin_node_id, to_destination_node_id, departure_time_in_min, arrival_time_in_min, complete_flag, travel_time_in_min, demand_type, vehicle_type, PCE, information_type, value_of_time, toll_cost, distance, TotalEnergy_(KJ), CO2_(g), NOX_(g), CO_(g), HC_(g), PM_(g), PM_2.5(g),vehicle_age,number_of_nodes,path_node_sequence,org_path_node_sequence,path_time_sequence,origin_node_x,origin_node_y,destination_node_x,destination_node_y,
0,-1,-1,-1,-1,1,6,1,6,938.00,938.60,c,0.60,1,1,1.00,1,10.00,0.000,0.650,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,10,7,1;7;2;3;4;5;6;,,938.0;938.1;938.2;938.3;938.4;938.5;938.6;,-111.845202,40.758446,-111.820398,40.733720,
1,-1,-1,-1,-1,1,6,1,6,946.00,946.60,c,0.60,1,1,1.00,1,10.00,0.000,0.650,0.000000,0.000000,0.000000,643.669617,0.000000,0.000000,0.000000,15,7,1;7;2;3;4;5;6;,,946.0;946.1;946.2;946.3;946.4;946.5;946.6;,-111.845202,40.758446,-111.820398,40.733720,
2,-1,-1,-1,-1,1,6,1,6,954.00,954.60,c,0.60,1,1,1.00,1,10.00,0.000,0.650,0.000000,0.000000,0.000000,643.669617,0.000000,0.000000,0.000000,10,7,1;7;2;3;4;5;6;,,954.0;954.1;954.2;954.3;954.4;954.5;954.6;,-111.845202,40.758446,-111.820398,40.733720,
3,-1,-1,-1,-1,1,6,1,6,962.00,962.60,c,0.60,1,1,1.00,1,10.00,0.000,0.650,0.000000,0.000000,0.000000,643.669617,0.000000,0.000000,0.000000,5,7,1;7;2;3;4;5;6;,,962.0;962.1;962.2;962.3;962.4;962.5;962.6;,-111.845202,40.758446,-111.820398,40.733720,
4,-1,-1,-1,-1,1,6,1,6,970.00,970.60,c,0.60,1,1,1.00,1,10.00,0.000,0.650,0.000000,0.000000,0.000000,643.669617,0.000000,0.000000,0.000000,5,7,1;7;2;3;4;5;6;,,970.0;970.1;970.2;970.3;970.4;970.5;970.6;,-111.845202,40.758446,-111.820398,40.733720,
5,-1,-1,-1,-1,1,6,1,6,978.00,978.60,c,0.60,1,1,1.00,1,10.00,0.000,0.650,0.000000,0.000000,0.000000,643.669617,0.000000,0.000000,0.000000,5,7,1;7;2;3;4;5;6;,,978.0;978.1;978.2;978.3;978.4;978.5;978.6;,-111.845202,40.758446,-111.820398,40.733720,
6,-1,-1,-1,-1,1,6,1,6,986.00,986.60,c,0.60,1,1,1.00,1,10.00,0.000,0.650,0.000000,0.000000,0.000000,643.669617,0.000000,0.000000,0.000000,10,7,1;7;2;3;4;5;6;,,986.0;986.1;986.2;986.3;986.4;986.5;986.6;,-111.845202,40.758446,-111.820398,40.733720,
7,-1,-1,-1,-1,1,6,1,6,994.00,994.60,c,0.60,1,1,1.00,1,10.00,0.000,0.650,0.000000,0.000000,0.000000,643.669617,0.000000,0.000000,0.000000,10,7,1;7;2;3;4;5;6;,,994.0;994.1;994.2;994.3;994.4;994.5;994.6;,-111.845202,40.758446,-111.820398,40.733720,
8,-1,-1,-1,-1,1,6,1,6,1002.00,1002.60,c,0.60,1,1,1.00,1,10.00,0.000,0.650,0.000000,0.000000,0.000000,643.669617,0.000000,0.000000,0.000000,10,7,1;7;2;3;4;5;6;,,1002.0;1002.1;1002.2;1002.3;1002.4;1002.5;1002.6;,-111.845202,40.758446,-111.820398,40.733720,
9,-1,-1,-1,-1,1,6,1,6,1010.00,1010.60,c,0.60,1,1,1.00,1,10.00,0.000,0.650,0.000000,0.000000,0.000000,643.669617,0.000000,0.000000,0.000000,5,7,1;7;2;3;4;5;6;,,1010.0;1010.1;1010.2;1010.3;1010.4;1010.5;1010.6;,-111.845202,40.758446,-111.820398,40.733720,
10,-1,-1,-1,-1,1,6,1,6,1018.00,1018.60,c,0.60,1,1,1.00,1,10.00,0.000,0.650,0.000000,0.000000,0.000000,643.669617,0.000000,0.000000,0.000000,5,7,1;7;2;3;4;5;6;,,1018.0;1018.1;1018.2;1018.3;1018.4;1018.5;1018.6;,-111.845202,40.758446,-111.820398,40.733720,
11,-1,-1,-1,-1,1,6,1,6,1026.00,1026.60,c,0.60,1,1,1.00,1,10.00,0.000,0.650,0.000000,0.000000,0.000000,643.669617,0.000000,0.000000,0.000000,0,7,1;7;2;3;4;5;6;,,1026.0;1026.1;1026.2;1026.3;1026.4;1026.5;1026.6;,-111.845202,40.758446,-111.820398,40.733720,
12,-1,-1,-1,-1,1,6,1,6,1034.00,1034.60,c,0.60,1,1,1.00,1,10.00,0.000,0.650,0.000000,0.000000,0.000000,643.669617,0.000000,0.000000,0.000000,15,7,1;7;2;3;4;5;6;,,1034.0;1034.1;1034.2;1034.3;1034.4;1034.5;1034.6;,-111.845202,40.758446,-111.820398,40.733720,
13,-1,-1,-1,-1,1,6,1,6,1042.00,1042.60,c,0.60,1,1,1.00,1,10.00,0.000,0.650,0.000000,0.000000,0.000000,643.669617,0.000000,0.000000,0.000000,10,7,1;7;2;3;4;5;6;,,1042.0;1042.1;1042.2;1042.3;1042.4;1042.5;1042.6;,-111.845202,40.758446,-111.820398,40.733720,
