time_stamp_in_min,cumulative_in_flow_count,cumulative_out_flow_count,number_of_vehicles_in_network,flow_in_a_min,avg_trip_time_in_min
930,7,0,7,35,33.0673,
931,15,0,15,40,33.0684,
932,22,0,22,35,33.0695,
933,30,0,30,40,33.0706,
934,37,0,37,35,33.0717,
935,45,0,45,40,33.0728,
936,52,0,52,35,33.0739,
937,60,0,60,40,33.075,
938,67,0,67,35,33.0476,
939,75,0,75,40,33.0397,
940,82,0,82,35,33.0498,
941,90,0,90,40,33.042,
942,97,0,97,35,33.052,
943,105,0,105,40,33.0442,
944,112,0,112,35,33.0542,
945,120,0,120,40,33.0464,
946,127,0,127,35,33.0564,
947,135,0,135,40,33.0486,
948,142,0,142,35,33.0587,
949,150,0,150,40,33.0508,
950,157,0,157,35,33.0609,
951,165,0,165,40,33.0531,
952,172,0,172,35,33.0631,
953,180,0,180,40,33.0553,
954,187,0,187,35,33.0653,
955,195,0,195,40,33.0575,
956,202,0,202,35,33.0675,
957,210,0,210,40,33.0597,
958,217,0,217,35,33.0698,
959,225,0,225,40,33.062,
960,232,0,232,35,33.072,
961,240,0,240,40,33.0642,
962,247,0,247,35,33.0742,
963,255,6,249,40,33.0664,
964,262,14,248,35,33.0764,
965,270,21,249,40,33.0686,
966,277,29,248,35,33.0786,
967,285,36,249,40,33.0708,
968,292,44,248,35,33.038,
969,300,51,249,40,33.048,
970,307,59,248,35,33.0402,
971,315,66,249,40,33.0503,
972,322,74,248,35,33.0424,
973,330,81,249,40,33.0525,
974,337,89,248,35,33.0447,
975,345,96,249,40,33.0547,
976,352,104,248,35,33.0469,
977,360,111,249,40,33.0569,
978,367,119,248,35,33.0491,
979,375,126,249,40,33.0591,
980,382,134,248,35,33.0513,
981,390,141,249,40,33.0614,
982,397,149,248,35,33.0535,
983,405,156,249,40,33.0636,
984,412,164,248,35,33.0558,
985,420,171,249,40,33.0658,
986,427,179,248,35,33.058,
987,435,186,249,40,33.068,
988,442,194,248,35,33.0602,
989,450,201,249,40,33.0702,
990,458,209,249,40,33.0673,
991,465,216,249,35,33.0684,
992,473,224,249,40,33.0695,
993,480,231,249,35,33.0706,
994,488,239,249,40,33.0717,
995,495,246,249,35,33.0728,
996,503,254,249,40,33.0739,
997,510,261,249,35,33.075,
998,518,269,249,40,33.0511,
999,525,276,249,35,33.0487,
1000,533,284,249,40,33.0533,
1001,540,292,248,35,33.0509,
1002,548,299,249,40,33.0556,
1003,555,307,248,35,33.0531,
1004,563,314,249,40,33.0578,
1005,570,322,248,35,33.0553,
1006,578,329,249,40,33.06,
1007,585,337,248,35,33.0575,
1008,593,344,249,40,33.0497,
1009,600,352,248,35,33.0598,
1010,608,359,249,40,33.0519,
1011,615,367,248,35,33.062,
1012,623,374,249,40,33.0542,
1013,630,382,248,35,33.0642,
1014,638,389,249,40,33.0564,
1015,645,397,248,35,33.0664,
1016,653,404,249,40,33.0586,
1017,660,412,248,35,33.0686,
1018,668,419,249,40,33.0608,
1019,675,427,248,35,33.0709,
1020,683,434,249,40,33.063,
1021,690,442,248,35,33.0731,
1022,698,449,249,40,33.0653,
1023,705,457,248,35,33.0753,
1024,713,464,249,40,33.0675,
1025,720,472,248,35,33.0775,
1026,728,479,249,40,33.0697,
1027,735,487,248,35,33.0797,
1028,743,494,249,40,33.047,
1029,750,502,248,35,33.0534,
1030,758,509,249,40,33.0491,
1031,765,517,248,35,33.0556,
1032,773,524,249,40,33.0513,
1033,780,532,248,35,33.0579,
1034,788,539,249,40,33.0536,
1035,795,547,248,35,33.0601,
1036,803,554,249,40,33.0558,
1037,810,562,248,35,33.048,
1038,818,569,249,40,33.0581,
1039,825,577,248,35,33.0502,
1040,833,584,249,40,33.0603,
1041,840,592,248,35,33.0524,
1042,848,599,249,40,33.0625,
1043,855,607,248,35,33.0547,
1044,863,614,249,40,33.0647,
1045,870,622,248,35,33.0569,
1046,878,629,249,40,33.0669,
1047,885,637,248,35,33.0591,
1048,893,644,249,40,33.0692,
1049,900,652,248,35,33.0613,
1050,900,659,241,0,0,
1051,900,667,233,0,0,
1052,900,674,226,0,0,
1053,900,682,218,0,0,
1054,900,689,211,0,0,
1055,900,697,203,0,0,
1056,900,704,196,0,0,
1057,900,712,188,0,0,
1058,900,719,181,0,0,
1059,900,727,173,0,0,
1060,900,734,166,0,0,
1061,900,742,158,0,0,
1062,900,750,150,0,0,
1063,900,757,143,0,0,
1064,900,765,135,0,0,
1065,900,772,128,0,0,
1066,900,780,120,0,0,
1067,900,787,113,0,0,
1068,900,795,105,0,0,
1069,900,802,98,0,0,
1070,900,810,90,0,0,
1071,900,817,83,0,0,
1072,900,825,75,0,0,
1073,900,832,68,0,0,
1074,900,840,60,0,0,
1075,900,847,53,0,0,
1076,900,855,45,0,0,
1077,900,862,38,0,0,
1078,900,870,30,0,0,
1079,900,877,23,0,0,
1080,900,885,15,0,0,
1081,900,892,8,0,0,
1082,900,900,0,0,0,
