agent_id,tour_id,dependency_agent_id,duration_in_min,following_agent_id,from_zone_id, to_zone_id, from_origin_node_id, to_destination_node_id, departure_time_in_min, arrival_time_in_min, complete_flag, travel_time_in_min, demand_type, vehicle_type, PCE, information_type, value_of_time, toll_cost, distance, TotalEnergy_(KJ), CO2_(g), NOX_(g), CO_(g), HC_(g), PM_(g), PM_2.5(g),vehicle_age,number_of_nodes,path_node_sequence,org_path_node_sequence,path_time_sequence,origin_node_x,origin_node_y,destination_node_x,destination_node_y,
0,-1,-1,-1,-1,1,2,1,2,930.13,963.20,c,33.07,1,1,1.00,1,10.00,0.000,35.781,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,15,3,1;4;2;,,930.1;947.6;963.2;,27.613539,26.820908,55.891174,28.320480,
1,-1,-1,-1,-1,1,2,1,2,930.27,963.30,c,33.03,1,1,1.00,1,10.00,0.000,35.781,0.000000,0.000000,0.000000,35435.449219,0.000000,0.000000,0.000000,15,3,1;4;2;,,930.2;947.8;963.3;,27.613539,26.820908,55.891174,28.320480,
2,-1,-1,-1,-1,1,2,1,2,930.40,963.50,c,33.10,1,1,1.00,1,10.00,0.000,35.781,0.000000,0.000000,0.000000,35463.835938,0.000000,0.000000,0.000000,5,3,1;4;2;,,930.3;947.9;963.5;,27.613539,26.820908,55.891174,28.320480,
3,-1,-1,-1,-1,1,2,1,2,930.53,963.60,c,33.07,1,1,1.00,1,10.00,0.000,35.781,0.000000,0.000000,0.000000,35449.734375,0.000000,0.000000,0.000000,0,3,1;4;2;,,930.5;948.0;963.6;,27.613539,26.820908,55.891174,28.320480,
4,-1,-1,-1,-1,1,2,1,2,930.67,963.70,c,33.03,1,1,1.00,1,10.00,0.000,35.781,0.000000,0.000000,0.000000,35435.632813,0.000000,0.000000,0.000000,10,3,1;4;2;,,930.6;948.2;963.7;,27.613539,26.820908,55.891174,28.320480,
5,-1,-1,-1,-1,1,2,1,2,930.80,963.90,c,33.10,1,1,1.00,1,10.00,0.000,35.781,0.000000,0.000000,0.000000,35464.015625,0.000000,0.000000,0.000000,10,3,1;4;2;,,930.7;948.3;963.9;,27.613539,26.820908,55.891174,28.320480,
6,-1,-1,-1,-1,1,2,1,2,930.93,964.00,c,33.07,1,1,1.00,1,10.00,0.000,35.781,0.000000,0.000000,0.000000,35449.914063,0.000000,0.000000,0.000000,10,3,1;4;2;,,930.9;948.4;964.0;,27.613539,26.820908,55.891174,28.320480,
7,-1,-1,-1,-1,1,2,1,2,931.07,964.10,c,33.03,1,1,1.00,1,10.00,0.000,35.781,0.000000,0.000000,0.000000,35435.812500,0.000000,0.000000,0.000000,0,3,1;4;2;,,931.0;948.6;964.1;,27.613539,26.820908,55.891174,28.320480,
8,-1,-1,-1,-1,1,2,1,2,931.20,964.30,c,33.10,1,1,1.00,1,10.00,0.000,35.781,0.000000,0.000000,0.000000,35464.199219,0.000000,0.000000,0.000000,15,3,1;4;2;,,931.1;948.7;964.3;,27.613539,26.820908,55.891174,28.320480,
9,-1,-1,-1,-1,1,2,1,2,931.33,964.40,c,33.07,1,1,1.00,1,10.00,0.000,35.781,0.000000,0.000000,0.000000,35450.125000,0.000000,0.000000,0.000000,0,3,1;4;2;,,931.3;948.8;964.4;,27.613539,26.820908,55.891174,28.320480,
