agent_id,tour_id,from_zone_id,to_zone_id,from_origin_node_id,to_destination_node_id,departure_time_in_min,end_time_in_min,travel_time_in_min,demand_type,information_type,value_of_time,vehicle_type,vehicle_age,distance
0,0,1,2,1,2,930.13,963.20,33.07,1,1,10.00,1,15,35.78,
1,1,1,2,1,2,930.27,963.30,33.03,1,1,10.00,1,15,35.78,
2,2,1,2,1,2,930.40,963.50,33.10,1,1,10.00,1,5,35.78,
3,3,1,2,1,2,930.53,963.60,33.07,1,1,10.00,1,0,35.78,
4,4,1,2,1,2,930.67,963.70,33.03,1,1,10.00,1,10,35.78,
5,5,1,2,1,2,930.80,963.90,33.10,1,1,10.00,1,10,35.78,
6,6,1,2,1,2,930.93,964.00,33.07,1,1,10.00,1,10,35.78,
7,7,1,2,1,2,931.07,964.10,33.03,1,1,10.00,1,0,35.78,
8,8,1,2,1,2,931.20,964.30,33.10,1,1,10.00,1,15,35.78,
9,9,1,2,1,2,931.33,964.40,33.07,1,1,10.00,1,0,35.78,
10,10,1,2,1,2,931.47,964.50,33.03,1,1,10.00,1,5,35.78,
11,11,1,2,1,2,931.60,964.70,33.10,1,1,10.00,1,10,35.78,
12,12,1,2,1,2,931.73,964.80,33.07,1,1,10.00,1,10,35.78,
13,13,1,2,1,2,931.86,964.90,33.04,1,1,10.00,1,5,35.78,
14,14,1,2,1,2,932.00,965.10,33.10,1,1,10.00,1,0,35.78,
15,15,1,2,1,2,932.13,965.20,33.07,1,1,10.00,1,10,35.78,
16,16,1,2,1,2,932.26,965.30,33.04,1,1,10.00,1,15,35.78,
17,17,1,2,1,2,932.40,965.50,33.10,1,1,10.00,1,5,35.78,
18,18,1,2,1,2,932.53,965.60,33.07,1,1,10.00,1,10,35.78,
19,19,1,2,1,2,932.66,965.70,33.04,1,1,10.00,1,0,35.78,
20,20,1,2,1,2,932.80,965.90,33.10,1,1,10.00,1,5,35.78,
21,21,1,2,1,2,932.93,966.00,33.07,1,1,10.00,1,5,35.78,
22,22,1,2,1,2,933.06,966.10,33.04,1,1,10.00,1,5,35.78,
23,23,1,2,1,2,933.20,966.30,33.10,1,1,10.00,1,5,35.78,
24,24,1,2,1,2,933.33,966.40,33.07,1,1,10.00,1,10,35.78,
25,25,1,2,1,2,933.46,966.50,33.04,1,1,10.00,1,5,35.78,
26,26,1,2,1,2,933.60,966.70,33.10,1,1,10.00,1,10,35.78,
27,27,1,2,1,2,933.73,966.80,33.07,1,1,10.00,1,5,35.78,
28,28,1,2,1,2,933.86,966.90,33.04,1,1,10.00,1,5,35.78,
29,29,1,2,1,2,934.00,967.10,33.10,1,1,10.00,1,10,35.78,
30,30,1,2,1,2,934.13,967.20,33.07,1,1,10.00,1,15,35.78,
31,31,1,2,1,2,934.26,967.30,33.04,1,1,10.00,1,10,35.78,
32,32,1,2,1,2,934.40,967.50,33.10,1,1,10.00,1,0,35.78,
33,33,1,2,1,2,934.53,967.60,33.07,1,1,10.00,1,0,35.78,
34,34,1,2,1,2,934.66,967.70,33.04,1,1,10.00,1,15,35.78,
35,35,1,2,1,2,934.79,967.90,33.11,1,1,10.00,1,10,35.78,
36,36,1,2,1,2,934.93,968.00,33.07,1,1,10.00,1,15,35.78,
37,37,1,2,1,2,935.06,968.10,33.04,1,1,10.00,1,10,35.78,
38,38,1,2,1,2,935.19,968.30,33.11,1,1,10.00,1,0,35.78,
39,39,1,2,1,2,935.33,968.40,33.07,1,1,10.00,1,0,35.78,
40,40,1,2,1,2,935.46,968.50,33.04,1,1,10.00,1,15,35.78,
41,41,1,2,1,2,935.59,968.70,33.11,1,1,10.00,1,10,35.78,
42,42,1,2,1,2,935.73,968.80,33.07,1,1,10.00,1,5,35.78,
43,43,1,2,1,2,935.86,968.90,33.04,1,1,10.00,1,0,35.78,
