node_id,up_node_id,dest_node_id,name,turn_type,turn_direction,prohibited_flag,
4022,4023,4031, ,Right,WBR,0,
4022,4023,4136, ,Left,WBL,0,
4022,4023,9715, ,Through,WBT,0,
4022,4031,4023, ,Left,SEL,0,
4022,4031,4136, ,Through,SET,0,
4022,4031,9715, ,Right,SER,0,
4022,4136,4023, ,Right,NBR,0,
4022,4136,4031, ,Through,NBT,0,
4022,4136,9715, ,Left,NBL,0,
4022,9715,4023, ,Through,EBT,0,
4022,9715,4031, ,Left,EBL,0,
4022,9715,4136, ,Right,EBR,0,
4031,20,20020, ,Through,WBT,0,
4031,20,4022, ,Left,WBL,0,
4031,20,4032, ,Right,WBR,0,
4031,20020,20, ,Through,EBT,0,
4031,20020,4022, ,Right,EBR,0,
4031,20020,4032, ,Left,EBL,0,
4031,4022,20, ,Right,NBR,0,
4031,4022,20020, ,Left,NBL,0,
4031,4022,4032, ,Through,NBT,0,
4031,4032,20, ,Left,EBL,0,
4031,4032,20020, ,Right,EBR,0,
4031,4032,4022, ,Through,EBT,0,
4032,4031,4147, ,Right,NWR,0,
4032,4031,5076, ,Through,NWT,0,
4032,4031,20021, ,Left,NWL,0,
4032,4147,4031, ,Left,SBL,0,
4032,4147,5076, ,Right,SBR,0,
4032,4147,20021, ,Through,SBT,0,
4032,5076,4031, ,Through,EBT,0,
4032,5076,4147, ,Left,EBL,0,
4032,5076,20021, ,Right,EBR,0,
4032,20021,4031, ,Right,NBR,0,
4032,20021,4147, ,Through,NBT,0,
4032,20021,5076, ,Left,NBL,0,
