from_zone_id,to_zone_id,number_of_trips_demand_type1
1,40,6
1,57,10
3,1,3
3,37,3
3,39,15
3,56,28
3,57,15
4,1,3
4,37,3
4,39,15
4,56,20
4,57,15
5,39,6
6,53,25
7,38,25
7,39,29
7,53,20
8,38,25
12,53,37
12,58,21
13,58,21
14,48,36
14,53,37
15,48,36
15,53,37
15,54,23
15,58,24
15,60,30
16,54,23
17,60,30
18,7,9
18,8,9
18,53,42
18,54,23
18,58,21
18,60,30
19,53,37
20,53,37
23,58,21
24,48,36
24,54,23
24,58,21
25,54,23
29,53,37
30,54,23
34,54,30
35,58,61
36,58,61
37,3,6
37,4,6
37,38,584
37,40,15
37,55,8
37,56,386
37,57,20
38,37,328
38,42,92
38,52,248
38,53,52
38,56,390
39,7,31
39,59,57
40,47,223
40,56,282
40,58,885
41,59,20
42,52,306
43,53,37
44,47,71
44,51,200
45,46,87
45,49,105
45,60,641
46,47,190
46,48,521
46,56,108
47,3,10
47,46,63
47,48,76
47,49,136
47,51,77
47,55,11
47,56,377
48,46,188
48,47,74
48,56,134
49,56,74
51,44,107
51,47,59
51,52,18
51,58,113
52,42,208
52,49,84
52,58,158
52,60,97
53,3,32
53,45,101
53,51,60
53,54,138
53,55,60
53,59,1284
53,60,110
54,34,27
54,53,99
54,55,84
54,56,120
55,1,3
55,37,3
55,39,15
55,56,50
55,57,10
56,3,22
56,4,22
56,37,220
56,38,729
56,40,250
56,47,1074
56,55,22
56,57,26
56,58,150
57,40,47
57,54,440
58,40,552
58,53,225
58,59,68
59,30,41
59,42,70
59,44,128
59,51,103
59,53,2568
60,45,208
60,46,2
60,48,63
60,52,114
