link_type,link_type_name,type_code,default_lane_capacity,default_speed_limit,default_number_of_lanes,travel_time_bias_factor,approximate_cycle_length_in_second,saturation_flow_rate_in_vhc_per_hour_per_lane
2,Highway/Expressway,h,1450.000000,0,0.0000,1.0000
8,Frontage road,a,1000.000000,0,0.0000,1.0000
10,Zonal connector,c,2000.000000,0,0.0000,1.0000
11,Freeway,f,1800.000000,0,0.0000,1.0000
12,Freeway,f,1800.000000,0,0.0000,1.0000
13,Freeway,f,1800.000000,0,0.0000,1.0000
14,Freeway,f,1800.000000,0,0.0000,1.0000
15,Freeway,f,1800.000000,0,0.0000,1.0000
16,Freeway,f,1800.000000,0,0.0000,1.0000
17,Freeway,f,1800.000000,0,0.0000,1.0000
18,Freeway,f,1800.000000,0,0.0000,1.0000
21,Freeway,f,1800.000000,0,0.0000,1.0000
22,Freeway,f,1800.000000,0,0.0000,1.0000
23,Freeway,f,1800.000000,0,0.0000,1.0000
24,Freeway,f,1800.000000,0,0.0000,1.0000
25,Freeway,f,1800.000000,0,0.0000,1.0000
26,Freeway,f,1800.000000,0,0.0000,1.0000
29,Freeway,f,1800.000000,0,0.0000,1.0000
31,Ramp,r,1300.000000,0,0.0000,1.0000
32,Ramp,r,1300.000000,0,0.0000,1.0000
33,Ramp,r,1300.000000,0,0.0000,1.0000
34,Ramp,r,1300.000000,0,0.0000,1.0000
35,Ramp,r,1300.000000,0,0.0000,1.0000
36,Ramp,r,1300.000000,0,0.0000,1.0000
37,Ramp,r,1300.000000,0,0.0000,1.0000
38,Ramp,r,1300.000000,0,0.0000,1.0000
41,Principal arterial,a,1000.000000,0,0.0000,1.0000
42,Principal arterial,a,1000.000000,0,0.0000,1.0000
43,Principal arterial,a,1000.000000,0,0.0000,1.0000
44,Principal arterial,a,1000.000000,0,0.0000,1.0000
45,Principal arterial,a,1000.000000,0,0.0000,1.0000
46,Principal arterial,a,1000.000000,0,0.0000,1.0000
47,Principal arterial,a,1000.000000,0,0.0000,1.0000
48,Principal arterial,a,1000.000000,0,0.0000,1.0000
49,Principal arterial,a,1000.000000,0,0.0000,1.0000
51,Major arterial,a,900.000000,0,0.0000,1.0000
52,Major arterial,a,900.000000,0,0.0000,1.0000
53,Major arterial,a,900.000000,0,0.0000,1.0000
54,Major arterial,a,900.000000,0,0.0000,1.0000
55,Major arterial,a,900.000000,0,0.0000,1.0000
56,Major arterial,a,900.000000,0,0.0000,1.0000
57,Major arterial,a,900.000000,0,0.0000,1.0000
58,Major arterial,a,900.000000,0,0.0000,1.0000
59,Major arterial,a,900.000000,0,0.0000,1.0000
61,Minor arterial,a,850.000000,0,0.0000,1.0000
62,Minor arterial,a,850.000000,0,0.0000,1.0000
63,Minor arterial,a,850.000000,0,0.0000,1.0000
64,Minor arterial,a,850.000000,0,0.0000,1.0000
65,Minor arterial,a,850.000000,0,0.0000,1.0000
66,Minor arterial,a,850.000000,0,0.0000,1.0000
67,Minor arterial,a,850.000000,0,0.0000,1.0000
68,Minor arterial,a,850.000000,0,0.0000,1.0000
69,Minor arterial,a,850.000000,0,0.0000,1.0000
71,Collector,a,650.000000,0,0.0000,1.0000
72,Collector,a,650.000000,0,0.0000,1.0000
73,Collector,a,650.000000,0,0.0000,1.0000
74,Collector,a,650.000000,0,0.0000,1.0000
75,Collector,a,650.000000,0,0.0000,1.0000
76,Collector,a,650.000000,0,0.0000,1.0000
77,Collector,a,650.000000,0,0.0000,1.0000
78,Collector,a,650.000000,0,0.0000,1.0000
79,Collector,a,650.000000,0,0.0000,1.0000
81,Local,a,600.000000,0,0.0000,1.0000
82,Local,a,600.000000,0,0.0000,1.0000
85,Local,a,600.000000,0,0.0000,1.0000
86,Local,a,600.000000,0,0.0000,1.0000
99,Local,a,600.000000,0,0.0000,1.0000
100,Transit link,t,1000.000000,0,0.0000,1.0000
200,Walking link,w,1000.000000,0,0.0000,1.0000
