zone_id,total_production_capacity,total_production,avg_production_distance,total_attraction_capacity,total_attraction,avg_attraction_distance,geometry
1,814.400024,30,1.454100,814.400024,61,1.454101,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-111.940667,40.625617,0.0 -111.940667,40.621155,0.0 -111.947984,40.621155,0.0 -111.947984,40.625617,0.0 -111.940667,40.625617,0.0"</coordinates></LinearRing></outerBoundaryIs></Polygon>"
2,814.400024,61,1.454101,814.400024,30,1.454100,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-111.940863,40.607852,0.0 -111.949905,40.607852,0.0 -111.949905,40.611808,0.0 -111.940863,40.611808,0.0 -111.940863,40.607852,0.0"</coordinates></LinearRing></outerBoundaryIs></Polygon>"
3,892.000000,0,0.000000,892.000000,0,0.000000,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-111.941048,40.589550,0.0 -111.941048,40.585838,0.0 -111.949661,40.585838,0.0 -111.949661,40.589550,0.0 -111.941048,40.589550,0.0"</coordinates></LinearRing></outerBoundaryIs></Polygon>"
4,666.400024,0,0.000000,666.400024,0,0.000000,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-111.941093,40.575069,0.0 -111.941093,40.571143,0.0 -111.949730,40.571143,0.0 -111.949730,40.575069,0.0 -111.941093,40.575069,0.0"</coordinates></LinearRing></outerBoundaryIs></Polygon>"
5,857.299988,0,0.000000,857.299988,0,0.000000,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-111.940593,40.564290,0.0 -111.940593,40.560078,0.0 -111.949445,40.560078,0.0 -111.949445,40.564290,0.0 -111.940593,40.564290,0.0"</coordinates></LinearRing></outerBoundaryIs></Polygon>"
6,929.500000,0,0.000000,929.500000,0,0.000000,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-111.937738,40.555581,0.0 -111.937738,40.546087,0.0 -111.944377,40.546087,0.0 -111.944377,40.555581,0.0 -111.937738,40.555581,0.0"</coordinates></LinearRing></outerBoundaryIs></Polygon>"
7,666.400024,0,0.000000,666.400024,0,0.000000,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-111.931171,40.557437,0.0 -111.926673,40.557437,0.0 -111.926673,40.549799,0.0 -111.931171,40.549799,0.0 -111.931171,40.557437,0.0"</coordinates></LinearRing></outerBoundaryIs></Polygon>"
8,633.000000,0,0.000000,633.000000,0,0.000000,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-111.904299,40.557879,0.0 -111.901015,40.557879,0.0 -111.901015,40.551811,0.0 -111.904299,40.551811,0.0 -111.904299,40.557879,0.0"</coordinates></LinearRing></outerBoundaryIs></Polygon>"
9,773.599976,0,0.000000,773.599976,0,0.000000,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-111.900051,40.560734,0.0 -111.894912,40.560734,0.0 -111.894912,40.556273,0.0 -111.900051,40.556273,0.0 -111.900051,40.560734,0.0"</coordinates></LinearRing></outerBoundaryIs></Polygon>"
10,601.400024,0,0.000000,601.400024,0,0.000000,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-111.898588,40.571501,0.0 -111.890022,40.571501,0.0 -111.890022,40.567754,0.0 -111.898588,40.567754,0.0 -111.898588,40.571501,0.0"</coordinates></LinearRing></outerBoundaryIs></Polygon>"
11,847.400024,0,0.000000,847.400024,0,0.000000,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-111.901473,40.587206,0.0 -111.901473,40.591281,0.0 -111.894216,40.591281,0.0 -111.894216,40.587206,0.0 -111.901473,40.587206,0.0"</coordinates></LinearRing></outerBoundaryIs></Polygon>"
12,514.500000,0,0.000000,514.500000,0,0.000000,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-111.907590,40.607506,0.0 -111.905115,40.607506,0.0 -111.905115,40.605388,0.0 -111.907590,40.605388,0.0 -111.907590,40.607506,0.0"</coordinates></LinearRing></outerBoundaryIs></Polygon>"
13,814.400024,0,0.000000,814.400024,0,0.000000,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-111.904500,40.609472,0.0 -111.904500,40.613802,0.0 -111.894887,40.613802,0.0 -111.894887,40.609472,0.0 -111.904500,40.609472,0.0"</coordinates></LinearRing></outerBoundaryIs></Polygon>"
14,814.400024,0,0.000000,814.400024,0,0.000000,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-111.905880,40.622273,0.0 -111.896410,40.622273,0.0 -111.896410,40.618799,0.0 -111.905880,40.618799,0.0 -111.905880,40.622273,0.0"</coordinates></LinearRing></outerBoundaryIs></Polygon>"
15,633.000000,0,0.000000,633.000000,0,0.000000,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-111.908640,40.623511,0.0 -111.911686,40.623511,0.0 -111.911686,40.627984,0.0 -111.908640,40.627984,0.0 -111.908640,40.623511,0.0"</coordinates></LinearRing></outerBoundaryIs></Polygon>"
16,666.400024,0,0.000000,666.400024,0,0.000000,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-111.930163,40.625512,0.0 -111.930163,40.632204,0.0 -111.927753,40.632204,0.0 -111.927753,40.625512,0.0 -111.930163,40.625512,0.0"</coordinates></LinearRing></outerBoundaryIs></Polygon>"
17,40000.800781,0,0.000000,40000.800781,0,0.000000,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-111.936410,40.621101,0.0 -111.930652,40.621101,0.0 -111.930652,40.613249,0.0 -111.936410,40.613249,0.0 -111.936410,40.621101,0.0"</coordinates></LinearRing></outerBoundaryIs></Polygon>"
18,10000.200195,0,0.000000,10000.200195,0,0.000000,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-111.935030,40.631808,0.0 -111.932365,40.631808,0.0 -111.932365,40.629001,0.0 -111.935030,40.629001,0.0 -111.935030,40.631808,0.0"</coordinates></LinearRing></outerBoundaryIs></Polygon>"
19,40000.800781,0,0.000000,40000.800781,0,0.000000,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-111.935729,40.569958,0.0 -111.930791,40.569958,0.0 -111.930791,40.565735,0.0 -111.935729,40.565735,0.0 -111.935729,40.569958,0.0"</coordinates></LinearRing></outerBoundaryIs></Polygon>"
20,70001.398438,0,0.000000,70001.398438,0,0.000000,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-111.925438,40.568887,0.0 -111.911934,40.568887,0.0 -111.911934,40.563534,0.0 -111.925438,40.563534,0.0 -111.925438,40.568887,0.0"</coordinates></LinearRing></outerBoundaryIs></Polygon>"
21,514.500000,0,0.000000,514.500000,0,0.000000,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-111.916336,40.557109,0.0 -111.909912,40.557109,0.0 -111.909912,40.551458,0.0 -111.916336,40.551458,0.0 -111.916336,40.557109,0.0"</coordinates></LinearRing></outerBoundaryIs></Polygon>"
