section,key,value,required_or_optional,allowed_values,notes
file_name,node,SLC_Network_Node.shp,desired,,if no node layer is provided
file_name,link,SLC_Network_Link.shp,required,,this is the required data layer 
file_name,zone,SLC_90thSouth_Zone.shp,desired,,if no zone layer is provided
configuration,with_decimal_long_lat,yes,,yes;no,
node,node_id,N,required when node file is provided,,
node,name,,,,for display only
node,TAZ,TAZID,desired,,if no TAZ id is provided
node,control_type,,,,used only when users have signal control type already
configuration,node_number_threshold_as_centroid,0,,default 0,
link,from_node_id,A,desired,,if from_node_id is empty
link,to_node_id,B,desired,,if to_node_id is empty
link,name,STREET,,,for display only
link,link_id,,,,
link,link_type,FT,,,default value = 1
link,mode_code,,,,reserved for transit modeling
link,direction,ONEWAY,,,two comments here: if direction field is not available
link,length,DISTANCE,desired,,if data is available
link,number_of_lanes,LANES,desired,,users can specify use_default_number_of_lanes_from_link_type based on link type
link,hourly_capacity,CAP1HR1LN,desired,,users can specify use_default_lane_capacity_from_link_type based on link type
link,speed_limit,SFF,desired,,users can specify use_default_speed_limit_from_link_type based on link type
link,r_number_of_lanes,,,,used only when data for reserved links are given
link,r_hourly_capacity,,,,
link,r_speed_limit,,,,
link,r_link_type,,,,
configuration,identify_from_node_id_and_to_node_id_based_on_geometry,no,,yes;no,
configuration,number_of_lanes_oneway_vs_twoway,oneway,,oneway;twoway,
configuration,lane_capacity_vs_link_capacity,lane,,lane;link,
configuration,direction_0_as_oneway_vs_twoway,oneway,,oneway;twoway,
configuration,default_link_direction,oneway,,oneway;twoway,
configuration,use_default_speed_limit_from_link_type,no,,yes;no,
configuration,use_default_lane_capacity_from_link_type,no,,yes;no,
configuration,use_default_number_of_lanes_from_link_type,no,,yes;no,
configuration,minimum_length_for_importing_links,0.00001,,,
zone,zone_id,Id,desired,,required only if zone file is given in section file_name
[movement],,,,,
prohibit_non_specified_movement_on_freeway_and_ramp=1.00000
hide_non_specified_movement_on_freeway_and_ramp=1.00000
