name,node_id,control_type,control_type_name,cycle_length_in_second,x,y,geometry
,1,1,no_control,0,-111.954176,40.701763,"<Point><coordinates>-111.954176,40.701763</coordinates></Point>"
,2,1,no_control,0,-111.952846,40.693776,"<Point><coordinates>-111.952846,40.693776</coordinates></Point>"
,3,1,no_control,0,-111.959595,40.693657,"<Point><coordinates>-111.959595,40.693657</coordinates></Point>"
,4,1,no_control,0,-111.961647,40.693903,"<Point><coordinates>-111.961647,40.693903</coordinates></Point>"
,5,1,no_control,0,-111.965126,40.694960,"<Point><coordinates>-111.965126,40.694960</coordinates></Point>"
,6,1,no_control,0,-111.969223,40.695032,"<Point><coordinates>-111.969223,40.695032</coordinates></Point>"
,7,1,no_control,0,-111.972516,40.692796,"<Point><coordinates>-111.972516,40.692796</coordinates></Point>"
,8,1,no_control,0,-111.974773,40.692226,"<Point><coordinates>-111.974773,40.692226</coordinates></Point>"
,9,1,no_control,0,-111.979299,40.690801,"<Point><coordinates>-111.979299,40.690801</coordinates></Point>"
,10,1,no_control,0,-111.982545,40.693040,"<Point><coordinates>-111.982545,40.693040</coordinates></Point>"
,11,1,no_control,0,-111.988844,40.693821,"<Point><coordinates>-111.988844,40.693821</coordinates></Point>"
,12,1,no_control,0,-111.993105,40.695121,"<Point><coordinates>-111.993105,40.695121</coordinates></Point>"
,13,1,no_control,0,-112.001499,40.692666,"<Point><coordinates>-112.001499,40.692666</coordinates></Point>"
,14,1,no_control,0,-112.007967,40.693104,"<Point><coordinates>-112.007967,40.693104</coordinates></Point>"
,15,1,no_control,0,-112.012545,40.692883,"<Point><coordinates>-112.012545,40.692883</coordinates></Point>"
,16,1,no_control,0,-112.018818,40.693856,"<Point><coordinates>-112.018818,40.693856</coordinates></Point>"
,17,1,no_control,0,-112.023052,40.690802,"<Point><coordinates>-112.023052,40.690802</coordinates></Point>"
,18,1,no_control,0,-112.026994,40.693128,"<Point><coordinates>-112.026994,40.693128</coordinates></Point>"
,19,1,no_control,0,-112.032849,40.692528,"<Point><coordinates>-112.032849,40.692528</coordinates></Point>"
,20,1,no_control,0,-112.033629,40.700724,"<Point><coordinates>-112.033629,40.700724</coordinates></Point>"
,21,1,no_control,0,-112.030042,40.701519,"<Point><coordinates>-112.030042,40.701519</coordinates></Point>"
,22,1,no_control,0,-112.022618,40.700358,"<Point><coordinates>-112.022618,40.700358</coordinates></Point>"
,23,1,no_control,0,-112.019237,40.700428,"<Point><coordinates>-112.019237,40.700428</coordinates></Point>"
,24,1,no_control,0,-112.014961,40.700318,"<Point><coordinates>-112.014961,40.700318</coordinates></Point>"
,25,1,no_control,0,-112.009726,40.701375,"<Point><coordinates>-112.009726,40.701375</coordinates></Point>"
,26,1,no_control,0,-112.003993,40.701288,"<Point><coordinates>-112.003993,40.701288</coordinates></Point>"
,27,1,no_control,0,-111.999188,40.701447,"<Point><coordinates>-111.999188,40.701447</coordinates></Point>"
,28,1,no_control,0,-111.995017,40.701373,"<Point><coordinates>-111.995017,40.701373</coordinates></Point>"
,29,1,no_control,0,-111.991819,40.699884,"<Point><coordinates>-111.991819,40.699884</coordinates></Point>"
,30,1,no_control,0,-111.988157,40.701168,"<Point><coordinates>-111.988157,40.701168</coordinates></Point>"
,31,1,no_control,0,-111.983663,40.701002,"<Point><coordinates>-111.983663,40.701002</coordinates></Point>"
,33,1,no_control,0,-111.975493,40.701453,"<Point><coordinates>-111.975493,40.701453</coordinates></Point>"
,34,1,no_control,0,-111.970399,40.700486,"<Point><coordinates>-111.970399,40.700486</coordinates></Point>"
,35,1,no_control,0,-111.964350,40.701057,"<Point><coordinates>-111.964350,40.701057</coordinates></Point>"
