zone_id,geometry
1,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-111.956870,40.705184,0.0 -111.953183,40.705268,0.0 -111.947409,40.705106,0.0 -111.946255,40.699590,0.0 -111.947887,40.696728,0.0 -111.957970,40.696680,0.0 -111.958019,40.705157,0.0 -111.956870,40.705184,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
2,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-111.948576,40.691481,0.0 -111.948595,40.691554,0.0 -111.957913,40.690944,0.0 -111.957970,40.696680,0.0 -111.947887,40.696728,0.0 -111.948576,40.691481,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
3,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-111.957970,40.696680,0.0 -111.958012,40.694168,0.0 -111.957983,40.692696,0.0 -111.957996,40.691695,0.0 -111.957913,40.690944,0.0 -111.960136,40.690789,0.0 -111.959977,40.692924,0.0 -111.959984,40.693939,0.0 -111.959990,40.694852,0.0 -111.960195,40.696618,0.0 -111.957970,40.696680,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
4,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-111.960195,40.696618,0.0 -111.960026,40.694425,0.0 -111.960077,40.693409,0.0 -111.960145,40.692040,0.0 -111.960219,40.691598,0.0 -111.960053,40.689935,0.0 -111.963109,40.689938,0.0 -111.963134,40.693574,0.0 -111.963105,40.695105,0.0 -111.963135,40.696636,0.0 -111.960195,40.696618,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
5,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-111.963135,40.696636,0.0 -111.963159,40.694442,0.0 -111.963182,40.689231,0.0 -111.967515,40.689464,0.0 -111.967551,40.691922,0.0 -111.967571,40.696586,0.0 -111.963135,40.696636,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
6,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-111.967571,40.696586,0.0 -111.967594,40.692481,0.0 -111.967567,40.688595,0.0 -111.971203,40.688566,0.0 -111.971195,40.693012,0.0 -111.971201,40.696618,0.0 -111.967571,40.696586,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
7,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-111.971201,40.696618,0.0 -111.971239,40.693851,0.0 -111.971268,40.689552,0.0 -111.973898,40.689571,0.0 -111.973824,40.695666,0.0 -111.973483,40.696639,0.0 -111.971201,40.696618,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
8,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-111.973483,40.696639,0.0 -111.973824,40.695666,0.0 -111.973776,40.694326,0.0 -111.973735,40.688350,0.0 -111.977060,40.689013,0.0 -111.977080,40.696609,0.0 -111.973483,40.696639,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
9,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-111.977080,40.696609,0.0 -111.977090,40.689676,0.0 -111.977060,40.689013,0.0 -111.981404,40.687111,0.0 -111.981096,40.692810,0.0 -111.980910,40.696609,0.0 -111.977080,40.696609,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
10,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-111.980910,40.696609,0.0 -111.981000,40.695666,0.0 -111.981069,40.694400,0.0 -111.981240,40.691293,0.0 -111.981404,40.687111,0.0 -111.986591,40.687752,0.0 -111.986588,40.690049,0.0 -111.986597,40.691256,0.0 -111.986581,40.691668,0.0 -111.986594,40.693523,0.0 -111.986635,40.696614,0.0 -111.980910,40.696609,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
11,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-111.986635,40.696614,0.0 -111.986669,40.695937,0.0 -111.986657,40.694200,0.0 -111.986597,40.691256,0.0 -111.986652,40.688091,0.0 -111.986641,40.686530,0.0 -111.991611,40.686627,0.0 -111.991471,40.694033,0.0 -111.991393,40.696595,0.0 -111.986635,40.696614,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
12,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-111.991393,40.696595,0.0 -111.991484,40.695770,0.0 -111.991493,40.694342,0.0 -111.991524,40.693297,0.0 -111.991553,40.689233,0.0 -111.991611,40.686627,0.0 -111.996098,40.686609,0.0 -111.996117,40.689288,0.0 -111.996164,40.690362,0.0 -111.996165,40.693145,0.0 -111.996150,40.693719,0.0 -111.996159,40.695058,0.0 -111.996190,40.696589,0.0 -111.991393,40.696595,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
