node_id,up_node_id,dest_node_id,name,turn_type,turn_direction,prohibited_flag,
1,30,3, ,Right,WBR,0,
1,30,14, ,Left,WBL,0,
2,29,34, ,Left,NBL,0,
2,12,34, ,Right,SBR,0,
3,1,4, ,Right,NBR,0,
4,3,5, ,Through,EBT,0,
4,3,36, ,Right,EBR,0,
5,4,6, ,Through,EBT,0,
6,5,7, ,Through,EBT,0,
7,6,8, ,Through,EBT,0,
8,7,9, ,Through,EBT,0,
9,8,10, ,Through,EBT,0,
10,9,11, ,Through,EBT,0,
11,10,12, ,Right,EBR,0,
12,11,2, ,Through,SBT,0,
14,1,15, ,Through,SBT,0,
15,14,16, ,Through,SBT,0,
16,15,17, ,Left,SBL,0,
17,16,18, ,Through,EBT,0,
18,17,19, ,Through,EBT,0,
19,18,20, ,Through,EBT,0,
20,19,21, ,Through,EBT,0,
21,20,22, ,Through,EBT,0,
22,21,23, ,Through,EBT,0,
23,22,24, ,Through,EBT,0,
24,23,25, ,Through,EBT,0,
25,24,26, ,Through,EBT,0,
26,25,27, ,Through,EBT,0,
27,26,28, ,Through,EBT,0,
28,27,29, ,Left,EBL,0,
29,28,2, ,Through,NBT,0,
30,1,31, ,Through,EBT,0,
30,31,1, ,Through,WBT,0,
31,30,32, ,Through,EBT,0,
31,30,36, ,Left,EBL,0,
31,30,37, ,Right,EBR,0,
31,36,32, ,Left,SBL,0,
31,36,37, ,Right,SBR,0,
31,36,30, ,Right,SBR,0,
31,37,32, ,Right,NBR,0,
31,37,36, ,Left,NBL,0,
31,37,30, ,Left,NBL,0,
31,32,36, ,Right,WBR,0,
31,32,37, ,Left,WBL,0,
31,32,30, ,Through,WBT,0,
32,31,33, ,Through,EBT,0,
32,33,31, ,Through,WBT,0,
33,32,35, ,Through,EBT,0,
33,32,38, ,Left,EBL,0,
33,32,39, ,Right,EBR,0,
33,38,35, ,Left,SBL,0,
33,38,39, ,Right,SBR,0,
33,38,32, ,Right,SBR,0,
33,39,35, ,Right,NBR,0,
33,39,38, ,Left,NBL,0,
33,39,32, ,Left,NBL,0,
33,35,38, ,Right,WBR,0,
33,35,39, ,Left,WBL,0,
33,35,32, ,Through,WBT,0,
34,35,2, ,Through,EBT,0,
34,2,35, ,Through,WBT,0,
35,33,34, ,Through,EBT,0,
35,33,40, ,Left,EBL,0,
35,33,41, ,Right,EBR,0,
35,40,34, ,Left,SBL,0,
35,40,41, ,Right,SBR,0,
35,40,33, ,Right,SBR,0,
35,41,34, ,Right,NBR,0,
35,41,40, ,Left,NBL,0,
35,41,33, ,Left,NBL,0,
35,34,40, ,Right,WBR,0,
35,34,41, ,Left,WBL,0,
35,34,33, ,Through,WBT,0,
36,4,31, ,Through,SBT,0,
