name,node_id,control_type,control_type_name,cycle_length_in_second,x,y,geometry
,1,0,unknown_control,0,2.990533,23.709122,"<Point><coordinates>2.990533,23.709122</coordinates></Point>"
,2,0,unknown_control,0,96.767658,23.790170,"<Point><coordinates>96.767658,23.790170</coordinates></Point>"
,3,0,unknown_control,0,9.771559,38.407951,"<Point><coordinates>9.771559,38.407951</coordinates></Point>"
,4,0,unknown_control,0,20.024308,38.407951,"<Point><coordinates>20.024308,38.407951</coordinates></Point>"
,5,0,unknown_control,0,29.871008,38.407951,"<Point><coordinates>29.871008,38.407951</coordinates></Point>"
,6,0,unknown_control,0,41.138881,38.407951,"<Point><coordinates>41.138881,38.407951</coordinates></Point>"
,7,0,unknown_control,0,51.391630,38.407951,"<Point><coordinates>51.391630,38.407951</coordinates></Point>"
,8,0,unknown_control,0,62.557990,38.407951,"<Point><coordinates>62.557990,38.407951</coordinates></Point>"
,9,0,unknown_control,0,71.795615,38.407951,"<Point><coordinates>71.795615,38.407951</coordinates></Point>"
,10,0,unknown_control,0,80.525679,38.407951,"<Point><coordinates>80.525679,38.407951</coordinates></Point>"
,11,0,unknown_control,0,88.646668,38.407951,"<Point><coordinates>88.646668,38.407951</coordinates></Point>"
,12,0,unknown_control,0,92.402626,31.505110,"<Point><coordinates>92.402626,31.505110</coordinates></Point>"
,14,0,unknown_control,0,5.508040,17.699428,"<Point><coordinates>5.508040,17.699428</coordinates></Point>"
,15,0,unknown_control,0,7.639800,12.826835,"<Point><coordinates>7.639800,12.826835</coordinates></Point>"
,16,0,unknown_control,0,9.974584,7.649704,"<Point><coordinates>9.974584,7.649704</coordinates></Point>"
,17,0,unknown_control,0,15.760789,7.649704,"<Point><coordinates>15.760789,7.649704</coordinates></Point>"
,18,0,unknown_control,0,21.242457,7.649704,"<Point><coordinates>21.242457,7.649704</coordinates></Point>"
,19,0,unknown_control,0,27.130174,7.649704,"<Point><coordinates>27.130174,7.649704</coordinates></Point>"
,20,0,unknown_control,0,33.626965,7.649704,"<Point><coordinates>33.626965,7.649704</coordinates></Point>"
,21,0,unknown_control,0,39.717707,7.649704,"<Point><coordinates>39.717707,7.649704</coordinates></Point>"
,22,0,unknown_control,0,46.925086,7.649704,"<Point><coordinates>46.925086,7.649704</coordinates></Point>"
,23,0,unknown_control,0,52.711290,7.649704,"<Point><coordinates>52.711290,7.649704</coordinates></Point>"
,24,0,unknown_control,0,60.121693,7.649704,"<Point><coordinates>60.121693,7.649704</coordinates></Point>"
,25,0,unknown_control,0,67.633608,7.649704,"<Point><coordinates>67.633608,7.649704</coordinates></Point>"
,26,0,unknown_control,0,75.247036,7.649704,"<Point><coordinates>75.247036,7.649704</coordinates></Point>"
,27,0,unknown_control,0,81.540803,7.649704,"<Point><coordinates>81.540803,7.649704</coordinates></Point>"
,28,0,unknown_control,0,88.342131,7.649704,"<Point><coordinates>88.342131,7.649704</coordinates></Point>"
,29,0,unknown_control,0,92.199601,14.349520,"<Point><coordinates>92.199601,14.349520</coordinates></Point>"
,30,0,unknown_control,0,16.978937,23.790170,"<Point><coordinates>16.978937,23.790170</coordinates></Point>"
,31,5,pretimed_signal,0,30.581594,23.790170,"<Point><coordinates>30.581594,23.790170</coordinates></Point>"
,32,0,unknown_control,0,43.169128,23.790170,"<Point><coordinates>43.169128,23.790170</coordinates></Point>"
,33,5,pretimed_signal,0,53.929439,23.790170,"<Point><coordinates>53.929439,23.790170</coordinates></Point>"
,34,0,unknown_control,0,79.916605,23.790170,"<Point><coordinates>79.916605,23.790170</coordinates></Point>"
,35,5,pretimed_signal,0,67.227559,23.790170,"<Point><coordinates>67.227559,23.790170</coordinates></Point>"
,36,0,unknown_control,0,26.927149,30.693011,"<Point><coordinates>26.927149,30.693011</coordinates></Point>"
,37,0,unknown_control,0,26.927149,16.988842,"<Point><coordinates>26.927149,16.988842</coordinates></Point>"
,38,0,unknown_control,0,48.346259,31.099061,"<Point><coordinates>48.346259,31.099061</coordinates></Point>"
,39,0,unknown_control,0,48.447771,16.785817,"<Point><coordinates>48.447771,16.785817</coordinates></Point>"
,40,0,unknown_control,0,64.385213,29.880912,"<Point><coordinates>64.385213,29.880912</coordinates></Point>"
,41,0,unknown_control,0,61.644379,16.278255,"<Point><coordinates>61.644379,16.278255</coordinates></Point>"
