vehicle_type,OpModeID,meanBaseRate_TotalEnergy_(KJ/hr),meanBaseRate_CO2_(g/hr),meanBaseRate_NOX_(g/hr),meanBaseRate_CO_(g/hr),meanBaseRate_HC_(g/hr),age,
1,0,49206.3,3536.29276,0.05385,2.36609,0.039171,0,
1,1,45521.4,3271.47128,0.008979,4.05557,0.000418,0,
1,11,71581.4,5144.316613,0.146868,6.52187,0.022892,0,
1,12,98841,7103.3732,0.155233,2.82379,0.02085,0,
1,13,137367,9872.1084,0.363034,9.76815,0.052262,0,
1,14,173571,12473.9692,0.657844,14.2137,0.072532,0,
1,15,206979,14874.8908,1.18797,20.8813,0.103686,0,
1,16,249989,17965.87613,2.5348,35.985699,0.171948,0,
1,21,97382.5,6998.555667,0.254133,5.8165,0.038721,0,
1,22,110849,7966.348133,0.357951,9.33417,0.046237,0,
1,23,135007,9702.503067,0.508789,13.1798,0.06505,0,
1,24,173205,12447.666,0.930889,25.9039,0.115221,0,
1,25,231143,16611.47693,1.52098,18.526501,0.124367,0,
1,27,304713,21898.7076,2.14235,34.765999,0.218173,0,
1,28,410729,29517.72413,8.21223,200.660995,3.25428,0,
1,29,562702,40439.51707,11.1418,216.005005,4.04662,0,
1,30,706632,50783.2864,12.8433,969.877991,7.11962,0,
1,33,138741,9970.8532,0.41958,10.9199,0.07037,0,
1,35,222473,15988.39293,1.40529,23.846001,0.092104,0,
1,37,289809,20827.6068,2.28006,28.947599,0.117916,0,
1,38,377895,27158.054,7.50412,68.195396,1.15714,0,
1,39,503348,36173.94293,13.3438,167.612,2.11771,0,
1,40,641649,46113.1748,14.3353,407.602997,2.7341,0,
2,0,69190.74219,4972.503557,0.970019,8.507803,0.288417,0,
2,1,53349.76172,3834.066146,0.402942,4.534311,0.139906,0,
2,11,86301.82031,6202.218993,1.175075,14.017099,0.438191,0,
2,12,107971.8594,7759.571019,1.108981,6.105235,0.331773,0,
2,13,155313.9219,11161.88379,2.456051,17.312883,0.691218,0,
2,14,196763.7188,14140.73952,3.757737,24.175102,0.840614,0,
2,15,237241.3438,17049.72901,4.532057,34.70071,1.109729,0,
2,16,296319.1563,21295.45049,7.518441,50.337399,1.612258,0,
2,21,115436.3906,8296.021547,2.278558,15.717248,0.355523,0,
2,22,123935.7656,8906.842763,3.840101,19.265242,0.550139,0,
2,23,153030.375,10997.77317,3.846051,22.816572,0.63514,0,
2,24,198224.8438,14245.74577,5.426431,35.799961,0.844352,0,
2,25,254544.875,18293.27553,5.759377,29.738316,0.718167,0,
2,27,350453.1563,25185.87833,6.046347,43.903667,0.731703,0,
2,28,467978.875,33632.05238,12.653293,204.296539,3.736885,0,
2,29,641506.5625,46102.89897,16.403702,230.266708,4.980205,0,
2,30,755658.5625,54306.61741,20.110725,970.116516,8.015724,0,
2,33,166778.0313,11985.77101,5.346422,27.828611,0.214842,0,
2,35,255238.5,18343.12467,6.97982,38.958267,0.233262,0,
2,37,337462.7813,24252.30299,8.830669,44.263569,0.401909,0,
2,38,438398.4375,31506.2062,14.141743,82.682663,1.275242,0,
2,39,574356.5625,41277.05721,20.531979,178.123154,2.221663,0,
2,40,759990.0625,54617.9067,23.706823,408.702423,3.067564,0,
3,0,69974.19966,5028.812482,1.889525,14.67189,0.538571,0,
3,1,53940.70932,3876.538977,0.79834,5.014795,0.279903,0,
3,11,87268.07314,6271.665523,2.207029,21.539635,0.855003,0,
3,12,109180.1976,7846.416866,2.066204,9.398634,0.643829,0,
3,13,157090.4569,11289.5675,4.556692,24.885103,1.332501,0,
3,14,199046.2049,14304.78726,6.868923,34.172794,1.611495,0,
3,15,240033.2189,17250.38733,7.888326,48.570469,2.119437,0,
3,16,299844.8329,21548.84866,12.520237,64.741386,3.057815,0,
3,21,116714.1354,8387.855862,4.310358,25.654064,0.673479,0,
3,22,125330.9963,9007.120937,7.334938,29.232491,1.055877,0,
3,23,154790.5978,11124.28429,7.19547,32.488453,1.207306,0,
3,24,200541.446,14412.24526,9.938351,45.732071,1.57614,0,
3,25,257528.3108,18507.70127,10.013213,40.990974,1.314131,0,
3,27,354650.0303,25487.51551,9.964565,53.074619,1.247104,0,
3,28,473411.6943,34022.52043,17.110533,207.945313,4.221248,0,
3,29,648836.9088,46629.74584,21.684772,244.580353,5.91719,0,
3,30,764104.3298,54913.63117,27.404627,970.355957,8.915092,0,
3,33,168670.7746,12121.80634,10.291213,44.79892,0.35984,0,
3,35,258146.3431,18552.11719,12.574658,54.125591,0.374935,0,
3,37,341389.7288,24534.54184,15.405144,59.635334,0.686937,0,
3,38,443398.2628,31865.55515,20.803547,97.22271,1.393774,0,
3,39,580778.2919,41738.59991,27.746342,188.672607,2.325994,0,
3,40,768450.7383,55225.99306,33.112488,409.805847,3.402243,0,
4,0,217515,15951.09961,13.83834,2.24079,1.41704,0,
4,1,107131,7856.273438,5.10359,3.52628,1.108,0,
4,11,143758,10542.25293,4.983038,6.30832,2.787,0,
4,12,418318,30676.6543,22.808969,7.44982,2.87566,0,
4,13,766213,56188.95313,36.978893,10.7255,3.38632,0,
4,14,1118100,81994,50.460693,12.8012,3.72726,0,
4,15,1413980,103691.8672,57.222256,14.1071,3.16962,0,
4,16,1944920,142627.4688,74.250511,16.7777,3.30562,0,
4,21,115944,8502.55957,2.7716,5.8961,2.54084,0,
4,22,537678,39429.71875,25.185261,13.4878,3.32406,0,
4,23,891734,65393.82813,36.840374,16.2132,3.1925,0,
