time_stamp_in_min,cumulative_in_flow_count,cumulative_out_flow_count,number_of_vehicles_in_network,flow_in_a_min,avg_trip_time_in_min
0,22,0,22,440,45.128,
1,44,0,44,440,45.1292,
2,66,0,66,440,45.1304,
3,88,0,88,440,45.127,
4,111,0,111,460,45.1272,
5,133,0,133,440,45.1298,
6,155,0,155,440,45.131,
7,177,0,177,440,45.1276,
8,200,0,200,460,45.1275,
9,222,0,222,440,45.1303,
10,244,0,244,440,45.1315,
11,266,0,266,440,45.1326,
12,288,0,288,440,45.1292,
13,311,0,311,460,45.1294,
14,333,0,333,440,45.1321,
15,355,0,355,440,45.1332,
16,377,0,377,440,45.1298,
17,400,0,400,460,45.1298,
18,422,0,422,440,45.1326,
19,444,0,444,440,45.1338,
20,466,0,466,440,45.1258,
21,489,0,489,460,45.1258,
22,511,0,511,440,45.1286,
23,533,0,533,440,45.1297,
24,555,0,555,440,45.1309,
25,577,0,577,440,45.1275,
26,600,0,600,460,45.1277,
27,622,0,622,440,45.1304,
28,644,0,644,440,45.1315,
29,666,0,666,440,45.128,
30,689,0,689,460,45.1281,
31,711,0,711,440,45.1308,
32,733,0,733,440,45.132,
33,755,0,755,440,45.1331,
34,777,0,777,440,45.1297,
35,800,0,800,460,45.13,
36,822,0,822,440,45.1325,
37,844,0,844,440,45.1337,
38,866,0,866,440,45.1303,
39,889,0,889,460,45.1304,
40,911,0,911,440,45.1286,
41,933,0,933,440,45.1297,
42,955,0,955,440,45.1263,
43,978,0,978,460,45.1263,
44,1000,0,1000,440,45.1291,
45,1022,18,1004,440,45.1302,
46,1044,40,1004,440,45.1314,
47,1066,62,1004,440,45.128,
48,1089,84,1005,460,45.1282,
49,1111,107,1004,440,45.1308,
50,1133,129,1004,440,45.132,
51,1155,151,1004,440,45.1286,
52,1178,173,1005,460,45.1286,
53,1200,196,1004,440,45.1313,
54,1222,218,1004,440,45.1325,
55,1244,240,1004,440,45.1336,
56,1266,262,1004,440,45.1302,
57,1289,284,1005,460,45.1304,
58,1311,307,1004,440,45.133,
59,1333,329,1004,440,45.1342,
60,1355,351,1004,440,45.1263,
61,1378,373,1005,460,45.1265,
62,1400,396,1004,440,45.1291,
63,1422,418,1004,440,45.1302,
64,1444,440,1004,440,45.1268,
65,1467,462,1005,460,45.1268,
66,1489,485,1004,440,45.1296,
67,1511,507,1004,440,45.1307,
68,1533,529,1004,440,45.1319,
69,1555,551,1004,440,45.1285,
70,1578,573,1005,460,45.1287,
71,1600,596,1004,440,45.1313,
72,1622,618,1004,440,45.1325,
73,1644,640,1004,440,45.1291,
74,1667,662,1005,460,45.1291,
75,1689,685,1004,440,45.1318,
76,1711,707,1004,440,45.133,
77,1733,729,1004,440,45.1342,
78,1755,751,1004,440,45.1308,
79,1778,773,1005,460,45.1309,
80,1800,796,1004,440,45.129,
81,1822,818,1004,440,45.1301,
82,1844,840,1004,440,45.1268,
83,1867,862,1005,460,45.127,
84,1889,885,1004,440,45.1296,
85,1911,907,1004,440,45.1307,
86,1933,929,1004,440,45.1273,
87,1956,951,1005,460,45.1273,
88,1978,974,1004,440,45.1301,
89,2000,996,1004,440,45.1312,
90,2022,1018,1004,440,45.1324,
91,2044,1040,1004,440,45.129,
92,2067,1062,1005,460,45.1292,
93,2089,1085,1004,440,45.1318,
94,2111,1107,1004,440,45.133,
95,2133,1129,1004,440,45.1296,
96,2156,1151,1005,460,45.1296,
97,2178,1174,1004,440,45.1323,
98,2200,1196,1004,440,45.1335,
99,2222,1218,1004,440,45.1346,
100,2245,1240,1005,460,45.1255,
101,2267,1262,1005,440,45.1283,
102,2289,1285,1004,440,45.1295,
103,2311,1307,1004,440,45.1306,
104,2333,1329,1004,440,45.1272,
105,2356,1351,1005,460,45.1275,
106,2378,1374,1004,440,45.1301,
107,2400,1396,1004,440,45.1312,
108,2422,1418,1004,440,45.1278,
109,2445,1440,1005,460,45.1278,
110,2467,1463,1004,440,45.1306,
111,2489,1485,1004,440,45.1317,
112,2511,1507,1004,440,45.1329,
113,2533,1529,1004,440,45.1295,
114,2556,1551,1005,460,45.1297,
115,2578,1574,1004,440,45.1323,
116,2600,1596,1004,440,45.1334,
117,2622,1618,1004,440,45.1301,
118,2645,1640,1005,460,45.1301,
119,2667,1663,1004,440,45.1329,
120,2689,1685,1004,440,45.1294,
121,2711,1707,1004,440,45.126,
122,2734,1729,1005,460,45.1261,
123,2756,1751,1005,440,45.1288,
124,2778,1774,1004,440,45.13,
125,2800,1796,1004,440,45.1311,
126,2822,1818,1004,440,45.1277,
127,2845,1840,1005,460,45.128,
128,2867,1863,1004,440,45.1306,
129,2889,1885,1004,440,45.1317,
130,2911,1907,1004,440,45.1283,
131,2934,1929,1005,460,45.1283,
132,2956,1952,1004,440,45.1311,
133,2978,1974,1004,440,45.1322,
134,3000,1996,1004,440,45.1334,
135,3022,2018,1004,440,45.13,
136,3045,2040,1005,460,45.1302,
137,3067,2063,1004,440,45.1328,
138,3089,2085,1004,440,45.1339,
139,3111,2107,1004,440,45.1306,
140,3134,2129,1005,460,45.1263,
