agent_id,tour_id,dependency_agent_id,duration_in_min,following_agent_id,from_zone_id, to_zone_id, from_origin_node_id, to_destination_node_id, departure_time_in_min, arrival_time_in_min, complete_flag, travel_time_in_min, demand_type, vehicle_type, PCE, information_type, value_of_time, toll_cost, distance, TotalEnergy_(KJ), CO2_(g), NOX_(g), CO_(g), HC_(g), PM_(g), PM_2.5(g),vehicle_age,number_of_nodes,path_node_sequence,org_path_node_sequence,path_time_sequence,origin_node_x,origin_node_y,destination_node_x,destination_node_y,
0,-1,-1,-1,-1,1,2,1,2,0.04,45.20,c,45.16,1,1,1.00,1,10.00,0.000,45.100,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,15,3,1;3;2;,, 0.0; 0.1;45.2;,0.017882,-0.125179,40.253934,0.053648,
1,-1,-1,-1,-1,1,2,1,2,0.09,45.20,c,45.11,1,1,1.00,1,10.00,0.000,45.100,0.000000,0.000000,0.000000,48387.539063,0.000000,0.000000,0.000000,15,3,1;3;2;,, 0.0; 0.2;45.2;,0.017882,-0.125179,40.253934,0.053648,
2,-1,-1,-1,-1,1,2,1,2,0.13,45.30,c,45.17,1,1,1.00,1,10.00,0.000,45.100,0.000000,0.000000,0.000000,48410.902344,0.000000,0.000000,0.000000,5,3,1;3;2;,, 0.1; 0.2;45.3;,0.017882,-0.125179,40.253934,0.053648,
3,-1,-1,-1,-1,1,2,1,2,0.18,45.30,c,45.12,1,1,1.00,1,10.00,0.000,45.100,0.000000,0.000000,0.000000,48391.792969,0.000000,0.000000,0.000000,0,3,1;3;2;,, 0.1; 0.3;45.3;,0.017882,-0.125179,40.253934,0.053648,
4,-1,-1,-1,-1,1,2,1,2,0.22,45.40,c,45.18,1,1,1.00,1,10.00,0.000,45.100,0.000000,0.000000,0.000000,48415.160156,0.000000,0.000000,0.000000,10,3,1;3;2;,, 0.2; 0.3;45.4;,0.017882,-0.125179,40.253934,0.053648,
5,-1,-1,-1,-1,1,2,1,2,0.27,45.40,c,45.13,1,1,1.00,1,10.00,0.000,45.100,0.000000,0.000000,0.000000,48396.050781,0.000000,0.000000,0.000000,10,3,1;3;2;,, 0.2; 0.4;45.4;,0.017882,-0.125179,40.253934,0.053648,
6,-1,-1,-1,-1,1,2,1,2,0.31,45.40,c,45.09,1,1,1.00,1,10.00,0.000,45.100,0.000000,0.000000,0.000000,48376.945313,0.000000,0.000000,0.000000,10,3,1;3;2;,, 0.3; 0.4;45.4;,0.017882,-0.125179,40.253934,0.053648,
7,-1,-1,-1,-1,1,2,1,2,0.36,45.50,c,45.14,1,1,1.00,1,10.00,0.000,45.100,0.000000,0.000000,0.000000,48400.308594,0.000000,0.000000,0.000000,0,3,1;3;2;,, 0.3; 0.5;45.5;,0.017882,-0.125179,40.253934,0.053648,
8,-1,-1,-1,-1,1,2,1,2,0.40,45.50,c,45.10,1,1,1.00,1,10.00,0.000,45.100,0.000000,0.000000,0.000000,48381.199219,0.000000,0.000000,0.000000,15,3,1;3;2;,, 0.4; 0.5;45.5;,0.017882,-0.125179,40.253934,0.053648,
9,-1,-1,-1,-1,1,2,1,2,0.45,45.60,c,45.15,1,1,1.00,1,10.00,0.000,45.100,0.000000,0.000000,0.000000,48404.562500,0.000000,0.000000,0.000000,0,3,1;3;2;,, 0.4; 0.5;45.6;,0.017882,-0.125179,40.253934,0.053648,
10,-1,-1,-1,-1,1,2,1,2,0.49,45.60,c,45.11,1,1,1.00,1,10.00,0.000,45.100,0.000000,0.000000,0.000000,48385.457031,0.000000,0.000000,0.000000,5,3,1;3;2;,, 0.4; 0.6;45.6;,0.017882,-0.125179,40.253934,0.053648,
11,-1,-1,-1,-1,1,2,1,2,0.54,45.70,c,45.16,1,1,1.00,1,10.00,0.000,45.100,0.000000,0.000000,0.000000,48408.820313,0.000000,0.000000,0.000000,10,3,1;3;2;,, 0.5; 0.6;45.7;,0.017882,-0.125179,40.253934,0.053648,
12,-1,-1,-1,-1,1,2,1,2,0.58,45.70,c,45.12,1,1,1.00,1,10.00,0.000,45.100,0.000000,0.000000,0.000000,48389.714844,0.000000,0.000000,0.000000,10,3,1;3;2;,, 0.5; 0.7;45.7;,0.017882,-0.125179,40.253934,0.053648,
13,-1,-1,-1,-1,1,2,1,2,0.63,45.80,c,45.17,1,1,1.00,1,10.00,0.000,45.100,0.000000,0.000000,0.000000,48413.078125,0.000000,0.000000,0.000000,5,3,1;3;2;,, 0.6; 0.7;45.8;,0.017882,-0.125179,40.253934,0.053648,
14,-1,-1,-1,-1,1,2,1,2,0.67,45.80,c,45.13,1,1,1.00,1,10.00,0.000,45.100,0.000000,0.000000,0.000000,48393.972656,0.000000,0.000000,0.000000,0,3,1;3;2;,, 0.6; 0.8;45.8;,0.017882,-0.125179,40.253934,0.053648,
15,-1,-1,-1,-1,1,2,1,2,0.72,45.80,c,45.08,1,1,1.00,1,10.00,0.000,45.100,0.000000,0.000000,0.000000,48374.863281,0.000000,0.000000,0.000000,10,3,1;3;2;,, 0.7; 0.8;45.8;,0.017882,-0.125179,40.253934,0.053648,
16,-1,-1,-1,-1,1,2,1,2,0.76,45.90,c,45.14,1,1,1.00,1,10.00,0.000,45.100,0.000000,0.000000,0.000000,48398.230469,0.000000,0.000000,0.000000,15,3,1;3;2;,, 0.7; 0.9;45.9;,0.017882,-0.125179,40.253934,0.053648,
17,-1,-1,-1,-1,1,2,1,2,0.81,45.90,c,45.09,1,1,1.00,1,10.00,0.000,45.100,0.000000,0.000000,0.000000,48379.121094,0.000000,0.000000,0.000000,5,3,1;3;2;,, 0.8; 0.9;45.9;,0.017882,-0.125179,40.253934,0.053648,
18,-1,-1,-1,-1,1,2,1,2,0.85,46.00,c,45.15,1,1,1.00,1,10.00,0.000,45.100,0.000000,0.000000,0.000000,48402.484375,0.000000,0.000000,0.000000,10,3,1;3;2;,, 0.8; 1.0;46.0;,0.017882,-0.125179,40.253934,0.053648,
19,-1,-1,-1,-1,1,2,1,2,0.90,46.00,c,45.10,1,1,1.00,1,10.00,0.000,45.100,0.000000,0.000000,0.000000,48383.375000,0.000000,0.000000,0.000000,0,3,1;3;2;,, 0.8; 1.0;46.0;,0.017882,-0.125179,40.253934,0.053648,
20,-1,-1,-1,-1,1,2,1,2,0.94,46.10,c,45.16,1,1,1.00,1,10.00,0.000,45.100,0.000000,0.000000,0.000000,48406.738281,0.000000,0.000000,0.000000,5,3,1;3;2;,, 0.9; 1.0;46.1;,0.017882,-0.125179,40.253934,0.053648,
21,-1,-1,-1,-1,1,2,1,2,0.99,46.10,c,45.11,1,1,1.00,1,10.00,0.000,45.100,0.000000,0.000000,0.000000,48387.632813,0.000000,0.000000,0.000000,5,3,1;3;2;,, 0.9; 1.1;46.1;,0.017882,-0.125179,40.253934,0.053648,
22,-1,-1,-1,-1,1,2,1,2,1.03,46.20,c,45.17,1,1,1.00,1,10.00,0.000,45.100,0.000000,0.000000,0.000000,48410.996094,0.000000,0.000000,0.000000,5,3,1;3;2;,, 1.0; 1.1;46.2;,0.017882,-0.125179,40.253934,0.053648,
23,-1,-1,-1,-1,1,2,1,2,1.08,46.20,c,45.12,1,1,1.00,1,10.00,0.000,45.100,0.000000,0.000000,0.000000,48391.890625,0.000000,0.000000,0.000000,5,3,1;3;2;,, 1.0; 1.2;46.2;,0.017882,-0.125179,40.253934,0.053648,
24,-1,-1,-1,-1,1,2,1,2,1.12,46.30,c,45.18,1,1,1.00,1,10.00,0.000,45.100,0.000000,0.000000,0.000000,48415.253906,0.000000,0.000000,0.000000,10,3,1;3;2;,, 1.1; 1.2;46.3;,0.017882,-0.125179,40.253934,0.053648,
25,-1,-1,-1,-1,1,2,1,2,1.17,46.30,c,45.13,1,1,1.00,1,10.00,0.000,45.100,0.000000,0.000000,0.000000,48396.148438,0.000000,0.000000,0.000000,5,3,1;3;2;,, 1.1; 1.3;46.3;,0.017882,-0.125179,40.253934,0.053648,
26,-1,-1,-1,-1,1,2,1,2,1.21,46.30,c,45.09,1,1,1.00,1,10.00,0.000,45.100,0.000000,0.000000,0.000000,48377.039063,0.000000,0.000000,0.000000,10,3,1;3;2;,, 1.2; 1.3;46.3;,0.017882,-0.125179,40.253934,0.053648,
27,-1,-1,-1,-1,1,2,1,2,1.26,46.40,c,45.14,1,1,1.00,1,10.00,0.000,45.100,0.000000,0.000000,0.000000,48400.406250,0.000000,0.000000,0.000000,5,3,1;3;2;,, 1.2; 1.4;46.4;,0.017882,-0.125179,40.253934,0.053648,
28,-1,-1,-1,-1,1,2,1,2,1.30,46.40,c,45.10,1,1,1.00,1,10.00,0.000,45.100,0.000000,0.000000,0.000000,48381.296875,0.000000,0.000000,0.000000,5,3,1;3;2;,, 1.3; 1.4;46.4;,0.017882,-0.125179,40.253934,0.053648,
29,-1,-1,-1,-1,1,2,1,2,1.35,46.50,c,45.15,1,1,1.00,1,10.00,0.000,45.100,0.000000,0.000000,0.000000,48404.660156,0.000000,0.000000,0.000000,10,3,1;3;2;,, 1.3; 1.4;46.5;,0.017882,-0.125179,40.253934,0.053648,
30,-1,-1,-1,-1,1,2,1,2,1.39,46.50,c,45.11,1,1,1.00,1,10.00,0.000,45.100,0.000000,0.000000,0.000000,48385.554688,0.000000,0.000000,0.000000,15,3,1;3;2;,, 1.3; 1.5;46.5;,0.017882,-0.125179,40.253934,0.053648,
31,-1,-1,-1,-1,1,2,1,2,1.44,46.60,c,45.16,1,1,1.00,1,10.00,0.000,45.100,0.000000,0.000000,0.000000,48408.917969,0.000000,0.000000,0.000000,10,3,1;3;2;,, 1.4; 1.5;46.6;,0.017882,-0.125179,40.253934,0.053648,
32,-1,-1,-1,-1,1,2,1,2,1.48,46.60,c,45.12,1,1,1.00,1,10.00,0.000,45.100,0.000000,0.000000,0.000000,48389.808594,0.000000,0.000000,0.000000,0,3,1;3;2;,, 1.4; 1.6;46.6;,0.017882,-0.125179,40.253934,0.053648,
33,-1,-1,-1,-1,1,2,1,2,1.53,46.70,c,45.17,1,1,1.00,1,10.00,0.000,45.100,0.000000,0.000000,0.000000,48413.175781,0.000000,0.000000,0.000000,0,3,1;3;2;,, 1.5; 1.6;46.7;,0.017882,-0.125179,40.253934,0.053648,
34,-1,-1,-1,-1,1,2,1,2,1.57,46.70,c,45.13,1,1,1.00,1,10.00,0.000,45.100,0.000000,0.000000,0.000000,48394.066406,0.000000,0.000000,0.000000,15,3,1;3;2;,, 1.5; 1.7;46.7;,0.017882,-0.125179,40.253934,0.053648,
35,-1,-1,-1,-1,1,2,1,2,1.62,46.70,c,45.08,1,1,1.00,1,10.00,0.000,45.100,0.000000,0.000000,0.000000,48374.957031,0.000000,0.000000,0.000000,10,3,1;3;2;,, 1.6; 1.7;46.7;,0.017882,-0.125179,40.253934,0.053648,
36,-1,-1,-1,-1,1,2,1,2,1.66,46.80,c,45.14,1,1,1.00,1,10.00,0.000,45.100,0.000000,0.000000,0.000000,48398.324219,0.000000,0.000000,0.000000,15,3,1;3;2;,, 1.6; 1.8;46.8;,0.017882,-0.125179,40.253934,0.053648,
37,-1,-1,-1,-1,1,2,1,2,1.71,46.80,c,45.09,1,1,1.00,1,10.00,0.000,45.100,0.000000,0.000000,0.000000,48379.214844,0.000000,0.000000,0.000000,10,3,1;3;2;,, 1.7; 1.8;46.8;,0.017882,-0.125179,40.253934,0.053648,
