agent_id,tour_id,from_zone_id,to_zone_id,from_origin_node_id,to_destination_node_id,departure_time_in_min,end_time_in_min,travel_time_in_min,demand_type,information_type,value_of_time,vehicle_type,vehicle_age,distance
0,0,1,2,1,2,0.04,45.20,45.16,1,1,10.00,1,15,45.10,
1,1,1,2,1,2,0.09,45.20,45.11,1,1,10.00,1,15,45.10,
2,2,1,2,1,2,0.13,45.30,45.17,1,1,10.00,1,5,45.10,
3,3,1,2,1,2,0.18,45.30,45.12,1,1,10.00,1,0,45.10,
4,4,1,2,1,2,0.22,45.40,45.18,1,1,10.00,1,10,45.10,
5,5,1,2,1,2,0.27,45.40,45.13,1,1,10.00,1,10,45.10,
6,6,1,2,1,2,0.31,45.40,45.09,1,1,10.00,1,10,45.10,
7,7,1,2,1,2,0.36,45.50,45.14,1,1,10.00,1,0,45.10,
8,8,1,2,1,2,0.40,45.50,45.10,1,1,10.00,1,15,45.10,
9,9,1,2,1,2,0.45,45.60,45.15,1,1,10.00,1,0,45.10,
10,10,1,2,1,2,0.49,45.60,45.11,1,1,10.00,1,5,45.10,
11,11,1,2,1,2,0.54,45.70,45.16,1,1,10.00,1,10,45.10,
12,12,1,2,1,2,0.58,45.70,45.12,1,1,10.00,1,10,45.10,
13,13,1,2,1,2,0.63,45.80,45.17,1,1,10.00,1,5,45.10,
14,14,1,2,1,2,0.67,45.80,45.13,1,1,10.00,1,0,45.10,
15,15,1,2,1,2,0.72,45.80,45.08,1,1,10.00,1,10,45.10,
16,16,1,2,1,2,0.76,45.90,45.14,1,1,10.00,1,15,45.10,
17,17,1,2,1,2,0.81,45.90,45.09,1,1,10.00,1,5,45.10,
18,18,1,2,1,2,0.85,46.00,45.15,1,1,10.00,1,10,45.10,
19,19,1,2,1,2,0.90,46.00,45.10,1,1,10.00,1,0,45.10,
20,20,1,2,1,2,0.94,46.10,45.16,1,1,10.00,1,5,45.10,
21,21,1,2,1,2,0.99,46.10,45.11,1,1,10.00,1,5,45.10,
22,22,1,2,1,2,1.03,46.20,45.17,1,1,10.00,1,5,45.10,
23,23,1,2,1,2,1.08,46.20,45.12,1,1,10.00,1,5,45.10,
24,24,1,2,1,2,1.12,46.30,45.18,1,1,10.00,1,10,45.10,
25,25,1,2,1,2,1.17,46.30,45.13,1,1,10.00,1,5,45.10,
26,26,1,2,1,2,1.21,46.30,45.09,1,1,10.00,1,10,45.10,
27,27,1,2,1,2,1.26,46.40,45.14,1,1,10.00,1,5,45.10,
