time_stamp_in_min,cumulative_in_flow_count,cumulative_out_flow_count,number_of_vehicles_in_network,flow_in_a_min,avg_trip_time_in_min
0,133,0,133,133,5.35621,
1,266,0,266,133,6.57538,
2,400,0,400,134,7.79906,
3,533,0,533,133,9.02275,
4,666,12,654,133,10.2419,
5,800,72,728,134,11.4666,
6,933,132,801,133,12.69,
7,1066,192,874,133,13.9092,
8,1200,252,948,134,15.1326,
9,1333,312,1021,133,16.3573,
10,1466,372,1094,133,17.5765,
11,1600,432,1168,134,18.8002,
12,1733,492,1241,133,20.0239,
13,1866,552,1314,133,21.243,
14,2000,612,1388,134,22.4677,
15,2133,672,1461,133,17.3859,
16,2266,732,1534,133,11.2434,
17,2400,792,1608,134,12.4681,
18,2533,852,1681,133,13.6915,
19,2666,912,1754,133,14.9107,
20,2800,972,1828,134,16.1341,
21,2933,1032,1901,133,17.3588,
22,3067,1092,1975,134,18.5826,
23,3200,1152,2048,133,19.8062,
24,3333,1212,2121,133,21.0254,
25,3467,1296,2171,134,22.2494,
26,3600,1412,2188,133,23.4735,
27,3733,1532,2201,133,24.6927,
28,3867,1652,2215,134,12.567,
29,4000,1772,2228,133,13.7904,
30,4133,1892,2241,133,15.0096,
31,4267,2012,2255,134,16.233,
32,4400,2132,2268,133,17.4577,
33,4533,2252,2281,133,18.6769,
34,4667,2372,2295,134,19.9006,
35,4800,2492,2308,133,23.1942,
36,4933,2612,2321,133,26.0434,
37,5067,2732,2335,134,29.283,
38,5200,2852,2348,133,32.6915,
39,5333,2932,2401,133,35.5874,
40,5467,3052,2415,134,38.1334,
41,5600,3172,2428,133,9.97537,
42,5734,3292,2442,134,11.1991,
43,5867,3412,2455,133,12.4227,
44,6000,3532,2468,133,13.6419,
45,6134,3652,2482,134,14.9024,
46,6267,3772,2495,133,16.5675,
47,6400,3892,2508,133,18.3205,
48,6534,4012,2522,134,20.0431,
49,6667,4132,2535,133,21.7581,
50,6800,4287,2513,133,23.4991,
51,6934,4467,2467,134,25.236,
52,7067,4647,2420,133,27.0231,
53,7200,4788,2412,133,28.9039,
54,7334,4908,2426,134,30.6871,
55,7467,5028,2439,133,32.4889,
56,7600,5123,2477,133,34.2682,
57,7734,5214,2520,134,35.8002,
58,7867,5307,2560,133,37.0246,
59,8000,5402,2598,133,38.2438,
60,8000,5495,2505,0,0,
61,8000,5583,2417,0,0,
62,8000,5678,2322,0,0,
63,8000,5766,2234,0,0,
64,8000,5851,2149,0,0,
65,8000,5940,2060,0,0,
66,8000,6029,1971,0,0,
67,8000,6119,1881,0,0,
68,8000,6206,1794,0,0,
69,8000,6266,1734,0,0,
70,8000,6326,1674,0,0,
71,8000,6386,1614,0,0,
72,8000,6446,1554,0,0,
73,8000,6506,1494,0,0,
74,8000,6566,1434,0,0,
75,8000,6626,1374,0,0,
76,8000,6686,1314,0,0,
77,8000,6746,1254,0,0,
78,8000,6806,1194,0,0,
79,8000,6866,1134,0,0,
80,8000,6926,1074,0,0,
81,8000,6986,1014,0,0,
82,8000,7046,954,0,0,
83,8000,7106,894,0,0,
84,8000,7166,834,0,0,
85,8000,7226,774,0,0,
86,8000,7286,714,0,0,
87,8000,7346,654,0,0,
88,8000,7406,594,0,0,
89,8000,7466,534,0,0,
90,8000,7526,474,0,0,
91,8000,7586,414,0,0,
92,8000,7646,354,0,0,
93,8000,7706,294,0,0,
94,8000,7766,234,0,0,
95,8000,7826,174,0,0,
96,8000,7886,114,0,0,
97,8000,7946,54,0,0,
98,8000,8000,0,0,0,
