agent_id,tour_id,from_zone_id,to_zone_id,from_origin_node_id,to_destination_node_id,departure_time_in_min,end_time_in_min,travel_time_in_min,demand_type,information_type,value_of_time,vehicle_type,vehicle_age,distance
0,0,1,4,1,4,0.01,4.80,4.79,1,3,10.00,1,15,4.00,
1,1,1,4,1,4,0.01,4.80,4.79,1,3,10.00,1,15,4.00,
2,2,1,4,1,4,0.02,4.80,4.78,1,3,10.00,1,5,4.00,
3,3,1,4,1,4,0.03,4.80,4.77,1,2,10.00,1,0,4.00,
4,4,1,4,1,4,0.04,4.80,4.76,1,2,10.00,1,10,4.00,
5,5,1,4,1,4,0.04,4.80,4.76,1,2,10.00,1,10,4.00,
6,6,1,4,1,4,0.05,4.90,4.85,1,2,10.00,1,10,4.00,
7,7,1,4,1,4,0.06,4.90,4.84,1,3,10.00,1,0,4.00,
8,8,1,4,1,4,0.07,4.90,4.83,1,3,10.00,1,15,4.00,
9,9,1,4,1,4,0.07,4.90,4.83,1,2,10.00,1,0,4.00,
10,10,1,4,1,4,0.08,4.90,4.82,1,3,10.00,1,5,4.00,
11,11,1,4,1,4,0.09,4.90,4.81,1,3,10.00,1,10,4.00,
12,12,1,4,1,4,0.10,5.00,4.90,1,3,10.00,1,10,4.00,
13,13,1,4,1,4,0.10,5.00,4.90,1,2,10.00,1,5,4.00,
14,14,1,4,1,4,0.11,5.00,4.89,1,3,10.00,1,0,4.00,
15,15,1,4,1,4,0.12,5.00,4.88,1,2,10.00,1,10,4.00,
16,16,1,4,1,4,0.13,5.00,4.87,1,2,10.00,1,15,4.00,
17,17,1,4,1,4,0.13,5.00,4.87,1,2,10.00,1,5,4.00,
18,18,1,4,1,4,0.14,5.10,4.96,1,3,10.00,1,10,4.00,
19,19,1,4,1,4,0.15,5.10,4.95,1,2,10.00,1,0,4.00,
20,20,1,4,1,4,0.16,5.10,4.94,1,2,10.00,1,5,4.00,
21,21,1,4,1,4,0.16,5.10,4.94,1,3,10.00,1,5,4.00,
22,22,1,4,1,4,0.17,5.10,4.93,1,2,10.00,1,5,4.00,
23,23,1,4,1,4,0.18,5.10,4.92,1,3,10.00,1,5,4.00,
24,24,1,4,1,4,0.19,5.20,5.01,1,3,10.00,1,10,4.00,
25,25,1,4,1,4,0.19,5.20,5.01,1,2,10.00,1,5,4.00,
26,26,1,4,1,4,0.20,5.20,5.00,1,3,10.00,1,10,4.00,
27,27,1,4,1,4,0.21,5.20,4.99,1,2,10.00,1,5,4.00,
28,28,1,4,1,4,0.22,5.20,4.98,1,3,10.00,1,5,4.00,
29,29,1,4,1,4,0.22,5.20,4.98,1,3,10.00,1,10,4.00,
30,30,1,4,1,4,0.23,5.30,5.07,1,3,10.00,1,15,4.00,
31,31,1,4,1,4,0.24,5.30,5.06,1,3,10.00,1,10,4.00,
32,32,1,4,1,4,0.25,5.30,5.05,1,2,10.00,1,0,4.00,
33,33,1,4,1,4,0.25,5.30,5.05,1,3,10.00,1,0,4.00,
34,34,1,4,1,4,0.26,5.30,5.04,1,2,10.00,1,15,4.00,
35,35,1,4,1,4,0.27,5.30,5.03,1,3,10.00,1,10,4.00,
36,36,1,4,1,4,0.28,5.40,5.12,1,2,10.00,1,15,4.00,
37,37,1,4,1,4,0.28,5.40,5.12,1,2,10.00,1,10,4.00,
38,38,1,4,1,4,0.29,5.40,5.11,1,3,10.00,1,0,4.00,
