agent_id,tour_id,dependency_agent_id,duration_in_min,following_agent_id,from_zone_id, to_zone_id, from_origin_node_id, to_destination_node_id, departure_time_in_min, arrival_time_in_min, complete_flag, travel_time_in_min, demand_type, vehicle_type, PCE, information_type, value_of_time, toll_cost, distance, TotalEnergy_(KJ), CO2_(g), NOX_(g), CO_(g), HC_(g), PM_(g), PM_2.5(g),vehicle_age,number_of_nodes,path_node_sequence,org_path_node_sequence,path_time_sequence,origin_node_x,origin_node_y,destination_node_x,destination_node_y,
0,-1,-1,-1,-1,1,4,1,4,0.01,4.80,c,4.79,1,1,1.00,1,10.00,0.000,4.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,15,4,1;5;6;4;,, 0.0; 1.7; 3.6; 4.8;,0.000000,0.000000,1.831400,3.662800,
1,-1,-1,-1,-1,1,4,1,4,0.01,4.80,c,4.79,1,1,1.00,1,10.00,0.000,4.000,0.000000,0.000000,0.000000,5450.729492,0.000000,0.000000,0.000000,15,4,1;5;6;4;,, 0.0; 1.7; 3.6; 4.8;,0.000000,0.000000,1.831400,3.662800,
2,-1,-1,-1,-1,1,4,1,4,0.02,4.80,c,4.78,1,1,1.00,1,10.00,0.000,4.000,0.000000,0.000000,0.000000,5447.544434,0.000000,0.000000,0.000000,5,4,1;5;6;4;,, 0.0; 1.7; 3.6; 4.8;,0.000000,0.000000,1.831400,3.662800,
3,-1,-1,-1,-1,1,4,1,4,0.03,4.80,c,4.77,1,1,1.00,2,10.00,0.000,4.000,0.000000,0.000000,0.000000,5444.359375,0.000000,0.000000,0.000000,0,4,1;5;6;4;,, 0.0; 1.7; 3.6; 4.8;,0.000000,0.000000,1.831400,3.662800,
4,-1,-1,-1,-1,1,4,1,4,0.04,4.80,c,4.76,1,1,1.00,1,10.00,0.000,4.000,0.000000,0.000000,0.000000,5441.174316,0.000000,0.000000,0.000000,10,4,1;5;6;4;,, 0.0; 1.8; 3.6; 4.8;,0.000000,0.000000,1.831400,3.662800,
5,-1,-1,-1,-1,1,4,1,4,0.04,4.80,c,4.76,1,1,1.00,1,10.00,0.000,4.000,0.000000,0.000000,0.000000,5437.989258,0.000000,0.000000,0.000000,10,4,1;5;6;4;,, 0.0; 1.8; 3.6; 4.8;,0.000000,0.000000,1.831400,3.662800,
6,-1,-1,-1,-1,1,4,1,4,0.05,4.90,c,4.85,1,1,1.00,3,10.00,0.000,4.000,0.000000,0.000000,0.000000,5477.276367,0.000000,0.000000,0.000000,10,4,1;5;6;4;,, 0.0; 1.8; 3.6; 4.9;,0.000000,0.000000,1.831400,3.662800,
7,-1,-1,-1,-1,1,4,1,4,0.06,4.90,c,4.84,1,1,1.00,1,10.00,0.000,4.000,0.000000,0.000000,0.000000,5474.091309,0.000000,0.000000,0.000000,0,4,1;5;6;4;,, 0.0; 1.8; 3.6; 4.9;,0.000000,0.000000,1.831400,3.662800,
8,-1,-1,-1,-1,1,4,1,4,0.07,4.90,c,4.83,1,1,1.00,1,10.00,0.000,4.000,0.000000,0.000000,0.000000,5470.906250,0.000000,0.000000,0.000000,15,4,1;5;6;4;,, 0.0; 1.8; 3.6; 4.9;,0.000000,0.000000,1.831400,3.662800,
9,-1,-1,-1,-1,1,4,1,4,0.07,4.90,c,4.83,1,1,1.00,3,10.00,0.000,4.000,0.000000,0.000000,0.000000,5467.721191,0.000000,0.000000,0.000000,0,4,1;5;6;4;,, 0.0; 1.8; 3.6; 4.9;,0.000000,0.000000,1.831400,3.662800,
10,-1,-1,-1,-1,1,4,1,4,0.08,4.90,c,4.82,1,1,1.00,1,10.00,0.000,4.000,0.000000,0.000000,0.000000,5464.536133,0.000000,0.000000,0.000000,5,4,1;5;6;4;,, 0.0; 1.8; 3.6; 4.9;,0.000000,0.000000,1.831400,3.662800,
11,-1,-1,-1,-1,1,4,1,4,0.09,4.90,c,4.81,1,1,1.00,1,10.00,0.000,4.000,0.000000,0.000000,0.000000,5461.351563,0.000000,0.000000,0.000000,10,4,1;5;6;4;,, 0.0; 1.8; 3.7; 4.9;,0.000000,0.000000,1.831400,3.662800,
12,-1,-1,-1,-1,1,4,1,4,0.10,5.00,c,4.90,1,1,1.00,1,10.00,0.000,4.000,0.000000,0.000000,0.000000,5500.638672,0.000000,0.000000,0.000000,10,4,1;5;6;4;,, 0.0; 1.8; 3.7; 5.0;,0.000000,0.000000,1.831400,3.662800,
13,-1,-1,-1,-1,1,4,1,4,0.10,5.00,c,4.90,1,1,1.00,1,10.00,0.000,4.000,0.000000,0.000000,0.000000,5497.453125,0.000000,0.000000,0.000000,5,4,1;5;6;4;,, 0.1; 1.8; 3.7; 5.0;,0.000000,0.000000,1.831400,3.662800,
14,-1,-1,-1,-1,1,4,1,4,0.11,5.00,c,4.89,1,1,1.00,1,10.00,0.000,4.000,0.000000,0.000000,0.000000,5494.268555,0.000000,0.000000,0.000000,0,4,1;5;6;4;,, 0.1; 1.8; 3.7; 5.0;,0.000000,0.000000,1.831400,3.662800,
15,-1,-1,-1,-1,1,4,1,4,0.12,5.00,c,4.88,1,1,1.00,1,10.00,0.000,4.000,0.000000,0.000000,0.000000,5491.083496,0.000000,0.000000,0.000000,10,4,1;5;6;4;,, 0.1; 1.8; 3.7; 5.0;,0.000000,0.000000,1.831400,3.662800,
16,-1,-1,-1,-1,1,4,1,4,0.13,5.00,c,4.87,1,1,1.00,1,10.00,0.000,4.000,0.000000,0.000000,0.000000,5487.898438,0.000000,0.000000,0.000000,15,4,1;5;6;4;,, 0.1; 1.8; 3.7; 5.0;,0.000000,0.000000,1.831400,3.662800,
17,-1,-1,-1,-1,1,4,1,4,0.13,5.00,c,4.87,1,1,1.00,2,10.00,0.000,4.000,0.000000,0.000000,0.000000,5484.713379,0.000000,0.000000,0.000000,5,4,1;5;6;4;,, 0.1; 1.8; 3.7; 5.0;,0.000000,0.000000,1.831400,3.662800,
18,-1,-1,-1,-1,1,4,1,4,0.14,5.10,c,4.96,1,1,1.00,1,10.00,0.000,4.000,0.000000,0.000000,0.000000,5524.000488,0.000000,0.000000,0.000000,10,4,1;5;6;4;,, 0.1; 1.9; 3.7; 5.1;,0.000000,0.000000,1.831400,3.662800,
19,-1,-1,-1,-1,1,4,1,4,0.15,5.10,c,4.95,1,1,1.00,1,10.00,0.000,4.000,0.000000,0.000000,0.000000,5520.815430,0.000000,0.000000,0.000000,0,4,1;5;6;4;,, 0.1; 1.9; 3.7; 5.1;,0.000000,0.000000,1.831400,3.662800,
20,-1,-1,-1,-1,1,4,1,4,0.16,5.10,c,4.94,1,1,1.00,3,10.00,0.000,4.000,0.000000,0.000000,0.000000,5517.630371,0.000000,0.000000,0.000000,5,4,1;5;6;4;,, 0.1; 1.9; 3.7; 5.1;,0.000000,0.000000,1.831400,3.662800,
21,-1,-1,-1,-1,1,4,1,4,0.16,5.10,c,4.94,1,1,1.00,1,10.00,0.000,4.000,0.000000,0.000000,0.000000,5514.445313,0.000000,0.000000,0.000000,5,4,1;5;6;4;,, 0.1; 1.9; 3.7; 5.1;,0.000000,0.000000,1.831400,3.662800,
22,-1,-1,-1,-1,1,4,1,4,0.17,5.10,c,4.93,1,1,1.00,2,10.00,0.000,4.000,0.000000,0.000000,0.000000,5511.260254,0.000000,0.000000,0.000000,5,4,1;5;6;4;,, 0.1; 1.9; 3.7; 5.1;,0.000000,0.000000,1.831400,3.662800,
