time_stamp_in_min,cumulative_in_flow_count,cumulative_out_flow_count,number_of_vehicles_in_network,flow_in_a_min,avg_trip_time_in_min
0,133,0,133,133,6.08704,
1,266,0,266,133,6.56711,
2,400,0,400,134,7.04906,
3,533,0,533,133,7.53102,
4,666,0,666,133,8.01109,
5,800,9,791,134,8.49421,
6,933,99,834,133,8.97651,
7,1066,189,877,133,9.45658,
8,1200,279,921,134,9.93862,
9,1333,369,964,133,10.4205,
10,1466,459,1007,133,10.9013,
11,1600,549,1051,134,11.3838,
12,1733,639,1094,133,11.866,
13,1866,729,1137,133,12.346,
14,2000,819,1181,134,12.8282,
15,2133,909,1224,133,13.31,
16,2266,999,1267,133,13.7915,
17,2400,1089,1311,134,14.2733,
18,2533,1179,1354,133,14.7555,
19,2666,1269,1397,133,15.2355,
20,2800,1359,1441,134,15.7177,
21,2933,1449,1484,133,16.2002,
22,3067,1539,1528,134,16.6826,
23,3200,1629,1571,133,17.1649,
24,3333,1719,1614,133,17.6449,
25,3467,1809,1658,134,18.127,
26,3600,1899,1701,133,18.6088,
27,3733,1989,1744,133,19.0904,
28,3867,2079,1788,134,19.5722,
29,4000,2169,1831,133,20.0543,
30,4133,2259,1874,133,20.5344,
31,4267,2349,1918,134,21.0166,
32,4400,2439,1961,133,21.4991,
33,4533,2529,2004,133,21.9799,
34,4667,2619,2048,134,22.4618,
35,4800,2709,2091,133,22.9438,
36,4933,2799,2134,133,36.2712,
37,5067,2889,2178,134,82.536,
38,5200,2979,2221,133,82.0833,
39,5333,3069,2264,133,81.4558,
40,5467,3159,2308,134,80.8282,
41,5600,3249,2351,133,80.1957,
42,5734,3339,2395,134,79.5632,
43,5867,3429,2438,133,78.9378,
44,6000,3519,2481,133,78.3081,
45,6134,3609,2525,134,77.6755,
46,6267,3699,2568,133,77.0472,
47,6400,3789,2611,133,76.4205,
48,6534,3879,2655,134,75.7879,
49,6667,3969,2698,133,75.1566,
50,6800,4059,2741,133,74.5329,
51,6934,4149,2785,134,73.9002,
52,7067,4239,2828,133,73.2675,
53,7200,4329,2871,133,72.6438,
54,7334,4419,2915,134,72.0125,
55,7467,4509,2958,133,71.3799,
56,7600,4599,3001,133,70.7532,
57,7734,4689,3045,134,70.1248,
58,7867,4779,3088,133,69.4923,
59,8000,4869,3131,133,68.8626,
60,8000,4870,3130,0,0,
61,8000,4871,3129,0,0,
62,8000,4872,3128,0,0,
63,8000,4873,3127,0,0,
64,8000,4875,3125,0,0,
65,8000,4876,3124,0,0,
66,8000,4877,3123,0,0,
67,8000,4878,3122,0,0,
68,8000,4879,3121,0,0,
69,8000,4881,3119,0,0,
70,8000,4882,3118,0,0,
71,8000,4883,3117,0,0,
72,8000,4884,3116,0,0,
73,8000,4885,3115,0,0,
74,8000,4887,3113,0,0,
75,8000,4888,3112,0,0,
76,8000,4889,3111,0,0,
77,8000,4890,3110,0,0,
78,8000,4891,3109,0,0,
79,8000,4893,3107,0,0,
80,8000,4894,3106,0,0,
81,8000,4895,3105,0,0,
82,8000,4896,3104,0,0,
83,8000,4897,3103,0,0,
84,8000,4899,3101,0,0,
85,8000,4900,3100,0,0,
86,8000,4901,3099,0,0,
87,8000,4902,3098,0,0,
88,8000,4903,3097,0,0,
89,8000,4905,3095,0,0,
90,8000,4906,3094,0,0,
91,8000,4907,3093,0,0,
92,8000,4908,3092,0,0,
93,8000,4909,3091,0,0,
94,8000,4911,3089,0,0,
95,8000,4912,3088,0,0,
96,8000,4913,3087,0,0,
97,8000,4914,3086,0,0,
98,8000,4915,3085,0,0,
99,8000,4917,3083,0,0,
100,8000,4918,3082,0,0,
101,8000,4919,3081,0,0,
102,8000,4920,3080,0,0,
103,8000,4921,3079,0,0,
104,8000,4923,3077,0,0,
105,8000,4924,3076,0,0,
106,8000,4925,3075,0,0,
107,8000,4926,3074,0,0,
108,8000,4927,3073,0,0,
109,8000,4929,3071,0,0,
110,8000,4930,3070,0,0,
111,8000,4931,3069,0,0,
112,8000,4932,3068,0,0,
113,8000,4933,3067,0,0,
114,8000,4935,3065,0,0,
115,8000,4936,3064,0,0,
116,8000,4937,3063,0,0,
117,8000,4938,3062,0,0,
118,8000,4939,3061,0,0,
119,8000,4941,3059,0,0,
120,8000,5265,2735,0,0,
121,8000,5625,2375,0,0,
122,8000,5985,2015,0,0,
123,8000,6345,1655,0,0,
124,8000,6705,1295,0,0,
125,8000,7065,935,0,0,
126,8000,7425,575,0,0,
127,8000,7785,215,0,0,
128,8000,8000,0,0,0,
