agent_id,tour_id,dependency_agent_id,duration_in_min,following_agent_id,from_zone_id, to_zone_id, from_origin_node_id, to_destination_node_id, departure_time_in_min, arrival_time_in_min, complete_flag, travel_time_in_min, demand_type, vehicle_type, PCE, information_type, value_of_time, toll_cost, distance, TotalEnergy_(KJ), CO2_(g), NOX_(g), CO_(g), HC_(g), PM_(g), PM_2.5(g),vehicle_age,number_of_nodes,path_node_sequence,org_path_node_sequence,path_time_sequence,origin_node_x,origin_node_y,destination_node_x,destination_node_y,
0,-1,-1,-1,-1,1,4,1,4,0.01,5.30,c,5.29,1,1,1.00,1,10.00,0.000,4.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,15,4,1;5;6;4;,, 0.0; 1.7; 3.6; 5.3;,0.000000,0.000000,1.831400,3.662800,
1,-1,-1,-1,-1,1,4,1,4,0.01,5.30,c,5.29,1,1,1.00,1,10.00,0.000,4.000,0.000000,0.000000,0.000000,5663.090332,0.000000,0.000000,0.000000,15,4,1;5;6;4;,, 0.0; 1.7; 3.6; 5.3;,0.000000,0.000000,1.831400,3.662800,
2,-1,-1,-1,-1,1,4,1,4,0.02,5.30,c,5.28,1,1,1.00,1,10.00,0.000,4.000,0.000000,0.000000,0.000000,5659.905273,0.000000,0.000000,0.000000,5,4,1;5;6;4;,, 0.0; 1.7; 3.6; 5.3;,0.000000,0.000000,1.831400,3.662800,
3,-1,-1,-1,-1,1,4,1,4,0.03,5.30,c,5.27,1,1,1.00,1,10.00,0.000,4.000,0.000000,0.000000,0.000000,5656.720215,0.000000,0.000000,0.000000,0,4,1;5;6;4;,, 0.0; 1.7; 3.6; 5.3;,0.000000,0.000000,1.831400,3.662800,
4,-1,-1,-1,-1,1,4,1,4,0.04,5.30,c,5.26,1,1,1.00,1,10.00,0.000,4.000,0.000000,0.000000,0.000000,5653.535156,0.000000,0.000000,0.000000,10,4,1;5;6;4;,, 0.0; 1.8; 3.6; 5.3;,0.000000,0.000000,1.831400,3.662800,
5,-1,-1,-1,-1,1,4,1,4,0.04,5.30,c,5.26,1,1,1.00,1,10.00,0.000,4.000,0.000000,0.000000,0.000000,5650.350098,0.000000,0.000000,0.000000,10,4,1;5;6;4;,, 0.0; 1.8; 3.6; 5.3;,0.000000,0.000000,1.831400,3.662800,
6,-1,-1,-1,-1,1,4,1,4,0.05,5.40,c,5.35,1,1,1.00,1,10.00,0.000,4.000,0.000000,0.000000,0.000000,5689.637207,0.000000,0.000000,0.000000,10,4,1;5;6;4;,, 0.0; 1.8; 3.6; 5.4;,0.000000,0.000000,1.831400,3.662800,
7,-1,-1,-1,-1,1,4,1,4,0.06,5.40,c,5.34,1,1,1.00,1,10.00,0.000,4.000,0.000000,0.000000,0.000000,5686.452148,0.000000,0.000000,0.000000,0,4,1;5;6;4;,, 0.0; 1.8; 3.6; 5.4;,0.000000,0.000000,1.831400,3.662800,
8,-1,-1,-1,-1,1,4,1,4,0.07,5.40,c,5.33,1,1,1.00,1,10.00,0.000,4.000,0.000000,0.000000,0.000000,5683.267090,0.000000,0.000000,0.000000,15,4,1;5;6;4;,, 0.0; 1.8; 3.6; 5.4;,0.000000,0.000000,1.831400,3.662800,
9,-1,-1,-1,-1,1,4,1,4,0.07,5.40,c,5.33,1,1,1.00,1,10.00,0.000,4.000,0.000000,0.000000,0.000000,5680.082031,0.000000,0.000000,0.000000,0,4,1;5;6;4;,, 0.0; 1.8; 3.6; 5.4;,0.000000,0.000000,1.831400,3.662800,
10,-1,-1,-1,-1,1,4,1,4,0.08,5.40,c,5.32,1,1,1.00,1,10.00,0.000,4.000,0.000000,0.000000,0.000000,5676.896973,0.000000,0.000000,0.000000,5,4,1;5;6;4;,, 0.0; 1.8; 3.6; 5.4;,0.000000,0.000000,1.831400,3.662800,
11,-1,-1,-1,-1,1,4,1,4,0.09,5.40,c,5.31,1,1,1.00,1,10.00,0.000,4.000,0.000000,0.000000,0.000000,5673.711914,0.000000,0.000000,0.000000,10,4,1;5;6;4;,, 0.0; 1.8; 3.7; 5.4;,0.000000,0.000000,1.831400,3.662800,
12,-1,-1,-1,-1,1,4,1,4,0.10,5.40,c,5.30,1,1,1.00,1,10.00,0.000,4.000,0.000000,0.000000,0.000000,5670.527344,0.000000,0.000000,0.000000,10,4,1;5;6;4;,, 0.0; 1.8; 3.7; 5.4;,0.000000,0.000000,1.831400,3.662800,
13,-1,-1,-1,-1,1,4,1,4,0.10,5.40,c,5.30,1,1,1.00,1,10.00,0.000,4.000,0.000000,0.000000,0.000000,5667.341797,0.000000,0.000000,0.000000,5,4,1;5;6;4;,, 0.1; 1.8; 3.7; 5.4;,0.000000,0.000000,1.831400,3.662800,
14,-1,-1,-1,-1,1,4,1,4,0.11,5.40,c,5.29,1,1,1.00,1,10.00,0.000,4.000,0.000000,0.000000,0.000000,5664.157227,0.000000,0.000000,0.000000,0,4,1;5;6;4;,, 0.1; 1.8; 3.7; 5.4;,0.000000,0.000000,1.831400,3.662800,
15,-1,-1,-1,-1,1,4,1,4,0.12,5.40,c,5.28,1,1,1.00,1,10.00,0.000,4.000,0.000000,0.000000,0.000000,5660.972168,0.000000,0.000000,0.000000,10,4,1;5;6;4;,, 0.1; 1.8; 3.7; 5.4;,0.000000,0.000000,1.831400,3.662800,
16,-1,-1,-1,-1,1,4,1,4,0.13,5.40,c,5.27,1,1,1.00,1,10.00,0.000,4.000,0.000000,0.000000,0.000000,5657.787109,0.000000,0.000000,0.000000,15,4,1;5;6;4;,, 0.1; 1.8; 3.7; 5.4;,0.000000,0.000000,1.831400,3.662800,
17,-1,-1,-1,-1,1,4,1,4,0.13,5.40,c,5.27,1,1,1.00,1,10.00,0.000,4.000,0.000000,0.000000,0.000000,5654.602051,0.000000,0.000000,0.000000,5,4,1;5;6;4;,, 0.1; 1.8; 3.7; 5.4;,0.000000,0.000000,1.831400,3.662800,
18,-1,-1,-1,-1,1,4,1,4,0.14,5.50,c,5.36,1,1,1.00,1,10.00,0.000,4.000,0.000000,0.000000,0.000000,5693.889160,0.000000,0.000000,0.000000,10,4,1;5;6;4;,, 0.1; 1.9; 3.7; 5.5;,0.000000,0.000000,1.831400,3.662800,
19,-1,-1,-1,-1,1,4,1,4,0.15,5.50,c,5.35,1,1,1.00,1,10.00,0.000,4.000,0.000000,0.000000,0.000000,5690.704102,0.000000,0.000000,0.000000,0,4,1;5;6;4;,, 0.1; 1.9; 3.7; 5.5;,0.000000,0.000000,1.831400,3.662800,
20,-1,-1,-1,-1,1,4,1,4,0.16,5.50,c,5.34,1,1,1.00,1,10.00,0.000,4.000,0.000000,0.000000,0.000000,5687.519043,0.000000,0.000000,0.000000,5,4,1;5;6;4;,, 0.1; 1.9; 3.7; 5.5;,0.000000,0.000000,1.831400,3.662800,
21,-1,-1,-1,-1,1,4,1,4,0.16,5.50,c,5.34,1,1,1.00,1,10.00,0.000,4.000,0.000000,0.000000,0.000000,5684.333984,0.000000,0.000000,0.000000,5,4,1;5;6;4;,, 0.1; 1.9; 3.7; 5.5;,0.000000,0.000000,1.831400,3.662800,
22,-1,-1,-1,-1,1,4,1,4,0.17,5.50,c,5.33,1,1,1.00,1,10.00,0.000,4.000,0.000000,0.000000,0.000000,5681.148926,0.000000,0.000000,0.000000,5,4,1;5;6;4;,, 0.1; 1.9; 3.7; 5.5;,0.000000,0.000000,1.831400,3.662800,
23,-1,-1,-1,-1,1,4,1,4,0.18,5.50,c,5.32,1,1,1.00,1,10.00,0.000,4.000,0.000000,0.000000,0.000000,5677.963867,0.000000,0.000000,0.000000,5,4,1;5;6;4;,, 0.1; 1.9; 3.7; 5.5;,0.000000,0.000000,1.831400,3.662800,
24,-1,-1,-1,-1,1,4,1,4,0.19,5.50,c,5.31,1,1,1.00,1,10.00,0.000,4.000,0.000000,0.000000,0.000000,5674.779297,0.000000,0.000000,0.000000,10,4,1;5;6;4;,, 0.1; 1.9; 3.7; 5.5;,0.000000,0.000000,1.831400,3.662800,
25,-1,-1,-1,-1,1,4,1,4,0.19,5.50,c,5.31,1,1,1.00,1,10.00,0.000,4.000,0.000000,0.000000,0.000000,5671.593750,0.000000,0.000000,0.000000,5,4,1;5;6;4;,, 0.1; 1.9; 3.8; 5.5;,0.000000,0.000000,1.831400,3.662800,
