agent_id,tour_id,from_zone_id,to_zone_id,from_origin_node_id,to_destination_node_id,departure_time_in_min,end_time_in_min,travel_time_in_min,demand_type,information_type,value_of_time,vehicle_type,vehicle_age,distance
0,0,1,4,1,4,0.01,5.30,5.29,1,1,10.00,1,15,4.00,
1,1,1,4,1,4,0.01,5.30,5.29,1,1,10.00,1,15,4.00,
2,2,1,4,1,4,0.02,5.30,5.28,1,1,10.00,1,5,4.00,
3,3,1,4,1,4,0.03,5.30,5.27,1,1,10.00,1,0,4.00,
4,4,1,4,1,4,0.04,5.30,5.26,1,1,10.00,1,10,4.00,
5,5,1,4,1,4,0.04,5.30,5.26,1,1,10.00,1,10,4.00,
6,6,1,4,1,4,0.05,5.40,5.35,1,1,10.00,1,10,4.00,
7,7,1,4,1,4,0.06,5.40,5.34,1,1,10.00,1,0,4.00,
8,8,1,4,1,4,0.07,5.40,5.33,1,1,10.00,1,15,4.00,
9,9,1,4,1,4,0.07,5.40,5.33,1,1,10.00,1,0,4.00,
10,10,1,4,1,4,0.08,5.40,5.32,1,1,10.00,1,5,4.00,
11,11,1,4,1,4,0.09,5.40,5.31,1,1,10.00,1,10,4.00,
12,12,1,4,1,4,0.10,5.40,5.30,1,1,10.00,1,10,4.00,
13,13,1,4,1,4,0.10,5.40,5.30,1,1,10.00,1,5,4.00,
14,14,1,4,1,4,0.11,5.40,5.29,1,1,10.00,1,0,4.00,
15,15,1,4,1,4,0.12,5.40,5.28,1,1,10.00,1,10,4.00,
16,16,1,4,1,4,0.13,5.40,5.27,1,1,10.00,1,15,4.00,
17,17,1,4,1,4,0.13,5.40,5.27,1,1,10.00,1,5,4.00,
18,18,1,4,1,4,0.14,5.50,5.36,1,1,10.00,1,10,4.00,
19,19,1,4,1,4,0.15,5.50,5.35,1,1,10.00,1,0,4.00,
20,20,1,4,1,4,0.16,5.50,5.34,1,1,10.00,1,5,4.00,
21,21,1,4,1,4,0.16,5.50,5.34,1,1,10.00,1,5,4.00,
22,22,1,4,1,4,0.17,5.50,5.33,1,1,10.00,1,5,4.00,
23,23,1,4,1,4,0.18,5.50,5.32,1,1,10.00,1,5,4.00,
24,24,1,4,1,4,0.19,5.50,5.31,1,1,10.00,1,10,4.00,
25,25,1,4,1,4,0.19,5.50,5.31,1,1,10.00,1,5,4.00,
26,26,1,4,1,4,0.20,5.50,5.30,1,1,10.00,1,10,4.00,
27,27,1,4,1,4,0.21,5.50,5.29,1,1,10.00,1,5,4.00,
28,28,1,4,1,4,0.22,5.50,5.28,1,1,10.00,1,5,4.00,
29,29,1,4,1,4,0.22,5.50,5.28,1,1,10.00,1,10,4.00,
30,30,1,4,1,4,0.23,5.60,5.37,1,1,10.00,1,15,4.00,
31,31,1,4,1,4,0.24,5.60,5.36,1,1,10.00,1,10,4.00,
32,32,1,4,1,4,0.25,5.60,5.35,1,1,10.00,1,0,4.00,
33,33,1,4,1,4,0.25,5.60,5.35,1,1,10.00,1,0,4.00,
34,34,1,4,1,4,0.26,5.60,5.34,1,1,10.00,1,15,4.00,
35,35,1,4,1,4,0.27,5.60,5.33,1,1,10.00,1,10,4.00,
36,36,1,4,1,4,0.28,5.60,5.32,1,1,10.00,1,15,4.00,
37,37,1,4,1,4,0.28,5.60,5.32,1,1,10.00,1,10,4.00,
38,38,1,4,1,4,0.29,5.60,5.31,1,1,10.00,1,0,4.00,
39,39,1,4,1,4,0.30,5.60,5.30,1,1,10.00,1,0,4.00,
40,40,1,4,1,4,0.31,5.60,5.29,1,1,10.00,1,15,4.00,
41,41,1,4,1,4,0.31,5.60,5.29,1,1,10.00,1,10,4.00,
42,42,1,4,1,4,0.32,5.70,5.38,1,1,10.00,1,5,4.00,
43,43,1,4,1,4,0.33,5.70,5.37,1,1,10.00,1,0,4.00,
44,44,1,4,1,4,0.34,5.70,5.36,1,1,10.00,1,15,4.00,
45,45,1,4,1,4,0.34,5.70,5.36,1,1,10.00,1,0,4.00,
46,46,1,4,1,4,0.35,5.70,5.35,1,1,10.00,1,0,4.00,
47,47,1,4,1,4,0.36,5.70,5.34,1,1,10.00,1,5,4.00,
48,48,1,4,1,4,0.37,5.80,5.43,1,1,10.00,1,15,4.00,
49,49,1,4,1,4,0.37,5.80,5.43,1,1,10.00,1,15,4.00,
50,50,1,4,1,4,0.38,5.80,5.42,1,1,10.00,1,15,4.00,
51,51,1,4,1,4,0.39,5.80,5.41,1,1,10.00,1,15,4.00,
52,52,1,4,1,4,0.40,5.80,5.40,1,1,10.00,1,5,4.00,
53,53,1,4,1,4,0.40,5.80,5.40,1,1,10.00,1,0,4.00,
54,54,1,4,1,4,0.41,5.80,5.39,1,1,10.00,1,5,4.00,
55,55,1,4,1,4,0.42,5.80,5.38,1,1,10.00,1,5,4.00,
56,56,1,4,1,4,0.43,5.80,5.37,1,1,10.00,1,10,4.00,
57,57,1,4,1,4,0.43,5.80,5.37,1,1,10.00,1,15,4.00,
58,58,1,4,1,4,0.44,5.80,5.36,1,1,10.00,1,10,4.00,
59,59,1,4,1,4,0.45,5.80,5.35,1,1,10.00,1,15,4.00,
60,60,1,4,1,4,0.46,5.90,5.44,1,1,10.00,1,10,4.00,
61,61,1,4,1,4,0.46,5.90,5.44,1,1,10.00,1,5,4.00,
62,62,1,4,1,4,0.47,5.90,5.43,1,1,10.00,1,5,4.00,
63,63,1,4,1,4,0.48,5.90,5.42,1,1,10.00,1,5,4.00,
64,64,1,4,1,4,0.49,5.90,5.41,1,1,10.00,1,10,4.00,
65,65,1,4,1,4,0.49,5.90,5.41,1,1,10.00,1,10,4.00,
66,66,1,4,1,4,0.50,5.90,5.40,1,1,10.00,1,10,4.00,
67,67,1,4,1,4,0.51,5.90,5.39,1,1,10.00,1,5,4.00,
68,68,1,4,1,4,0.52,5.90,5.38,1,1,10.00,1,5,4.00,
69,69,1,4,1,4,0.52,5.90,5.38,1,1,10.00,1,0,4.00,
70,70,1,4,1,4,0.53,5.90,5.37,1,1,10.00,1,15,4.00,
71,71,1,4,1,4,0.54,5.90,5.36,1,1,10.00,1,10,4.00,
72,72,1,4,1,4,0.55,6.00,5.45,1,1,10.00,1,0,4.00,
73,73,1,4,1,4,0.55,6.00,5.45,1,1,10.00,1,15,4.00,
74,74,1,4,1,4,0.56,6.00,5.44,1,1,10.00,1,5,4.00,
75,75,1,4,1,4,0.57,6.00,5.43,1,1,10.00,1,15,4.00,
76,76,1,4,1,4,0.58,6.00,5.42,1,1,10.00,1,15,4.00,
77,77,1,4,1,4,0.58,6.00,5.42,1,1,10.00,1,15,4.00,
78,78,1,4,1,4,0.59,6.00,5.41,1,1,10.00,1,5,4.00,
79,79,1,4,1,4,0.60,6.00,5.40,1,1,10.00,1,5,4.00,
80,80,1,4,1,4,0.61,6.00,5.39,1,1,10.00,1,5,4.00,
81,81,1,4,1,4,0.61,6.00,5.39,1,1,10.00,1,0,4.00,
82,82,1,4,1,4,0.62,6.00,5.38,1,1,10.00,1,15,4.00,
83,83,1,4,1,4,0.63,6.00,5.37,1,1,10.00,1,10,4.00,
84,84,1,4,1,4,0.64,6.10,5.46,1,1,10.00,1,0,4.00,
85,85,1,4,1,4,0.64,6.10,5.46,1,1,10.00,1,5,4.00,
86,86,1,4,1,4,0.65,6.10,5.45,1,1,10.00,1,10,4.00,
