node_id,up_node_id,dest_node_id,name,turn_type,turn_direction,prohibited_flag,
1,132738647,133035608, ,Through,WBT,0,
1,133035608,132738647, ,Through,SBT,0,
2,132738647,133035549, ,Through,SBT,0,
2,133035549,132738647, ,Through,EBT,0,
4,132738719,133035545, ,Through,SBT,0,
4,133035545,132738719, ,Through,EBT,0,
5,132738694,132753927, ,Through,WBT,0,
5,132753927,132738694, ,Through,EBT,0,
10,133035587,133035588, ,Left,SBL,0,
10,133035588,133035587, ,Right,NWR,0,
12,132684267,132754607, ,Through,EBT,0,
12,132754607,132684267, ,Through,WBT,0,
14,132727983,133035569, ,Through,WBT,0,
14,133035569,132727983, ,Through,EBT,0,
15,132727933,133035569, ,Left,SBL,0,
15,133035569,132727933, ,Right,WBR,0,
22,132727662,133035618, ,Through,EBT,0,
22,133035618,132727662, ,Through,WBT,0,
26,132727518,132727597, ,Right,SBR,0,
26,132727597,132727518, ,Left,EBL,0,
27,132738435,133035613, ,Through,EBT,0,
27,133035613,132738435, ,Through,WBT,0,
29,133035560,133035611, ,Through,EBT,0,
29,133035611,133035560, ,Through,SBT,0,
33,132738398,132738440, ,Through,WBT,0,
33,132738440,132738398, ,Through,EBT,0,
34,132738470,132738475, ,Through,EBT,0,
34,132738475,132738470, ,Through,WBT,0,
132682591,132682590,132727745, ,Through,NBT,0,
132682591,132682590,133035538, ,Right,NBR,0,
132682591,132682590,133035539, ,Left,NBL,0,
132682591,132727745,132682590, ,Through,SBT,0,
132682591,132727745,133035538, ,Left,SBL,0,
132682591,132727745,133035539, ,Right,SBR,0,
132682591,133035538,132682590, ,Left,WBL,0,
132682591,133035538,132727745, ,Right,WBR,0,
132682591,133035538,133035539, ,Through,WBT,0,
132682591,133035539,132682590, ,Right,EBR,0,
132682591,133035539,132727745, ,Left,EBL,0,
132682591,133035539,133035538, ,Through,EBT,0,
132727839,132727664,132727834, ,Right,SBR,0,
132727839,132727664,132727916, ,Through,SBT,0,
132727839,132727664,133035544, ,Left,SBL,0,
132727839,132727834,132727664, ,Left,EBL,0,
132727839,132727834,132727916, ,Right,EBR,0,
132727839,132727834,133035544, ,Through,EBT,0,
132727839,132727916,132727664, ,Through,NBT,0,
132727839,132727916,132727834, ,Left,NBL,0,
132727839,132727916,133035544, ,Right,NBR,0,
132727839,133035544,132727664, ,Right,WBR,0,
132727839,133035544,132727834, ,Through,WBT,0,
132727839,133035544,132727916, ,Left,WBL,0,
132727841,132727890,133035541, ,Right,NBR,0,
132727841,132727890,133035542, ,Left,NBL,0,
132727841,133035541,132727890, ,Left,WBL,0,
132727841,133035541,133035542, ,Through,WBT,0,
132727841,133035542,132727890, ,Right,EBR,0,
132727841,133035542,133035541, ,Through,EBT,0,
132738639,132738537,132738636, ,Right,SBR,0,
132738639,132738537,132684261, ,Through,SBT,0,
132738639,132738537,133035537, ,Left,SBL,0,
