name,node_id,control_type,control_type_name,cycle_length_in_second,x,y,geometry
,1285,1,no_control,0,-111.943375,40.616454,"<Point><coordinates>-111.943375,40.616454</coordinates></Point>"
,1286,1,no_control,0,-111.934202,40.630776,"<Point><coordinates>-111.934202,40.630776</coordinates></Point>"
,1289,1,no_control,0,-111.933868,40.616707,"<Point><coordinates>-111.933868,40.616707</coordinates></Point>"
,1290,1,no_control,0,-111.924502,40.617134,"<Point><coordinates>-111.924502,40.617134</coordinates></Point>"
,1296,1,no_control,0,-111.915638,40.613722,"<Point><coordinates>-111.915638,40.613722</coordinates></Point>"
,1299,1,no_control,0,-111.908054,40.616174,"<Point><coordinates>-111.908054,40.616174</coordinates></Point>"
,1314,1,no_control,0,-111.944074,40.606326,"<Point><coordinates>-111.944074,40.606326</coordinates></Point>"
,1316,1,no_control,0,-111.943565,40.598006,"<Point><coordinates>-111.943565,40.598006</coordinates></Point>"
,1318,1,no_control,0,-111.943411,40.590891,"<Point><coordinates>-111.943411,40.590891</coordinates></Point>"
,1319,1,no_control,0,-111.934408,40.607297,"<Point><coordinates>-111.934408,40.607297</coordinates></Point>"
,1320,1,no_control,0,-111.934152,40.599993,"<Point><coordinates>-111.934152,40.599993</coordinates></Point>"
,1322,1,no_control,0,-111.934349,40.591006,"<Point><coordinates>-111.934349,40.591006</coordinates></Point>"
,1323,1,no_control,0,-111.921418,40.591609,"<Point><coordinates>-111.921418,40.591609</coordinates></Point>"
,1325,1,no_control,0,-111.907451,40.592344,"<Point><coordinates>-111.907451,40.592344</coordinates></Point>"
,1346,1,no_control,0,-111.943605,40.584092,"<Point><coordinates>-111.943605,40.584092</coordinates></Point>"
,1348,1,no_control,0,-111.943542,40.576985,"<Point><coordinates>-111.943542,40.576985</coordinates></Point>"
,1349,1,no_control,0,-111.934352,40.576870,"<Point><coordinates>-111.934352,40.576870</coordinates></Point>"
,1351,1,no_control,0,-111.943535,40.568001,"<Point><coordinates>-111.943535,40.568001</coordinates></Point>"
,1352,1,no_control,0,-111.933963,40.567876,"<Point><coordinates>-111.933963,40.567876</coordinates></Point>"
,1353,1,no_control,0,-111.934266,40.584068,"<Point><coordinates>-111.934266,40.584068</coordinates></Point>"
,1354,1,no_control,0,-111.923428,40.584054,"<Point><coordinates>-111.923428,40.584054</coordinates></Point>"
,1355,1,no_control,0,-111.924746,40.576632,"<Point><coordinates>-111.924746,40.576632</coordinates></Point>"
,1356,1,no_control,0,-111.924114,40.567177,"<Point><coordinates>-111.924114,40.567177</coordinates></Point>"
