name,node_id,control_type,control_type_name,cycle_length_in_second,x,y,geometry
,4022,5,pretimed_signal,140,-111.830605,40.750790,"<Point><coordinates>-111.830605,40.750790</coordinates></Point>"
,4023,0,unknown_control,0,-111.825157,40.750774,"<Point><coordinates>-111.825157,40.750774</coordinates></Point>"
,4031,5,pretimed_signal,150,-111.833546,40.755094,"<Point><coordinates>-111.833546,40.755094</coordinates></Point>"
,4032,5,pretimed_signal,150,-111.836027,40.757490,"<Point><coordinates>-111.836027,40.757490</coordinates></Point>"
,4136,0,unknown_control,0,-111.830606,40.746124,"<Point><coordinates>-111.830606,40.746124</coordinates></Point>"
,4147,0,unknown_control,0,-111.833908,40.759763,"<Point><coordinates>-111.833908,40.759763</coordinates></Point>"
,5076,0,unknown_control,0,-111.839000,40.758447,"<Point><coordinates>-111.839000,40.758447</coordinates></Point>"
,9715,0,unknown_control,0,-111.835965,40.750712,"<Point><coordinates>-111.835965,40.750712</coordinates></Point>"
,20,0,unknown_control,0,-111.830137,40.757738,"<Point><coordinates>-111.830137,40.757738</coordinates></Point>"
,20020,0,unknown_control,0,-111.834746,40.754411,"<Point><coordinates>-111.834746,40.754411</coordinates></Point>"
,20021,0,unknown_control,0,-111.837063,40.756325,"<Point><coordinates>-111.837063,40.756325</coordinates></Point>"
