link_type,link_type_name,type_code,default_lane_capacity,default_speed_limit,default_number_of_lanes,travel_time_bias_factor
1,Interstate freeway,f,1800.000000,0,0.0000,1.0000
2,Other (non-interstate) freeway,f,1800.000000,0,0.0000,1.0000
3,Wide-median divided-highway principal arterial (not always used),h,1000.000000,0,0.0000,1.0000
4,Other principal arterial,a,900.000000,0,0.0000,1.0000
5,Minor arterial,a,900.000000,0,0.0000,1.0000
6,Collector,a,900.000000,0,0.0000,1.0000
7,Local road,a,900.000000,0,0.0000,1.0000
8,Ramp,r,1000.000000,0,0.0000,1.0000
11,Freeway-to-freeway connector,f,1800.000000,0,0.0000,1.0000
12,Gravel road (not always used),a,900.000000,0,0.0000,1.0000
81,Detroit People Mover link,t,1000.000000,0,0.0000,1.0000
82,Ann Arbor–Detroit commuter-rail link,t,1000.000000,0,0.0000,1.0000
83,WALLY commuter-rail link,t,1000.000000,0,0.0000,1.0000
84,Woodward light-rail link,t,1000.000000,0,0.0000,1.0000
90,External-station connector,c,10000.000000,0,0.0000,1.0000
96,Walk-only link,w,1000.000000,0,0.0000,1.0000
99,Centroid connector,c,10000.000000,0,0.0000,1.0000
