name,link_id,link_key,speed_sensor_id,count_sensor_id,from_node_id,to_node_id,link_type_name,direction,length,number_of_lanes,speed_limit,lane_cap,link_type,jam_density,wave_speed,demand_type_code,mode_code
West Hudson Lane,5611840,5611840_AB,,,10032,10016,Major arterial,1,0.00006,1,60,900,4,190,12,,
West Hudson Lane,5611840,5611840_BA,,,10016,10032,Major arterial,1,0.00006,1,60,900,4,190,12,,
East 5th Street,5619424,5619424_AB,,,10025,10039,Major arterial,1,0.00006,1,60,900,4,190,12,,
East 5th Street,5619424,5619424_BA,,,10039,10025,Major arterial,1,0.00006,1,60,900,4,190,12,,
South Una Avenue,5620644,5620644_AB,,,10040,10041,Major arterial,1,0.00006,1,60,900,4,190,12,,
South Una Avenue,5620644,5620644_BA,,,10041,10040,Major arterial,1,0.00006,1,60,900,4,190,12,,
Packard Drive,5630444,5630444_AB,,,10014,10047,Major arterial,1,0.00006,1,60,900,4,190,12,,
Packard Drive,5630444,5630444_BA,,,10047,10014,Major arterial,1,0.00006,1,60,900,4,190,12,,
South Wilson Street,5639639,5639639_AB,,,10021,10058,Major arterial,1,0.00006,1,60,900,4,190,12,,
South Wilson Street,5639639,5639639_BA,,,10058,10021,Major arterial,1,0.00006,1,60,900,4,190,12,,
East 10th Street,5643860,5643860_AB,,,10065,10029,Major arterial,1,0.00006,1,60,900,4,190,12,,
East 10th Street,5643860,5643860_BA,,,10029,10065,Major arterial,1,0.00006,1,60,900,4,190,12,,
East Tyler Street,5664425,5664425_AB,,,10044,10083,Major arterial,1,0.00006,1,60,900,4,190,12,,
East Tyler Street,5664425,5664425_BA,,,10083,10044,Major arterial,1,0.00006,1,60,900,4,190,12,,
East 7th Street,5670078,5670078_AB,,,10091,10092,Major arterial,1,0.00006,1,60,900,4,190,12,,
East 7th Street,5670078,5670078_BA,,,10092,10091,Major arterial,1,0.00006,1,60,900,4,190,12,,
East Don Carlos Avenue,5677334,5677334_AB,,,10026,10087,Major arterial,1,0.00006,1,60,900,4,190,12,,
East Don Carlos Avenue,5677334,5677334_BA,,,10087,10026,Major arterial,1,0.00006,1,60,900,4,190,12,,
,28740195,28740195_AB,,,10014,10100,Major arterial,1,0.00006,1,60,900,4,190,12,,
,28740195,28740195_BA,,,10100,10014,Major arterial,1,0.00006,1,60,900,4,190,12,,
McAllister Mall,28864708,28864708_AB,,,10104,10105,Major arterial,1,0.00006,1,60,900,4,190,12,,
McAllister Mall,28864708,28864708_BA,,,10105,10104,Major arterial,1,0.00006,1,60,900,4,190,12,,
South College Avenue,28877510,28877510_AB,,,10109,10110,Major arterial,1,0.00006,1,60,900,4,190,12,,
South College Avenue,28877510,28877510_BA,,,10110,10109,Major arterial,1,0.00006,1,60,900,4,190,12,,
East Apache Boulevard,30031286,30031286_AB,,,10114,10113,Major arterial,1,0.00006,1,60,900,4,190,12,,
East Apache Boulevard,30031286,30031286_BA,,,10113,10114,Major arterial,1,0.00006,1,60,900,4,190,12,,
South Terrace Road,30031490,30031490_AB,,,10113,10050,Major arterial,1,0.00006,1,60,900,4,190,12,,
South Terrace Road,30031490,30031490_BA,,,10050,10113,Major arterial,1,0.00006,1,60,900,4,190,12,,
,34610164,34610164_AB,,,10127,10061,Major arterial,1,0.00006,1,60,900,4,190,12,,
,34610164,34610164_BA,,,10061,10127,Major arterial,1,0.00006,1,60,900,4,190,12,,
,72747531,72747531_AB,,,10032,10129,Major arterial,1,0.00006,1,60,900,4,190,12,,
,72747531,72747531_BA,,,10129,10032,Major arterial,1,0.00006,1,60,900,4,190,12,,
,72748011,72748011_AB,,,10128,10011,Major arterial,1,0.00006,1,60,900,4,190,12,,
,72748011,72748011_BA,,,10011,10128,Major arterial,1,0.00006,1,60,900,4,190,12,,
,72748061,72748061_AB,,,10023,10024,Major arterial,1,0.00006,1,60,900,4,190,12,,
,72748061,72748061_BA,,,10024,10023,Major arterial,1,0.00006,1,60,900,4,190,12,,
,72748105,72748105_AB,,,10081,10103,Major arterial,1,0.00006,1,60,900,4,190,12,,
,72748105,72748105_BA,,,10103,10081,Major arterial,1,0.00006,1,60,900,4,190,12,,
Light Rail,136876985,136876985_AB,,,10133,10131,Major arterial,1,0.00006,1,60,900,4,190,12,,
Light Rail,136876985,136876985_BA,,,10131,10133,Major arterial,1,0.00006,1,60,900,4,190,12,,
,157628532,157628532_AB,,,10140,10133,Major arterial,1,0.00006,1,60,900,4,190,12,,
,157628532,157628532_BA,,,10133,10140,Major arterial,1,0.00006,1,60,900,4,190,12,,
,157628543,157628543_AB,,,10140,10122,Major arterial,1,0.00006,1,60,900,4,190,12,,
,157628543,157628543_BA,,,10122,10140,Major arterial,1,0.00006,1,60,900,4,190,12,,
,173206395,173206395_AB,,,10117,10144,Major arterial,1,0.00006,1,60,900,4,190,12,,
,173206395,173206395_BA,,,10144,10117,Major arterial,1,0.00006,1,60,900,4,190,12,,
,173206452,173206452_AB,,,10144,10147,Major arterial,1,0.00006,1,60,900,4,190,12,,
,173206452,173206452_BA,,,10147,10144,Major arterial,1,0.00006,1,60,900,4,190,12,,
,173219333,173219333_AB,,,10154,10155,Major arterial,1,0.00006,1,60,900,4,190,12,,
,173219333,173219333_BA,,,10155,10154,Major arterial,1,0.00006,1,60,900,4,190,12,,
Southern Pacific Railroad,220970275,220970275_AB,,,10157,10136,Major arterial,1,0.00006,1,60,900,4,190,12,,
Southern Pacific Railroad,220970275,220970275_BA,,,10136,10157,Major arterial,1,0.00006,1,60,900,4,190,12,,
,230622679,230622679_AB,,,10161,10106,Major arterial,1,0.00006,1,60,900,4,190,12,,
,230622679,230622679_BA,,,10106,10161,Major arterial,1,0.00006,1,60,900,4,190,12,,
,230622697,230622697_AB,,,10106,10035,Major arterial,1,0.00006,1,60,900,4,190,12,,
,230622697,230622697_BA,,,10035,10106,Major arterial,1,0.00006,1,60,900,4,190,12,,
,230622698,230622698_AB,,,10106,10162,Major arterial,1,0.00006,1,60,900,4,190,12,,
,230622698,230622698_BA,,,10162,10106,Major arterial,1,0.00006,1,60,900,4,190,12,,
,253359921,253359921_AB,,,10163,10164,Major arterial,1,0.00006,1,60,900,4,190,12,,
,253359921,253359921_BA,,,10164,10163,Major arterial,1,0.00006,1,60,900,4,190,12,,
South Mill Avenue,256917836,256917836_AB,,,10036,10025,Major arterial,1,0.00006,1,60,900,4,190,12,,
South Mill Avenue,256917836,256917836_BA,,,10025,10036,Major arterial,1,0.00006,1,60,900,4,190,12,,
South Mill Avenue,256917837,256917837_AB,,,10028,10091,Major arterial,1,0.00006,1,60,900,4,190,12,,
South Mill Avenue,256917837,256917837_BA,,,10091,10028,Major arterial,1,0.00006,1,60,900,4,190,12,,
,257051829,257051829_AB,,,10168,10167,Major arterial,1,0.00006,1,60,900,4,190,12,,
,257051829,257051829_BA,,,10167,10168,Major arterial,1,0.00006,1,60,900,4,190,12,,
,265805485,265805485_AB,,,10172,10173,Major arterial,1,0.00006,1,60,900,4,190,12,,
,265805485,265805485_BA,,,10173,10172,Major arterial,1,0.00006,1,60,900,4,190,12,,
,294237677,294237677_AB,,,10050,10015,Major arterial,1,0.00006,1,60,900,4,190,12,,
,294237677,294237677_BA,,,10015,10050,Major arterial,1,0.00006,1,60,900,4,190,12,,
West 3rd Street,305490066,305490066_AB,,,10036,10189,Major arterial,1,0.00006,1,60,900,4,190,12,,
West 3rd Street,305490066,305490066_BA,,,10189,10036,Major arterial,1,0.00006,1,60,900,4,190,12,,
,339640419,339640419_AB,,,10024,10060,Major arterial,1,0.00006,1,60,900,4,190,12,,
,339640419,339640419_BA,,,10060,10024,Major arterial,1,0.00006,1,60,900,4,190,12,,
,339640425,339640425_AB,,,10024,10109,Major arterial,1,0.00006,1,60,900,4,190,12,,
,339640425,339640425_BA,,,10109,10024,Major arterial,1,0.00006,1,60,900,4,190,12,,
,339640860,339640860_AB,,,10107,10196,Major arterial,1,0.00006,1,60,900,4,190,12,,
,339640860,339640860_BA,,,10196,10107,Major arterial,1,0.00006,1,60,900,4,190,12,,
,344754732,344754732_AB,,,10148,10149,Major arterial,1,0.00006,1,60,900,4,190,12,,
,344754732,344754732_BA,,,10149,10148,Major arterial,1,0.00006,1,60,900,4,190,12,,
South Ash Avenue,352316659,352316659_AB,,,10128,10208,Major arterial,1,0.00006,1,60,900,4,190,12,,
South Ash Avenue,352316659,352316659_BA,,,10208,10128,Major arterial,1,0.00006,1,60,900,4,190,12,,
,355797370,355797370_AB,,,10065,10211,Major arterial,1,0.00006,1,60,900,4,190,12,,
,355797370,355797370_BA,,,10211,10065,Major arterial,1,0.00006,1,60,900,4,190,12,,
South Myrtle Avenue,359618840,359618840_AB,,,10168,10036,Major arterial,1,0.00006,1,60,900,4,190,12,,
South Myrtle Avenue,359618840,359618840_BA,,,10036,10168,Major arterial,1,0.00006,1,60,900,4,190,12,,
Southern Pacific Railroad,361579120,361579120_AB,,,10102,10212,Major arterial,1,0.00006,1,60,900,4,190,12,,
Southern Pacific Railroad,361579120,361579120_BA,,,10212,10102,Major arterial,1,0.00006,1,60,900,4,190,12,,
,366375590,366375590_AB,,,10123,10163,Major arterial,1,0.00006,1,60,900,4,190,12,,
,366375590,366375590_BA,,,10163,10123,Major arterial,1,0.00006,1,60,900,4,190,12,,
,372125476,372125476_AB,,,10069,10217,Major arterial,1,0.00006,1,60,900,4,190,12,,
,372125476,372125476_BA,,,10217,10069,Major arterial,1,0.00006,1,60,900,4,190,12,,
,386276939,386276939_AB,,,10124,10199,Major arterial,1,0.00006,1,60,900,4,190,12,,
,386276939,386276939_BA,,,10199,10124,Major arterial,1,0.00006,1,60,900,4,190,12,,
,395490723,395490723_AB,,,10032,10101,Major arterial,1,0.00006,1,60,900,4,190,12,,
,395490723,395490723_BA,,,10101,10032,Major arterial,1,0.00006,1,60,900,4,190,12,,
BUS ONLY,402537656,402537656_AB,,,10076,10039,Major arterial,1,0.00006,1,60,900,4,190,12,,
BUS ONLY,402537656,402537656_BA,,,10039,10076,Major arterial,1,0.00006,1,60,900,4,190,12,,
East Apache Boulevard,436790490,436790490_AB,,,10193,10114,Major arterial,1,0.00006,1,60,900,4,190,12,,
East Apache Boulevard,436790490,436790490_BA,,,10114,10193,Major arterial,1,0.00006,1,60,900,4,190,12,,
East Apache Boulevard,436790494,436790494_AB,,,10232,10193,Major arterial,1,0.00006,1,60,900,4,190,12,,
East Apache Boulevard,436790494,436790494_BA,,,10193,10232,Major arterial,1,0.00006,1,60,900,4,190,12,,
East Apache Boulevard,436790495,436790495_AB,,,10114,10232,Major arterial,1,0.00006,1,60,900,4,190,12,,
East Apache Boulevard,436790495,436790495_BA,,,10232,10114,Major arterial,1,0.00006,1,60,900,4,190,12,,
South Mill Avenue,436791125,436791125_AB,,,10029,10023,Major arterial,1,0.00006,1,60,900,4,190,12,,
South Mill Avenue,436791125,436791125_BA,,,10023,10029,Major arterial,1,0.00006,1,60,900,4,190,12,,
South Mill Avenue,436791493,436791493_AB,,,10025,10167,Major arterial,1,0.00006,1,60,900,4,190,12,,
South Mill Avenue,436791493,436791493_BA,,,10167,10025,Major arterial,1,0.00006,1,60,900,4,190,12,,
East University Drive,436794675,436794675_AB,,,10194,10044,Major arterial,1,0.00006,1,60,900,4,190,12,,
East University Drive,436794675,436794675_BA,,,10044,10194,Major arterial,1,0.00006,1,60,900,4,190,12,,
East University Drive,436794678,436794678_AB,,,10015,10170,Major arterial,1,0.00006,1,60,900,4,190,12,,
East University Drive,436794678,436794678_BA,,,10170,10015,Major arterial,1,0.00006,1,60,900,4,190,12,,
East University Drive,436794681,436794681_AB,,,10044,10015,Major arterial,1,0.00006,1,60,900,4,190,12,,
East University Drive,436794681,436794681_BA,,,10015,10044,Major arterial,1,0.00006,1,60,900,4,190,12,,
West University Drive,436794685,436794685_AB,,,10235,10056,Major arterial,1,0.00006,1,60,900,4,190,12,,
West University Drive,436794685,436794685_BA,,,10056,10235,Major arterial,1,0.00006,1,60,900,4,190,12,,
West University Drive,436794687,436794687_AB,,,10157,10235,Major arterial,1,0.00006,1,60,900,4,190,12,,
West University Drive,436794687,436794687_BA,,,10235,10157,Major arterial,1,0.00006,1,60,900,4,190,12,,
West University Drive,436794710,436794710_AB,,,10017,10157,Major arterial,1,0.00006,1,60,900,4,190,12,,
West University Drive,436794710,436794710_BA,,,10157,10017,Major arterial,1,0.00006,1,60,900,4,190,12,,
East Rio Salado Parkway,436795889,436795889_AB,,,10145,10152,Major arterial,1,0.00006,1,60,900,4,190,12,,
East Rio Salado Parkway,436795889,436795889_BA,,,10152,10145,Major arterial,1,0.00006,1,60,900,4,190,12,,
East Rio Salado Parkway,436795894,436795894_AB,,,10237,10047,Major arterial,1,0.00006,1,60,900,4,190,12,,
East Rio Salado Parkway,436795894,436795894_BA,,,10047,10237,Major arterial,1,0.00006,1,60,900,4,190,12,,
,478385807,478385807_AB,,,10160,10106,Major arterial,1,0.00006,1,60,900,4,190,12,,
,478385807,478385807_BA,,,10106,10160,Major arterial,1,0.00006,1,60,900,4,190,12,,
East Apache Boulevard,512811687,512811687_AB,,,10045,10232,Major arterial,1,0.00006,1,60,900,4,190,12,,
East Apache Boulevard,512811687,512811687_BA,,,10232,10045,Major arterial,1,0.00006,1,60,900,4,190,12,,
,521234623,521234623_AB,,,10246,10114,Major arterial,1,0.00006,1,60,900,4,190,12,,
,521234623,521234623_BA,,,10114,10246,Major arterial,1,0.00006,1,60,900,4,190,12,,
West University Drive,521443930,521443930_AB,,,10056,10247,Major arterial,1,0.00006,1,60,900,4,190,12,,
West University Drive,521443930,521443930_BA,,,10247,10056,Major arterial,1,0.00006,1,60,900,4,190,12,,
