node_id,up_node_id,dest_node_id,name,turn_type,turn_direction,prohibited_flag,
10014,10047,10100, ,Through,EBT,0,
10014,10100,10047, ,Through,EBT,0,
10015,10050,10170, ,Through,EBT,0,
10015,10050,10044, ,Through,EBT,0,
10015,10170,10050, ,Through,EBT,0,
10015,10170,10044, ,Through,EBT,0,
10015,10044,10050, ,Through,EBT,0,
10015,10044,10170, ,Through,EBT,0,
10023,10024,10029, ,Through,EBT,0,
10023,10029,10024, ,Through,EBT,0,
10024,10023,10060, ,Through,EBT,0,
10024,10023,10109, ,Through,EBT,0,
10024,10060,10023, ,Through,EBT,0,
10024,10060,10109, ,Through,EBT,0,
10024,10109,10023, ,Through,EBT,0,
10024,10109,10060, ,Through,EBT,0,
10025,10039,10036, ,Through,EBT,0,
10025,10039,10167, ,Through,EBT,0,
10025,10036,10039, ,Through,EBT,0,
10025,10036,10167, ,Through,EBT,0,
10025,10167,10039, ,Through,EBT,0,
10025,10167,10036, ,Through,EBT,0,
10029,10065,10023, ,Through,EBT,0,
10029,10023,10065, ,Through,EBT,0,
10032,10016,10129, ,Through,EBT,0,
10032,10016,10101, ,Through,EBT,0,
10032,10129,10016, ,Through,EBT,0,
10032,10129,10101, ,Through,EBT,0,
10032,10101,10016, ,Through,EBT,0,
10032,10101,10129, ,Through,EBT,0,
10036,10025,10189, ,Through,EBT,0,
10036,10025,10168, ,Through,EBT,0,
10036,10189,10025, ,Through,EBT,0,
10036,10189,10168, ,Through,EBT,0,
10036,10168,10025, ,Through,EBT,0,
10036,10168,10189, ,Through,EBT,0,
10039,10025,10076, ,Through,EBT,0,
10039,10076,10025, ,Through,EBT,0,
10044,10083,10194, ,Through,EBT,0,
10044,10083,10015, ,Through,EBT,0,
10044,10194,10083, ,Through,EBT,0,
10044,10194,10015, ,Through,EBT,0,
10044,10015,10083, ,Through,EBT,0,
10044,10015,10194, ,Through,EBT,0,
10047,10014,10237, ,Through,EBT,0,
10047,10237,10014, ,Through,EBT,0,
10050,10113,10015, ,Through,EBT,0,
10050,10015,10113, ,Through,EBT,0,
10056,10235,10247, ,Through,EBT,0,
10056,10247,10235, ,Through,EBT,0,
10065,10029,10211, ,Through,EBT,0,
10065,10211,10029, ,Through,EBT,0,
10091,10092,10028, ,Through,EBT,0,
10091,10028,10092, ,Through,EBT,0,
10106,10161,10035, ,Through,EBT,0,
10106,10161,10162, ,Through,EBT,0,
10106,10161,10160, ,Through,EBT,0,
10106,10035,10161, ,Through,EBT,0,
10106,10035,10162, ,Through,EBT,0,
10106,10035,10160, ,Through,EBT,0,
10106,10162,10161, ,Through,EBT,0,
10106,10162,10035, ,Through,EBT,0,
10106,10162,10160, ,Through,EBT,0,
10106,10160,10161, ,Through,EBT,0,
10106,10160,10035, ,Through,EBT,0,
10106,10160,10162, ,Through,EBT,0,
10109,10110,10024, ,Through,EBT,0,
10109,10024,10110, ,Through,EBT,0,
10113,10114,10050, ,Through,EBT,0,
10113,10050,10114, ,Through,EBT,0,
10114,10113,10193, ,Through,EBT,0,
10114,10113,10232, ,Through,EBT,0,
10114,10113,10246, ,Through,EBT,0,
10114,10193,10113, ,Through,EBT,0,
10114,10193,10232, ,Through,EBT,0,
10114,10193,10246, ,Through,EBT,0,
10114,10232,10113, ,Through,EBT,0,
10114,10232,10193, ,Through,EBT,0,
10114,10232,10246, ,Through,EBT,0,
10114,10246,10113, ,Through,EBT,0,
10114,10246,10193, ,Through,EBT,0,
10114,10246,10232, ,Through,EBT,0,
10128,10011,10208, ,Through,EBT,0,
10128,10208,10011, ,Through,EBT,0,
10133,10131,10140, ,Through,EBT,0,
10133,10140,10131, ,Through,EBT,0,
10140,10133,10122, ,Through,EBT,0,
10140,10122,10133, ,Through,EBT,0,
10144,10117,10147, ,Through,EBT,0,
10144,10147,10117, ,Through,EBT,0,
10157,10136,10235, ,Through,EBT,0,
10157,10136,10017, ,Through,EBT,0,
10157,10235,10136, ,Through,EBT,0,
10157,10235,10017, ,Through,EBT,0,
10157,10017,10136, ,Through,EBT,0,
10157,10017,10235, ,Through,EBT,0,
10163,10164,10123, ,Through,EBT,0,
10163,10123,10164, ,Through,EBT,0,
10167,10168,10025, ,Through,EBT,0,
10167,10025,10168, ,Through,EBT,0,
10168,10167,10036, ,Through,EBT,0,
10168,10036,10167, ,Through,EBT,0,
10193,10114,10232, ,Through,EBT,0,
10193,10232,10114, ,Through,EBT,0,
10232,10193,10114, ,Through,EBT,0,
10232,10193,10045, ,Through,EBT,0,
10232,10114,10193, ,Through,EBT,0,
10232,10114,10045, ,Through,EBT,0,
10232,10045,10193, ,Through,EBT,0,
10232,10045,10114, ,Through,EBT,0,
10235,10056,10157, ,Through,EBT,0,
10235,10157,10056, ,Through,EBT,0,
