name,node_id,zone_id,control_type,control_type_name,cycle_length_in_second,x,y,geometry
,10000,0,0,unknown_control,0,-0.001119,0.000334,"<Point><coordinates>-0.001119,0.000334</coordinates></Point>"
,10001,0,0,unknown_control,0,-0.001119,0.000334,"<Point><coordinates>-0.001119,0.000334</coordinates></Point>"
,10002,0,0,unknown_control,0,-0.001119,0.000334,"<Point><coordinates>-0.001119,0.000334</coordinates></Point>"
,10003,0,0,unknown_control,0,-0.001119,0.000334,"<Point><coordinates>-0.001119,0.000334</coordinates></Point>"
,10004,0,0,unknown_control,0,-0.001119,0.000334,"<Point><coordinates>-0.001119,0.000334</coordinates></Point>"
,10005,0,0,unknown_control,0,-0.001119,0.000334,"<Point><coordinates>-0.001119,0.000334</coordinates></Point>"
,10006,0,0,unknown_control,0,-0.001119,0.000334,"<Point><coordinates>-0.001119,0.000334</coordinates></Point>"
,10007,0,0,unknown_control,0,-0.001119,0.000334,"<Point><coordinates>-0.001119,0.000334</coordinates></Point>"
,10008,0,0,unknown_control,0,-0.001119,0.000334,"<Point><coordinates>-0.001119,0.000334</coordinates></Point>"
,10009,0,0,unknown_control,0,-0.001119,0.000334,"<Point><coordinates>-0.001119,0.000334</coordinates></Point>"
,10010,0,0,unknown_control,0,-0.001119,0.000334,"<Point><coordinates>-0.001119,0.000334</coordinates></Point>"
,10011,0,0,unknown_control,0,-0.001119,0.000334,"<Point><coordinates>-0.001119,0.000334</coordinates></Point>"
,10012,0,0,unknown_control,0,-0.001119,0.000334,"<Point><coordinates>-0.001119,0.000334</coordinates></Point>"
,10013,0,0,unknown_control,0,-0.001119,0.000334,"<Point><coordinates>-0.001119,0.000334</coordinates></Point>"
,10014,0,0,unknown_control,0,-0.001119,0.000334,"<Point><coordinates>-0.001119,0.000334</coordinates></Point>"
,10015,0,0,unknown_control,0,-0.001119,0.000334,"<Point><coordinates>-0.001119,0.000334</coordinates></Point>"
,10016,0,0,unknown_control,0,-0.001119,0.000334,"<Point><coordinates>-0.001119,0.000334</coordinates></Point>"
,10017,0,0,unknown_control,0,-0.001119,0.000334,"<Point><coordinates>-0.001119,0.000334</coordinates></Point>"
,10018,0,0,unknown_control,0,-0.001119,0.000334,"<Point><coordinates>-0.001119,0.000334</coordinates></Point>"
,10019,0,0,unknown_control,0,-0.001119,0.000334,"<Point><coordinates>-0.001119,0.000334</coordinates></Point>"
,10020,0,0,unknown_control,0,-0.001119,0.000334,"<Point><coordinates>-0.001119,0.000334</coordinates></Point>"
,10021,0,0,unknown_control,0,-0.001119,0.000334,"<Point><coordinates>-0.001119,0.000334</coordinates></Point>"
,10022,0,0,unknown_control,0,-0.001119,0.000334,"<Point><coordinates>-0.001119,0.000334</coordinates></Point>"
,10023,0,0,unknown_control,0,-0.001119,0.000334,"<Point><coordinates>-0.001119,0.000334</coordinates></Point>"
,10024,0,0,unknown_control,0,-0.001119,0.000334,"<Point><coordinates>-0.001119,0.000334</coordinates></Point>"
,10025,0,0,unknown_control,0,-0.001119,0.000334,"<Point><coordinates>-0.001119,0.000334</coordinates></Point>"
,10026,0,0,unknown_control,0,-0.001119,0.000334,"<Point><coordinates>-0.001119,0.000334</coordinates></Point>"
,10027,0,0,unknown_control,0,-0.001119,0.000334,"<Point><coordinates>-0.001119,0.000334</coordinates></Point>"
,10028,0,0,unknown_control,0,-0.001119,0.000334,"<Point><coordinates>-0.001119,0.000334</coordinates></Point>"
,10029,0,0,unknown_control,0,-0.001119,0.000334,"<Point><coordinates>-0.001119,0.000334</coordinates></Point>"
,10030,0,0,unknown_control,0,-0.001119,0.000334,"<Point><coordinates>-0.001119,0.000334</coordinates></Point>"
,10031,0,0,unknown_control,0,-0.001119,0.000334,"<Point><coordinates>-0.001119,0.000334</coordinates></Point>"
,10032,0,0,unknown_control,0,-0.001119,0.000334,"<Point><coordinates>-0.001119,0.000334</coordinates></Point>"
,10033,0,0,unknown_control,0,-0.001119,0.000334,"<Point><coordinates>-0.001119,0.000334</coordinates></Point>"
,10034,0,0,unknown_control,0,-0.001119,0.000334,"<Point><coordinates>-0.001119,0.000334</coordinates></Point>"
,10035,0,0,unknown_control,0,-0.001119,0.000334,"<Point><coordinates>-0.001119,0.000334</coordinates></Point>"
,10036,0,0,unknown_control,0,-0.001119,0.000334,"<Point><coordinates>-0.001119,0.000334</coordinates></Point>"
,10037,0,0,unknown_control,0,-0.001119,0.000334,"<Point><coordinates>-0.001119,0.000334</coordinates></Point>"
,10038,0,0,unknown_control,0,-0.001119,0.000334,"<Point><coordinates>-0.001119,0.000334</coordinates></Point>"
,10039,0,0,unknown_control,0,-0.001119,0.000334,"<Point><coordinates>-0.001119,0.000334</coordinates></Point>"
,10040,0,0,unknown_control,0,-0.001119,0.000334,"<Point><coordinates>-0.001119,0.000334</coordinates></Point>"
,10041,0,0,unknown_control,0,-0.001119,0.000334,"<Point><coordinates>-0.001119,0.000334</coordinates></Point>"
,10042,0,0,unknown_control,0,-0.001119,0.000334,"<Point><coordinates>-0.001119,0.000334</coordinates></Point>"
,10043,0,0,unknown_control,0,-0.001119,0.000334,"<Point><coordinates>-0.001119,0.000334</coordinates></Point>"
,10044,0,0,unknown_control,0,-0.001119,0.000334,"<Point><coordinates>-0.001119,0.000334</coordinates></Point>"
,10045,0,0,unknown_control,0,-0.001119,0.000334,"<Point><coordinates>-0.001119,0.000334</coordinates></Point>"
,10046,0,0,unknown_control,0,-0.001119,0.000334,"<Point><coordinates>-0.001119,0.000334</coordinates></Point>"
,10047,0,0,unknown_control,0,-0.001119,0.000334,"<Point><coordinates>-0.001119,0.000334</coordinates></Point>"
,10048,0,0,unknown_control,0,-0.001119,0.000334,"<Point><coordinates>-0.001119,0.000334</coordinates></Point>"
,10049,0,0,unknown_control,0,-0.001119,0.000334,"<Point><coordinates>-0.001119,0.000334</coordinates></Point>"
,10050,0,0,unknown_control,0,-0.001119,0.000334,"<Point><coordinates>-0.001119,0.000334</coordinates></Point>"
,10051,0,0,unknown_control,0,-0.001119,0.000334,"<Point><coordinates>-0.001119,0.000334</coordinates></Point>"
,10052,0,0,unknown_control,0,-0.001119,0.000334,"<Point><coordinates>-0.001119,0.000334</coordinates></Point>"
,10053,0,0,unknown_control,0,-0.001119,0.000334,"<Point><coordinates>-0.001119,0.000334</coordinates></Point>"
,10054,0,0,unknown_control,0,-0.001119,0.000334,"<Point><coordinates>-0.001119,0.000334</coordinates></Point>"
,10055,0,0,unknown_control,0,-0.001119,0.000334,"<Point><coordinates>-0.001119,0.000334</coordinates></Point>"
,10056,0,0,unknown_control,0,-0.001119,0.000334,"<Point><coordinates>-0.001119,0.000334</coordinates></Point>"
,10057,0,0,unknown_control,0,-0.001119,0.000334,"<Point><coordinates>-0.001119,0.000334</coordinates></Point>"
,10058,0,0,unknown_control,0,-0.001119,0.000334,"<Point><coordinates>-0.001119,0.000334</coordinates></Point>"
,10059,0,0,unknown_control,0,-0.001119,0.000334,"<Point><coordinates>-0.001119,0.000334</coordinates></Point>"
,10060,0,0,unknown_control,0,-0.001119,0.000334,"<Point><coordinates>-0.001119,0.000334</coordinates></Point>"
,10061,0,0,unknown_control,0,-0.001119,0.000334,"<Point><coordinates>-0.001119,0.000334</coordinates></Point>"
,10062,0,0,unknown_control,0,-0.001120,0.000334,"<Point><coordinates>-0.001120,0.000334</coordinates></Point>"
,10063,0,0,unknown_control,0,-0.001119,0.000334,"<Point><coordinates>-0.001119,0.000334</coordinates></Point>"
,10064,0,0,unknown_control,0,-0.001119,0.000334,"<Point><coordinates>-0.001119,0.000334</coordinates></Point>"
,10065,0,0,unknown_control,0,-0.001119,0.000334,"<Point><coordinates>-0.001119,0.000334</coordinates></Point>"
,10066,0,0,unknown_control,0,-0.001119,0.000334,"<Point><coordinates>-0.001119,0.000334</coordinates></Point>"
,10067,0,0,unknown_control,0,-0.001119,0.000334,"<Point><coordinates>-0.001119,0.000334</coordinates></Point>"
,10068,0,0,unknown_control,0,-0.001119,0.000334,"<Point><coordinates>-0.001119,0.000334</coordinates></Point>"
,10069,0,0,unknown_control,0,-0.001119,0.000334,"<Point><coordinates>-0.001119,0.000334</coordinates></Point>"
,10070,0,0,unknown_control,0,-0.001119,0.000334,"<Point><coordinates>-0.001119,0.000334</coordinates></Point>"
,10071,0,0,unknown_control,0,-0.001119,0.000334,"<Point><coordinates>-0.001119,0.000334</coordinates></Point>"
,10072,0,0,unknown_control,0,-0.001119,0.000334,"<Point><coordinates>-0.001119,0.000334</coordinates></Point>"
,10073,0,0,unknown_control,0,-0.001119,0.000334,"<Point><coordinates>-0.001119,0.000334</coordinates></Point>"
,10074,0,0,unknown_control,0,-0.001119,0.000334,"<Point><coordinates>-0.001119,0.000334</coordinates></Point>"
,10075,0,0,unknown_control,0,-0.001119,0.000334,"<Point><coordinates>-0.001119,0.000334</coordinates></Point>"
,10076,0,0,unknown_control,0,-0.001119,0.000334,"<Point><coordinates>-0.001119,0.000334</coordinates></Point>"
,10077,0,0,unknown_control,0,-0.001119,0.000334,"<Point><coordinates>-0.001119,0.000334</coordinates></Point>"
,10078,0,0,unknown_control,0,-0.001120,0.000334,"<Point><coordinates>-0.001120,0.000334</coordinates></Point>"
,10079,0,0,unknown_control,0,-0.001119,0.000334,"<Point><coordinates>-0.001119,0.000334</coordinates></Point>"
,10080,0,0,unknown_control,0,-0.001119,0.000334,"<Point><coordinates>-0.001119,0.000334</coordinates></Point>"
,10081,0,0,unknown_control,0,-0.001119,0.000334,"<Point><coordinates>-0.001119,0.000334</coordinates></Point>"
,10082,0,0,unknown_control,0,-0.001119,0.000334,"<Point><coordinates>-0.001119,0.000334</coordinates></Point>"
,10083,0,0,unknown_control,0,-0.001119,0.000334,"<Point><coordinates>-0.001119,0.000334</coordinates></Point>"
,10084,0,0,unknown_control,0,-0.001119,0.000334,"<Point><coordinates>-0.001119,0.000334</coordinates></Point>"
,10085,0,0,unknown_control,0,-0.001119,0.000334,"<Point><coordinates>-0.001119,0.000334</coordinates></Point>"
,10086,0,0,unknown_control,0,-0.001119,0.000334,"<Point><coordinates>-0.001119,0.000334</coordinates></Point>"
,10087,0,0,unknown_control,0,-0.001119,0.000334,"<Point><coordinates>-0.001119,0.000334</coordinates></Point>"
,10088,0,0,unknown_control,0,-0.001119,0.000334,"<Point><coordinates>-0.001119,0.000334</coordinates></Point>"
,10089,0,0,unknown_control,0,-0.001119,0.000334,"<Point><coordinates>-0.001119,0.000334</coordinates></Point>"
,10090,0,0,unknown_control,0,-0.001119,0.000334,"<Point><coordinates>-0.001119,0.000334</coordinates></Point>"
,10091,0,0,unknown_control,0,-0.001119,0.000334,"<Point><coordinates>-0.001119,0.000334</coordinates></Point>"
,10092,0,0,unknown_control,0,-0.001119,0.000334,"<Point><coordinates>-0.001119,0.000334</coordinates></Point>"
,10093,0,0,unknown_control,0,-0.001119,0.000334,"<Point><coordinates>-0.001119,0.000334</coordinates></Point>"
,10094,0,0,unknown_control,0,-0.001120,0.000334,"<Point><coordinates>-0.001120,0.000334</coordinates></Point>"
,10095,0,0,unknown_control,0,-0.001119,0.000334,"<Point><coordinates>-0.001119,0.000334</coordinates></Point>"
,10096,0,0,unknown_control,0,-0.001119,0.000334,"<Point><coordinates>-0.001119,0.000334</coordinates></Point>"
,10097,0,0,unknown_control,0,-0.001119,0.000334,"<Point><coordinates>-0.001119,0.000334</coordinates></Point>"
,10098,0,0,unknown_control,0,-0.001119,0.000334,"<Point><coordinates>-0.001119,0.000334</coordinates></Point>"
,10099,0,0,unknown_control,0,-0.001119,0.000334,"<Point><coordinates>-0.001119,0.000334</coordinates></Point>"
,10100,0,0,unknown_control,0,-0.001119,0.000334,"<Point><coordinates>-0.001119,0.000334</coordinates></Point>"
,10101,0,0,unknown_control,0,-0.001119,0.000334,"<Point><coordinates>-0.001119,0.000334</coordinates></Point>"
,10102,0,0,unknown_control,0,-0.001119,0.000334,"<Point><coordinates>-0.001119,0.000334</coordinates></Point>"
,10103,0,0,unknown_control,0,-0.001119,0.000334,"<Point><coordinates>-0.001119,0.000334</coordinates></Point>"
,10104,0,0,unknown_control,0,-0.001119,0.000334,"<Point><coordinates>-0.001119,0.000334</coordinates></Point>"
,10105,0,0,unknown_control,0,-0.001119,0.000334,"<Point><coordinates>-0.001119,0.000334</coordinates></Point>"
,10106,0,0,unknown_control,0,-0.001119,0.000334,"<Point><coordinates>-0.001119,0.000334</coordinates></Point>"
,10107,0,0,unknown_control,0,-0.001119,0.000334,"<Point><coordinates>-0.001119,0.000334</coordinates></Point>"
,10108,0,0,unknown_control,0,-0.001119,0.000334,"<Point><coordinates>-0.001119,0.000334</coordinates></Point>"
,10109,0,0,unknown_control,0,-0.001119,0.000334,"<Point><coordinates>-0.001119,0.000334</coordinates></Point>"
,10110,0,0,unknown_control,0,-0.001119,0.000334,"<Point><coordinates>-0.001119,0.000334</coordinates></Point>"
,10111,0,0,unknown_control,0,-0.001119,0.000334,"<Point><coordinates>-0.001119,0.000334</coordinates></Point>"
,10112,0,0,unknown_control,0,-0.001119,0.000334,"<Point><coordinates>-0.001119,0.000334</coordinates></Point>"
,10113,0,0,unknown_control,0,-0.001119,0.000334,"<Point><coordinates>-0.001119,0.000334</coordinates></Point>"
,10114,0,0,unknown_control,0,-0.001119,0.000334,"<Point><coordinates>-0.001119,0.000334</coordinates></Point>"
,10115,0,0,unknown_control,0,-0.001119,0.000334,"<Point><coordinates>-0.001119,0.000334</coordinates></Point>"
,10116,0,0,unknown_control,0,-0.001119,0.000334,"<Point><coordinates>-0.001119,0.000334</coordinates></Point>"
,10117,0,0,unknown_control,0,-0.001119,0.000334,"<Point><coordinates>-0.001119,0.000334</coordinates></Point>"
,10118,0,0,unknown_control,0,-0.001119,0.000334,"<Point><coordinates>-0.001119,0.000334</coordinates></Point>"
,10119,0,0,unknown_control,0,-0.001119,0.000334,"<Point><coordinates>-0.001119,0.000334</coordinates></Point>"
,10120,0,0,unknown_control,0,-0.001119,0.000334,"<Point><coordinates>-0.001119,0.000334</coordinates></Point>"
,10121,0,0,unknown_control,0,-0.001119,0.000334,"<Point><coordinates>-0.001119,0.000334</coordinates></Point>"
,10122,0,0,unknown_control,0,-0.001119,0.000334,"<Point><coordinates>-0.001119,0.000334</coordinates></Point>"
,10123,0,0,unknown_control,0,-0.001119,0.000334,"<Point><coordinates>-0.001119,0.000334</coordinates></Point>"
,10124,0,0,unknown_control,0,-0.001119,0.000334,"<Point><coordinates>-0.001119,0.000334</coordinates></Point>"
,10125,0,0,unknown_control,0,-0.001119,0.000334,"<Point><coordinates>-0.001119,0.000334</coordinates></Point>"
,10126,0,0,unknown_control,0,-0.001119,0.000334,"<Point><coordinates>-0.001119,0.000334</coordinates></Point>"
,10127,0,0,unknown_control,0,-0.001120,0.000334,"<Point><coordinates>-0.001120,0.000334</coordinates></Point>"
,10128,0,0,unknown_control,0,-0.001119,0.000334,"<Point><coordinates>-0.001119,0.000334</coordinates></Point>"
,10129,0,0,unknown_control,0,-0.001119,0.000334,"<Point><coordinates>-0.001119,0.000334</coordinates></Point>"
,10130,0,0,unknown_control,0,-0.001119,0.000334,"<Point><coordinates>-0.001119,0.000334</coordinates></Point>"
,10131,0,0,unknown_control,0,-0.001119,0.000334,"<Point><coordinates>-0.001119,0.000334</coordinates></Point>"
,10132,0,0,unknown_control,0,-0.001119,0.000334,"<Point><coordinates>-0.001119,0.000334</coordinates></Point>"
,10133,0,0,unknown_control,0,-0.001119,0.000334,"<Point><coordinates>-0.001119,0.000334</coordinates></Point>"
,10134,0,0,unknown_control,0,-0.001119,0.000334,"<Point><coordinates>-0.001119,0.000334</coordinates></Point>"
,10135,0,0,unknown_control,0,-0.001119,0.000334,"<Point><coordinates>-0.001119,0.000334</coordinates></Point>"
,10136,0,0,unknown_control,0,-0.001119,0.000334,"<Point><coordinates>-0.001119,0.000334</coordinates></Point>"
,10137,0,0,unknown_control,0,-0.001119,0.000334,"<Point><coordinates>-0.001119,0.000334</coordinates></Point>"
,10138,0,0,unknown_control,0,-0.001119,0.000334,"<Point><coordinates>-0.001119,0.000334</coordinates></Point>"
