name,link_id,link_key,speed_sensor_id,count_sensor_id,from_node_id,to_node_id,link_type_name,direction,length,number_of_lanes,speed_limit,lane_cap,link_type,jam_density,wave_speed,demand_type_code,mode_code,network_design_flag,grade,geometry,original_geometry,map_matching_orientation_code,map_matching_loop_code
,5584095,5584095_AB,,,10000,10001,Major arterial,1,0.08256,1,40,900,4,190,12,,,"<LineString><coordinates>-111.927851,33.423305,0.0 -111.927810,33.423409,0.0 -111.927648,33.423815,0.0 -111.927634,33.423847,0.0 -111.927614,33.423894,0.0 -111.927559,33.424031,0.0 -111.927519,33.424125,0.0 -111.927503,33.424179,0.0 -111.927500,33.424253,0.0 -111.927501,33.424377,0.0 -111.927502,33.424498,0.0</coordinates></LineString>","<LineString><coordinates>-111.927863,33.423308,0.0 -111.927822,33.423413,0.0 -111.927660,33.423819,0.0 -111.927646,33.423851,0.0 -111.927626,33.423897,0.0 -111.927571,33.424034,0.0 -111.927531,33.424128,0.0 -111.927516,33.424182,0.0 -111.927512,33.424257,0.0 -111.927513,33.424380,0.0 -111.927515,33.424502,0.0</coordinates></LineString>",,,,
,5584095,5584095_BA,,,10001,10000,Major arterial,1,0.08256,1,40,900,4,190,12,,,"<LineString><coordinates>-111.927527,33.424505,0.0 -111.927525,33.424384,0.0 -111.927524,33.424260,0.0 -111.927528,33.424186,0.0 -111.927543,33.424132,0.0 -111.927583,33.424038,0.0 -111.927638,33.423901,0.0 -111.927658,33.423855,0.0 -111.927673,33.423822,0.0 -111.927834,33.423416,0.0 -111.927875,33.423312,0.0</coordinates></LineString>","<LineString><coordinates>-111.927515,33.424502,0.0 -111.927513,33.424380,0.0 -111.927512,33.424257,0.0 -111.927516,33.424182,0.0 -111.927531,33.424128,0.0 -111.927571,33.424034,0.0 -111.927626,33.423897,0.0 -111.927646,33.423851,0.0 -111.927660,33.423819,0.0 -111.927822,33.423413,0.0 -111.927863,33.423308,0.0</coordinates></LineString>",,,,
South Farmer Avenue,5590095,5590095_AB,,,10002,10003,Major arterial,1,0.50181,1,40,900,4,190,12,,,"<LineString><coordinates>-111.944300,33.414633,0.0 -111.944319,33.414423,0.0 -111.944322,33.413181,0.0 -111.944313,33.410861,0.0 -111.944308,33.409768,0.0 -111.944307,33.408768,0.0 -111.944289,33.408402,0.0 -111.944219,33.408349,0.0 -111.944051,33.408312,0.0 -111.943974,33.408229,0.0 -111.943964,33.407379,0.0</coordinates></LineString>","<LineString><coordinates>-111.944288,33.414634,0.0 -111.944307,33.414423,0.0 -111.944309,33.413182,0.0 -111.944301,33.410861,0.0 -111.944296,33.409769,0.0 -111.944294,33.408769,0.0 -111.944277,33.408402,0.0 -111.944206,33.408350,0.0 -111.944039,33.408313,0.0 -111.943961,33.408229,0.0 -111.943951,33.407379,0.0</coordinates></LineString>",,,,
South Farmer Avenue,5590095,5590095_BA,,,10003,10002,Major arterial,1,0.50181,1,40,900,4,190,12,,,"<LineString><coordinates>-111.943939,33.407380,0.0 -111.943948,33.408230,0.0 -111.944026,33.408313,0.0 -111.944193,33.408351,0.0 -111.944264,33.408403,0.0 -111.944282,33.408769,0.0 -111.944283,33.409769,0.0 -111.944288,33.410862,0.0 -111.944297,33.413182,0.0 -111.944294,33.414424,0.0 -111.944275,33.414634,0.0</coordinates></LineString>","<LineString><coordinates>-111.943951,33.407379,0.0 -111.943961,33.408229,0.0 -111.944039,33.408313,0.0 -111.944206,33.408350,0.0 -111.944277,33.408402,0.0 -111.944294,33.408769,0.0 -111.944296,33.409769,0.0 -111.944301,33.410861,0.0 -111.944309,33.413182,0.0 -111.944307,33.414423,0.0 -111.944288,33.414634,0.0</coordinates></LineString>",,,,
East 6th Street,5591077,5591077_AB,,,10004,10005,Major arterial,1,0.09517,1,40,900,4,190,12,,,"<LineString><coordinates>-111.930422,33.423115,0.0 -111.930397,33.423216,0.0 -111.930307,33.423677,0.0 -111.930277,33.423792,0.0 -111.930209,33.423885,0.0 -111.930108,33.423941,0.0 -111.929216,33.424245,0.0 -111.928901,33.424333,0.0 -111.928362,33.424441,0.0 -111.927892,33.424486,0.0 -111.927511,33.424490,0.0 -111.926467,33.424494,0.0 -111.926220,33.424491,0.0</coordinates></LineString>","<LineString><coordinates>-111.930426,33.423127,0.0 -111.930401,33.423228,0.0 -111.930311,33.423689,0.0 -111.930281,33.423805,0.0 -111.930213,33.423897,0.0 -111.930112,33.423953,0.0 -111.929220,33.424257,0.0 -111.928905,33.424345,0.0 -111.928365,33.424453,0.0 -111.927896,33.424498,0.0 -111.927515,33.424502,0.0 -111.926471,33.424506,0.0 -111.926224,33.424503,0.0</coordinates></LineString>",,,,
East 6th Street,5591077,5591077_BA,,,10005,10004,Major arterial,1,0.09517,1,40,900,4,190,12,,,"<LineString><coordinates>-111.926228,33.424515,0.0 -111.926475,33.424518,0.0 -111.927519,33.424514,0.0 -111.927900,33.424510,0.0 -111.928369,33.424465,0.0 -111.928909,33.424357,0.0 -111.929224,33.424269,0.0 -111.930116,33.423965,0.0 -111.930217,33.423909,0.0 -111.930285,33.423817,0.0 -111.930315,33.423701,0.0 -111.930404,33.423240,0.0 -111.930430,33.423139,0.0</coordinates></LineString>","<LineString><coordinates>-111.926224,33.424503,0.0 -111.926471,33.424506,0.0 -111.927515,33.424502,0.0 -111.927896,33.424498,0.0 -111.928365,33.424453,0.0 -111.928905,33.424345,0.0 -111.929220,33.424257,0.0 -111.930112,33.423953,0.0 -111.930213,33.423897,0.0 -111.930281,33.423805,0.0 -111.930311,33.423689,0.0 -111.930401,33.423228,0.0 -111.930426,33.423127,0.0</coordinates></LineString>",,,,
West 6th Street,5591085,5591085_AB,,,10006,10007,Major arterial,1,0.00036,1,40,900,4,190,12,,,"<LineString><coordinates>-111.941266,33.424326,0.0 -111.940079,33.424331,0.0</coordinates></LineString>","<LineString><coordinates>-111.941266,33.424338,0.0 -111.940079,33.424344,0.0</coordinates></LineString>",,,,
West 6th Street,5591085,5591085_BA,,,10007,10006,Major arterial,1,0.00036,1,40,900,4,190,12,,,"<LineString><coordinates>-111.940079,33.424356,0.0 -111.941266,33.424351,0.0</coordinates></LineString>","<LineString><coordinates>-111.940079,33.424344,0.0 -111.941266,33.424338,0.0</coordinates></LineString>",,,,
East 6th Street,5591100,5591100_AB,,,10008,10009,Major arterial,1,0.00078,1,40,900,4,190,12,,,"<LineString><coordinates>-111.937736,33.424345,0.0 -111.936666,33.424346,0.0 -111.934981,33.424357,0.0</coordinates></LineString>","<LineString><coordinates>-111.937736,33.424358,0.0 -111.936666,33.424359,0.0 -111.934981,33.424369,0.0</coordinates></LineString>",,,,
East 6th Street,5591100,5591100_BA,,,10009,10008,Major arterial,1,0.00078,1,40,900,4,190,12,,,"<LineString><coordinates>-111.934981,33.424382,0.0 -111.936666,33.424372,0.0 -111.937737,33.424371,0.0</coordinates></LineString>","<LineString><coordinates>-111.934981,33.424369,0.0 -111.936666,33.424359,0.0 -111.937736,33.424358,0.0</coordinates></LineString>",,,,
